airlines,gate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirAsiaX,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirBridgeCargoAirlines,cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirChina,107,108,109,117,118,201,202,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirChinaInternationalCorporation,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRCRANE,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirMacau,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisa Medical,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllNipponAirways,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsianaAirways,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVIC,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeijingCapitalAirlines,409,410,411,412,413,414,415,416,417,418,419,414L,414R,415L,415R,416L,416R,417L,417R,418L,418R,419L,419R,204,205,206,207,208,209,210,211,212,213,214,215,216,217
ChengduAirlines,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaCargoAirlines,cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaEasternAirlines,215,216,217,218,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinaexpressair,601,602,603,604,605,606,607,608,609,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaPost,cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChinaSouthernAirlines,217,218,220,221,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLORFUL,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeerJet,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DONGHAIAIR,409,410,411,412,413,414,415,416,417,418,419,414L,414R,415L,415R,416L,416R,417L,417R,418L,418R,419L,419R,204,205,206,207,208,209,210,211,212,213,214,215,216,217
EmpireAviation,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVAAir,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOMEHoldings,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuizhouAirlines,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HainanAirlines,409,410,411,412,413,414,415,416,417,418,419,414L,414R,415L,415R,416L,416R,417L,417R,418L,418R,419L,419R,204,205,206,207,208,209,210,211,212,213,214,215,216,217
HEBEIAIRLINES,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HongKongAirlines,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JapanAirlines,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyair,501,502,503,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KoreanAirLines,101,102,103,104,105,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIANHANG,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LonghaoAirlines,cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoongAir,110,111,112,113,114,115,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
