data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
20170814,VJT895,ZBTJ,RJTT,00:00.0,77400,00:00.0,0,GLEX,28.5,VistaJet,16R,61,9HVJP
20170814,TGW187,ZBTJ,WSSS,00:00.0,55200,00:00.0,0,B788,60,SCOOTER,16R,101,9VOJC
20170814,AIB000S,ZBTJ,ZBAA,00:00.0,39600,00:00.0,39600,A320,34.1,ChinaEasternAirlines,16R,215,B000S
20170814,AIB000V,ZBTJ,ZBAA,00:00.0,57600,00:00.0,58200,A320,34.1,ChinaEasternAirlines,16R,216,B000V
20170814,DKH1135,ZBTJ,ZYBS,00:00.0,69600,00:00.0,72480,A321,34.1,ShanghaiJuneyaoAirlines,16R,110,B1001
20170814,CCA1245,ZBTJ,ZLLL,00:00.0,39600,00:00.0,38580,B738,35.8,AirChina,16R,107,B1418
20170814,CCA1241,ZBTJ,ZLXN,00:00.0,64500,00:00.0,63660,B738,35.8,AirChina,16R,108,B1418
20170814,CSH9148,ZBTJ,ZSSS,00:00.0,48900,00:00.0,49680,B738,35.8,ShanghaiAirlines,16R,218,B1448
20170814,OKA2861,ZBTJ,ZGHA,00:00.0,39900,00:00.0,49600,B738,35.8,OkayAirways,16R,222,B1450
20170814,OKA2867,ZBTJ,VTSP,00:00.0,6000,00:00.0,99840,B738,35.8,OkayAirways,16R,223,B1450
20170814,FZA6602,ZBTJ,ZSZS,00:00.0,52200,00:00.0,57420,B738,35.8,STRAITAIR,16R,409,B1480
20170814,CDG4718,ZBTJ,ZSQD,00:00.0,55800,00:00.0,59880,B738,35.8,shandongAirlines,16R,118,B1506
20170814,OKA2851,ZBTJ,ZUUU,00:00.0,53100,00:00.0,51420,B739,34.3,OkayAirways,16R,224,B1522
20170814,OKA2707,ZBTJ,ZYTL,00:00.0,81000,00:00.0,80520,B739,34.3,OkayAirways,16R,225,B1522
20170814,CCA8289,ZBTJ,ZBHH,00:00.0,80100,00:00.0,79680,B738,35.8,AirChina,16R,202,B1528
20170814,CHH7201,ZBTJ,ZGGG,00:00.0,84300,00:00.0,82860,B738,35.8,HainanAirlines,16R,411,B1542
20170814,JYH1056,ZBTJ,ZGGG,00:00.0,54900,00:00.0,52860,B738,35.8,TRANSJADE,16R,111,B1556
20170814,CJX8962,ZBTJ,ZSCN,00:00.0,67500,00:00.0,75300,B738,35.8,AIRCRANE,16R,112,B1558
20170814,FZA6555,ZBTJ,ZYHB,00:00.0,85200,00:00.0,84240,B738,35.8,STRAITAIR,16R,412,B1559
20170814,OKA2859,ZBTJ,ZGSZ,00:00.0,40200,00:00.0,39900,B738,35.8,OkayAirways,16R,226,B1581
20170814,OKA2788,ZBTJ,ZGGG,00:00.0,3300,00:00.0,88740,B739,34.3,OkayAirways,16R,224,B1581
20170814,LKE9728,ZBTJ,ZUMY,00:00.0,3000,00:00.0,89100,B738,35.8,LUCKYAIR,16R,414,B1587
20170814,CSZ9124,ZBTJ,ZGSZ,00:00.0,82500,00:00.0,81480,A320,34.1,ShenzhenAirlines,16R,203,B1602
20170814,QDA9853,ZBTJ,ZBLA,00:00.0,45300,00:00.0,44580,A320,34.1,SKYLEGEND,16R,113,B1617
20170814,QDA9854,ZBTJ,ZSQD,00:00.0,79500,00:00.0,78240,A320,34.1,SKYLEGEND,16R,114,B1617
20170814,GCR7577,ZBTJ,ZYCC,00:00.0,57300,00:00.0,56520,A320,34.1,TianjinAirlines,16R,415,B1618
20170814,GCR7578,ZBTJ,ZWWW,00:00.0,600,00:00.0,86820,A320,34.1,TianjinAirlines,16R,416,B1618
20170814,GCR7839,ZBTJ,ZWWW,00:00.0,43800,00:00.0,43080,A320,34.1,TianjinAirlines,16R,417,B1658
20170814,GCR7815,ZBTJ,ZSQD,00:00.0,32100,00:00.0,32220,A320,34.1,TianjinAirlines,16R,419,B1692
20170814,GCR7895,ZBTJ,ZUCK,00:00.0,74700,00:00.0,72780,A320,34.1,TianjinAirlines,16R,414L,B1692
20170814,CHH7726,ZBTJ,ZGHA,00:00.0,78600,00:00.0,79740,B738,35.8,HainanAirlines,16R,414R,B1728
20170814,CHH7304,ZBTJ,ZGSZ,00:00.0,51000,00:00.0,50460,B738,35.8,HainanAirlines,16R,415L,B1729
20170814,CXA8126,ZBTJ,ZSAM,00:00.0,84000,00:00.0,83220,B738,35.8,XiamenAirlines,16R,227,B1749
20170814,CSZ9122,ZBTJ,ZGSZ,00:00.0,51600,00:00.0,51660,B738,35.8,ShenzhenAirlines,16R,107,B1759
20170814,CCA1677,ZBTJ,ZGKL,00:00.0,53400,00:00.0,55020,B738,35.8,AirChina,16R,212,B1762
20170814,CCA167R,ZBTJ,ZYHB,00:00.0,28800,00:00.0,26940,B738,35.8,AirChina,16R,109,B1767
20170814,CES5748,ZBTJ,ZPPP,00:00.0,64200,00:00.0,69180,B738,35.8,ChinaEasternAirlines,16R,217,B1791
20170814,CSN312T,ZBTJ,ZGHA,00:00.0,45900,00:00.0,52080,A320,34.1,ChinaSouthernAirlines,16R,220,B1800
20170814,CSC8815,ZBTJ,ZYCC,00:00.0,42900,00:00.0,42240,A320,34.1,SichuanAirlines,16R,116,B1818
20170814,CSC8816,ZBTJ,ZSHC,00:00.0,63600,00:00.0,64200,A320,34.1,SichuanAirlines,16R,111,B1818
20170814,GCR6580,ZBTJ,ZGHA,00:00.0,62700,00:00.0,67320,A320,34.1,TianjinAirlines,16R,415R,B1849
20170814,GCR7813,ZBTJ,ZYTL,00:00.0,55200,00:00.0,57600,A320,34.1,TianjinAirlines,16R,416L,B1850
20170814,GCR7853,ZBTJ,ZSHC,00:00.0,36600,00:00.0,35880,E190,28.72,TianjinAirlines,16R,416R,B1851
20170814,GCR7865,ZBTJ,ZJHK,00:00.0,600,00:00.0,91680,A320,34.1,TianjinAirlines,16R,417R,B1851
20170814,CSC8015,ZBTJ,ZUXC,00:00.0,36000,00:00.0,33600,A320,34.1,SichuanAirlines,16R,115,B1885
