data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
231029,NEWTGW188,Default,ZBTJ,5490,27090,6990,26490,B788,60.0,SCOOTER,Default,105,NEW9VOJD,90
231029,NEWTGW187,ZBTJ,Default,33600,55200,37200,0,B788,60.0,SCOOTER,Default,102,NEW9VOJD,0
231029,NEWCCA8282,Default,ZBTJ,-77940,10900,8880,12900,B738,35.8,AirChina,Default,108,NEWB1418,60
231029,NEWCCA1427,ZBTJ,Default,27000,37800,29820,38580,B738,35.8,AirChina,Default,201,NEWB1418,0
231029,NEWCCA1242,Default,ZBTJ,71160,79860,69000,76080,B738,35.8,AirChina,Default,107,NEWB1418,60
231029,NEWCCA1428,Default,ZBTJ,42660,51960,44940,52740,B738,35.8,AirChina,Default,117,NEWB1418,60
231029,NEWCCA1241,ZBTJ,Default,55500,64500,56760,65220,B738,35.8,AirChina,Default,107,NEWB1418,0
231029,NEWCXA8229,Default,ZBTJ,27360,34860,29640,35460,B738,35.8,XiamenAirlines,Default,229,NEWB1550,60
231029,NEWCXA8229,ZBTJ,Default,38400,53700,41520,56400,B738,35.8,XiamenAirlines,Default,229,NEWB1550,0
231029,NEWGCR7982,Default,ZBTJ,46560,60060,47460,59280,A320,34.1,TianjinAirlines,Default,419,NEWB1618,60
231029,NEWGCR7895,ZBTJ,Default,64800,74700,71100,78840,A320,34.1,TianjinAirlines,Default,206,NEWB1618,0
231029,NEWCSC8816,ZBTJ,Default,56300,63600,68940,74640,A320,34.1,SichuanAirlines,Default,110,NEWB1820,0
231029,NEWCSC8816,Default,ZBTJ,45960,52260,49620,55020,A320,34.1,SichuanAirlines,Default,114,NEWB1820,60
231029,NEWCSC8815,Default,ZBTJ,25260,32760,26340,31980,A320,34.1,SichuanAirlines,Default,113,NEWB1820,60
231029,NEWCSC8815,ZBTJ,Default,36900,42900,40320,45780,A320,34.1,SichuanAirlines,Default,114,NEWB1820,0
231029,NEWCGZ7137,Default,ZBTJ,55860,65760,60360,68340,E190,28.72,COLORFUL,Default,116,NEWB3115,60
231029,NEWCGZ7138,ZBTJ,Default,74100,83700,70780,83340,E190,28.72,COLORFUL,Default,116,NEWB3115,0
231029,NEWHXA2843,Default,ZBTJ,67260,71460,71160,75060,CRJ9,23.2,Chinaexpressair,Default,601,NEWB3378,60
231029,NEWHXA2844,ZBTJ,Default,74700,79200,77460,82440,CRJ9,23.2,Chinaexpressair,Default,601,NEWB3378,0
231029,NEWCCA1528,Default,ZBTJ,70860,78960,80160,86040,B737,35.8,AirChina,Default,118,NEWB5227,60
231029,NEWCCA1527,ZBTJ,Default,59400,66900,70620,76560,B737,35.8,AirChina,Default,117,NEWB5227,0
231029,NEWCCA1680,Default,ZBTJ,42060,51660,43560,51000,B738,35.8,AirChina,Default,203,NEWB5227,60
231029,NEWCSC8350,ZBTJ,Default,44700,55800,62460,73080,A320,34.1,SichuanAirlines,Default,116,NEWB6771,0
231029,NEWCSC8861,Default,ZBTJ,-21540,3660,-2880,60,A320,34.1,SichuanAirlines,Default,111,NEWB6771,60
231029,NEWCHH7726,Default,ZBTJ,59160,66660,76860,82740,B738,35.8,HainanAirlines,Default,411,NEWB7399,60
231029,NEWCHH7726,ZBTJ,Default,70200,79200,86100,92640,B738,35.8,HainanAirlines,Default,411,NEWB7399,0
231029,NEWTBA9878,ZBTJ,Default,67500,74100,72300,78000,A320,34.1,TIBET,Default,116,NEWB8842,0
231029,NEWTBA9877,Default,ZBTJ,35160,41460,38760,44160,A320,34.1,TIBET,Default,112,NEWB8842,60
231029,NEWGCR7977,ZBTJ,Default,30900,39900,34560,0,A320,34.1,TianjinAirlines,Default,216,NEWB9987,0
231029,NEWGCR7876,Default,ZBTJ,-2940,6480,4560,9480,A320,34.1,TianjinAirlines,Default,416L,NEWB9987,60
231029,NEWGCR7877,ZBTJ,Default,60600,69900,61500,69660,A320,34.1,TianjinAirlines,Default,412,NEWB9987,0
231029,NEWGCR7978,Default,ZBTJ,44460,55260,48600,57060,A320,34.1,TianjinAirlines,Default,416,NEWB9987,60
