data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
20170803,TGW187,ZBTJ,WSSS,33600,55200,37200,0,B788,60,SCOOTER,16R,101,9VOJD
20170803,TGW188,WSSS,ZBTJ,5400,27000,6900,26400,B788,60,SCOOTER,16L,102,9VOJD
20170803,AIB000V,ZBTJ,ZBOW,36000,48600,35880,42960,A320,34.1,Joyair,16R,501,B000V
20170802,CCA8282,ZHCC,ZBTJ,-78000,10840,8820,12840,B738,35.8,AirChina,16L,107,B1418
20170803,CCA1427,ZBTJ,ZUUU,27000,37800,29820,38580,B738,35.8,AirChina,16R,107,B1418
20170803,CCA1428,ZUUU,ZBTJ,42600,51900,44880,52680,B738,35.8,AirChina,16L,108,B1418
20170803,CCA1241,ZBTJ,ZLXN,55500,64500,56760,65220,B738,35.8,AirChina,16R,108,B1418
20170803,CCA1242,ZLXN,ZBTJ,71100,79800,68940,76020,B738,35.8,AirChina,16L,109,B1418
20170803,CXA8229,ZSHC,ZBTJ,27300,34800,29580,35400,B738,35.8,XiamenAirlines,16L,226,B1550
20170803,CXA8229,ZBTJ,ZWWW,38400,53700,41520,56400,B738,35.8,XiamenAirlines,16R,226,B1550
20170803,GCR7981,ZBTJ,RJCH,31200,42600,32460,0,A320,34.1,TianjinAirlines,16R,413,B1618
20170803,GCR7982,RJCH,ZBTJ,46500,60000,47400,59220,A320,34.1,TianjinAirlines,16L,414,B1618
20170803,GCR7895,ZBTJ,ZUCK,64800,74700,71100,78840,A320,34.1,TianjinAirlines,16R,414,B1618
20170803,CSC8815,ZSHC,ZBTJ,25200,32700,26280,31920,A320,34.1,SichuanAirlines,16L,112,B1820
20170803,CSC8815,ZBTJ,ZYCC,36900,42900,40320,45780,A320,34.1,SichuanAirlines,16R,112,B1820
20170803,CSC8816,ZYCC,ZBTJ,45900,52200,49560,54960,A320,34.1,SichuanAirlines,16L,113,B1820
20170803,CSC8816,ZBTJ,ZSHC,56300,63600,68940,74640,A320,34.1,SichuanAirlines,16R,113,B1820
20170803,CGZ7137,ZUTR,ZBTJ,55800,65700,60300,68280,E190,28.72,COLORFUL,16L,115,B3115
20170803,CGZ7138,ZBTJ,ZUTR,74100,83700,70720,83340,E190,28.72,COLORFUL,16R,115,B3115
