../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_03_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_03_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_06_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_06_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_14_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_14_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_17_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_17_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_19_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2017_08_19_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_07_18_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_07_18_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_07_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_07_29_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_09_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2018_09_29_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2019_02_01_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2019_02_01_ZBTJ_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2019_08_07_ZBTJ-PN_MANEX_process.csv,../results//Traffic_Baseline_GAP_sans_min_taxi\2019_08_07_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_03_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_03_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_06_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_06_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_14_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_14_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_17_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_17_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_19_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2017_08_19_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2018_07_18_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2018_07_18_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2018_07_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2018_07_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2018_09_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2018_09_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2019_02_01_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2019_02_01_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_16R\2019_08_07_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_16R\2019_08_07_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_03_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_03_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_06_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_06_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_14_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_14_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_17_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_17_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_19_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2017_08_19_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_07_18_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_07_18_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_07_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_07_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_09_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2018_09_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2019_02_01_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2019_02_01_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2019_08_07_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_2Pistes\2019_08_07_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_03_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_03_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_06_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_06_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_14_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_14_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_17_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_17_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_19_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2017_08_19_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2018_07_18_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2018_07_18_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2018_07_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2018_07_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2018_09_29_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2018_09_29_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2019_02_01_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2019_02_01_ZBTJ_MANEX_process.csv,../results//Traffic_GAP_mix\2019_08_07_ZBTJ-PN_MANEX_process.csv,../results//Traffic_GAP_mix\2019_08_07_ZBTJ_MANEX_process.csv
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1
0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2
0,0,0,-1,0,-1,-2,-2,-2,-2,0,0,-2,-2,-1,-1,-2,-2,-3,-3,0,0,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-3,-3,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,-2,-2,0,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-3,-3
0,0,0,-1,0,-1,-2,-2,-2,-2,0,0,-2,-2,-1,-1,-2,-2,-3,-3,0,0,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-3,-3,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2,-1,0,0,-1,-1,-2,-2,0,0,-1,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-4,-3
0,0,0,-1,0,-2,-3,-3,-3,-3,-1,-1,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-1,-1,-2,-2,-3,-3,-2,-2,0,0,-2,-2,-1,-1,-2,-2,-3,-3,0,0,-1,-1,-1,-1,-2,-2,-2,-2,0,0,-2,-1,0,0,-1,-1,-2,-2,0,0,-1,-1,-2,-2,-3,-3,-3,-3,0,0,-2,-2,-1,-1,-3,-3,-4,-4
0,0,0,-2,0,-2,-3,-3,-3,-3,-1,-1,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-2,-2,-2,-2,-3,-3,-2,-2,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-2,-2,-1,-1,-2,-2,-2,-2,0,0,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-2,-2,-2,-2,-4,-4,-3,-3,0,0,-2,-2,-2,-2,-2,-2,-5,-5
0,0,0,-3,0,-3,-4,-4,-3,-3,-1,-1,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-2,-2,-2,-2,-4,-4,-2,-2,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-2,-2,-1,-1,-2,-2,-3,-2,0,0,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-2,-2,-3,-3,-4,-4,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-5,-5
0,0,0,-3,0,-3,-4,-4,-4,-4,-1,-1,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-2,-2,-3,-3,-4,-4,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-2,-2,-2,-2,-3,-3,-3,-3,0,0,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-2,-2,-4,-4,-4,-4,-4,-4,0,0,-2,-2,-1,-1,-2,-2,-5,-5
0,0,0,-3,0,-3,-4,-4,-4,-4,-1,-1,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-3,-3,-3,-3,-4,-4,-3,-2,-1,-1,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-2,-2,-2,-1,-3,-3,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-3,-3,-3,-3,-5,-5,-3,-3,-1,-1,-2,-2,-1,-1,-2,-2,-5,-5
0,0,0,-3,0,-4,-4,-4,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-3,-3,-3,-3,-4,-4,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-2,-2,-2,-2,-3,-3,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-3,-3,-4,-4,-5,-4,-3,-4,0,0,-2,-2,-1,-1,-2,-2,-5,-5
0,0,0,-4,0,-4,-4,-4,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-4,-4,-3,-3,-4,-4,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-5,-4,0,0,-3,-3,-2,-2,-3,-3,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-4,-4,-4,-4,-5,-5,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-6,-5
0,0,0,-4,0,-4,-5,-5,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-4,-4,-3,-3,-5,-5,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-4,-3,-2,-2,-4,-4,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-4,-4,-4,-4,-6,-6,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5
0,0,0,-4,0,-4,-6,-6,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-4,-4,-3,-3,-5,-5,-3,-3,0,0,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-4,-3,-2,-2,-4,-4,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-4,-4,-4,-4,-6,-6,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5
0,0,0,-5,0,-4,-6,-5,-4,-4,0,0,-2,-2,-2,-2,-2,-2,-5,-5,0,0,-4,-4,-3,-3,-5,-5,-3,-3,-1,-1,-2,-2,-1,-1,-2,-2,-4,-4,0,0,-4,-3,-2,-2,-4,-4,-3,-3,-1,-1,-2,-1,-1,-1,-1,-1,-3,-3,0,0,-4,-4,-4,-4,-6,-6,-4,-4,-1,-1,-2,-2,-2,-2,-2,-2,-5,-5
