data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
None,NEWMXD688,None,ZBTJ,None,None,40182,84960,None,35.8,None,None,417R,None
None,NEWTGW138,None,ZBTJ,None,None,14906,27780,None,60.0,None,None,414,None
None,NEWTGW139,ZBTJ,None,None,None,40620,44325,None,60.0,None,None,887,None
None,NEWCBJ5717,None,ZBTJ,None,None,11632,35100,None,34.1,None,None,888,None
None,NEWCBJ5196,ZBTJ,None,None,None,43140,78954,None,34.1,None,None,216,None
None,NEWCBJ5195,None,ZBTJ,None,None,70285,75480,None,34.1,None,None,412,None
None,NEWCBJ5718,ZBTJ,None,None,None,85800,89600,None,34.1,None,None,225,None
None,NEWCGH1029,None,ZBTJ,None,None,574,780,None,34.1,None,None,209,None
None,NEWCSC306,None,ZBTJ,None,None,3622,48600,None,34.1,None,None,899,None
None,NEWCES5643,None,ZBTJ,None,None,29082,48180,None,34.1,None,None,411,None
None,NEWCES5643,ZBTJ,None,None,None,54660,73009,None,34.1,None,None,230,None
None,NEWCES5644,None,ZBTJ,None,None,46547,72120,None,34.1,None,None,217,None
None,NEWCES5644,ZBTJ,None,None,None,79380,94803,None,34.1,None,None,416L,None
None,NEWCSN1155,None,ZBTJ,None,None,653,2460,None,35.8,None,None,911R,None
None,NEWCCA1320,None,ZBTJ,None,None,2281,6780,None,35.8,None,None,104,None
None,NEWCCA8291,ZBTJ,None,None,None,33240,69536,None,35.8,None,None,912R,None
None,NEWCCA8292,None,ZBTJ,None,None,7173,50340,None,35.8,None,None,876,None
None,NEWCCA1401,ZBTJ,None,None,None,56820,80114,None,35.8,None,None,230,None
None,NEWCCA1402,None,ZBTJ,None,None,16146,83280,None,35.8,None,None,207,None
None,NEWCCA1533,ZBTJ,None,None,None,30180,51631,None,35.8,None,None,114,None
None,NEWCCA1534,None,ZBTJ,None,None,16857,47160,None,35.8,None,None,415,None
None,NEWCCA1387,ZBTJ,None,None,None,55620,58654,None,35.8,None,None,608,None
None,NEWCCA1388,None,ZBTJ,None,None,5262,80460,None,35.8,None,None,894,None
None,NEWOKA2990,None,ZBTJ,None,None,18385,21120,None,34.3,None,None,889,None
None,NEWOKA2851,ZBTJ,None,None,None,43560,76183,None,34.3,None,None,896,None
None,NEWOKA2852,None,ZBTJ,None,None,60276,66600,None,34.3,None,None,418,None
None,NEWOKA2788,ZBTJ,None,None,None,83040,86983,None,34.3,None,None,419,None
None,NEWCSN3301,None,ZBTJ,None,None,50344,51000,None,35.8,None,None,907,None
None,NEWCSN3302,ZBTJ,None,None,None,61800,62071,None,35.8,None,None,214,None
None,NEWCUA2217,ZBTJ,None,None,None,27300,72244,None,35.8,None,None,898L,None
None,NEWCSH9115,None,ZBTJ,None,None,37767,44340,None,35.8,None,None,903,None
None,NEWCSH9116,ZBTJ,None,None,None,49620,90653,None,35.8,None,None,217,None
None,NEWCDG4717,None,ZBTJ,None,None,20007,28920,None,35.8,None,None,110,None
None,NEWCDG4717,ZBTJ,None,None,None,34560,85022,None,35.8,None,None,898,None
None,NEWCDG4718,None,ZBTJ,None,None,43007,47340,None,35.8,None,None,220,None
None,NEWCDG4718,ZBTJ,None,None,None,51660,87791,None,35.8,None,None,229,None
None,NEWCXA8139,ZBTJ,None,None,None,31020,60801,None,35.8,None,None,604,None
None,NEWCSH9147,None,ZBTJ,None,None,12904,37860,None,35.9,None,None,914,None
None,NEWCSH9148,ZBTJ,None,None,None,44340,57782,None,35.9,None,None,102,None
None,NEWCCA1317,ZBTJ,None,None,None,29160,46036,None,35.8,None,None,411,None
None,NEWCCA1318,None,ZBTJ,None,None,18181,54240,None,35.8,None,None,913,None
None,NEWCCA8353,ZBTJ,None,None,None,58920,71744,None,35.8,None,None,112,None
None,NEWCCA8354,None,ZBTJ,None,None,34040,75000,None,35.8,None,None,903,None
None,NEWOKA2819,ZBTJ,None,None,None,31500,58127,None,35.9,None,None,108,None
None,NEWOKA2820,None,ZBTJ,None,None,11666,53460,None,35.9,None,None,101,None
None,NEWOKA2825,ZBTJ,None,None,None,68700,96534,None,35.9,None,None,105,None
None,NEWCHH7497,None,ZBTJ,None,None,24593,34260,None,35.8,None,None,899L,None
None,NEWCHH7498,ZBTJ,None,None,None,38820,92554,None,35.8,None,None,217,None
None,NEWCHH7049,None,ZBTJ,None,None,28761,55620,None,35.8,None,None,224,None
None,NEWCHH7050,ZBTJ,None,None,None,63240,93558,None,35.8,None,None,416,None
None,NEWCHH7202,None,ZBTJ,None,None,43927,66180,None,35.8,None,None,118,None
None,NEWCHH7201,ZBTJ,None,None,None,75540,98437,None,35.8,None,None,898R,None
None,NEWOKA2945,ZBTJ,None,None,None,33000,97077,None,34.3,None,None,887R,None
None,NEWOKA2946,None,ZBTJ,None,None,50964,76500,None,34.3,None,None,415,None
None,NEWCCA1388,None,ZBTJ,None,None,1983,4860,None,35.8,None,None,893,None
None,NEWCCA1417,ZBTJ,None,None,None,39720,43869,None,35.8,None,None,604,None
None,NEWCCA1418,None,ZBTJ,None,None,38371,64200,None,35.8,None,None,220,None
None,NEWCCA1259,ZBTJ,None,None,None,68040,78112,None,35.8,None,None,416R,None
None,NEWCCA1663,ZBTJ,None,None,None,29280,60965,None,35.8,None,None,916,None
None,NEWCCA1664,None,ZBTJ,None,None,12505,41940,None,35.8,None,None,113,None
None,NEWCCA1441,ZBTJ,None,None,None,48900,63304,None,35.8,None,None,898L,None
None,NEWCCA1442,None,ZBTJ,None,None,4151,82200,None,35.8,None,None,221,None
None,NEWCXA8304,None,ZBTJ,None,None,6478,7380,None,35.8,None,None,416R,None
None,NEWCXA8143,ZBTJ,None,None,None,28740,96912,None,35.8,None,None,887R,None
None,NEWCXA8144,None,ZBTJ,None,None,19141,79320,None,35.8,None,None,888,None
None,NEWCXA8126,ZBTJ,None,None,None,83460,97349,None,35.8,None,None,216,None
None,NEWCUA2218,None,ZBTJ,None,None,340,77940,None,35.8,None,None,414,None
None,NEWOKA2787,None,ZBTJ,None,None,21114,36300,None,34.3,None,None,502,None
None,NEWOKA3083,ZBTJ,None,None,None,44760,76253,None,34.3,None,None,874,None
None,NEWOKA3084,None,ZBTJ,None,None,60258,74100,None,34.3,None,None,419R,None
None,NEWOKA2989,ZBTJ,None,None,None,79740,82795,None,34.3,None,None,901,None
None,NEWGCR7993,ZBTJ,None,None,None,30720,55073,None,34.1,None,None,411,None
None,NEWGCR7994,None,ZBTJ,None,None,7331,45180,None,34.1,None,None,899,None
None,NEWGCR7897,ZBTJ,None,None,None,53100,88248,None,34.1,None,None,225,None
None,NEWGCR7898,None,ZBTJ,None,None,39341,72300,None,34.1,None,None,204,None
None,NEWGCR7905,ZBTJ,None,None,None,77400,78779,None,34.1,None,None,230,None
None,NEWGCR6510,ZBTJ,None,None,None,34620,77535,None,34.1,None,None,409,None
None,NEWGCR7584,None,ZBTJ,None,None,22628,53880,None,34.1,None,None,909,None
None,NEWGCR7584,ZBTJ,None,None,None,59460,78316,None,34.1,None,None,913,None
None,NEWCXA8277,None,ZBTJ,None,None,4952,71940,None,35.8,None,None,875,None
None,NEWCXA8277,ZBTJ,None,None,None,76680,91053,None,35.8,None,None,206,None
None,NEWCXA8470,None,ZBTJ,None,None,31904,45360,None,35.8,None,None,117,None
None,NEWCXA867,ZBTJ,None,None,None,51000,66142,None,35.8,None,None,886R,None
None,NEWCCA8276,None,ZBTJ,None,None,106,360,None,35.8,None,None,898L,None
None,NEWCCA103,ZBTJ,None,None,None,40980,63157,None,35.8,None,None,102,None
None,NEWCCA104,None,ZBTJ,None,None,50275,67920,None,35.8,None,None,899R,None
None,NEWCCA1677,ZBTJ,None,None,None,74460,91672,None,35.8,None,None,912R,None
None,NEWCES5751,None,ZBTJ,None,None,1816,2700,None,35.8,None,None,221,None
None,NEWCES5752,ZBTJ,None,None,None,35100,66440,None,35.8,None,None,225,None
None,NEWCSN6687,None,ZBTJ,None,None,3143,46200,None,34.1,None,None,203,None
None,NEWCSN6688,ZBTJ,None,None,None,50340,51674,None,34.1,None,None,909,None
None,NEWCSC8357,ZBTJ,None,None,None,28500,32440,None,34.1,None,None,912,None
None,NEWCSC8358,None,ZBTJ,None,None,36751,56880,None,34.1,None,None,897,None
None,NEWCSC8809,ZBTJ,None,None,None,62520,79460,None,34.1,None,None,894,None
None,NEWFZA6569,None,ZBTJ,None,None,28276,42780,None,35.8,None,None,415R,None
None,NEWFZA6570,ZBTJ,None,None,None,47880,90826,None,35.8,None,None,415L,None
None,NEWCES5747,None,ZBTJ,None,None,44600,45780,None,35.8,None,None,207,None
None,NEWCES5748,ZBTJ,None,None,None,53700,78174,None,35.8,None,None,211,None
None,NEWOKA2907,None,ZBTJ,None,None,6050,38460,None,35.8,None,None,602,None
