data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520180729,NEWTGW139,ZBTJ,None,None,None,34080,91129,None,60.0,international,None,105,NEW9VOJD
51520180729,NEWTGW138,None,ZBTJ,None,None,12782,27600,None,60.0,international,None,102,NEW9VOJF
51520180729,NEWCQH8914,None,ZBTJ,None,None,12920,43080,None,34.1,domestic,None,114,NEWB1023
51520180729,NEWCQH8989,ZBTJ,None,None,None,51840,98497,None,34.1,domestic,None,114,NEWB1023
51520180729,NEWCQH8990,None,ZBTJ,None,None,876,64800,None,34.1,domestic,None,114,NEWB1023
51520180729,NEWCQH8913,ZBTJ,None,None,None,70020,80067,None,34.1,domestic,None,113,NEWB1023
51520180729,NEWGCR7888,None,ZBTJ,None,None,2292,6540,None,60.3,domestic,None,416,NEWB1045
51520180729,NEWGCR7881,ZBTJ,None,None,None,30060,91518,None,34.1,domestic,None,414,NEWB1045
51520180729,NEWGCR7882,None,ZBTJ,None,None,48780,49140,None,34.1,domestic,None,416R,NEWB1045
51520180729,NEWGCR7863,ZBTJ,None,None,None,71040,80106,None,34.1,domestic,None,215,NEWB1045
51520180729,NEWGCR7002,None,ZBTJ,None,None,55716,67200,None,28.72,domestic,None,207,NEWB1052
51520180729,NEWGCR7887,ZBTJ,None,None,None,71220,86353,None,60.3,domestic,None,417,NEWB1052
51520180729,NEWCCA1427,ZBTJ,None,None,None,28080,77779,None,35.8,domestic,None,201,NEWB1218
51520180729,NEWCCA1428,None,ZBTJ,None,None,9682,51720,None,35.8,domestic,None,107,NEWB1218
51520180729,NEWCCA1251,ZBTJ,None,None,None,63660,85833,None,35.8,domestic,None,118,NEWB1218
51520180729,NEWCCA1252,None,ZBTJ,None,None,18534,79680,None,35.8,domestic,None,203,NEWB1218
51520180729,NEWCCA1317,ZBTJ,None,None,None,28800,47387,None,35.8,domestic,None,203,NEWB1219
51520180729,NEWCCA1318,None,ZBTJ,None,None,50118,53400,None,35.8,domestic,None,117,NEWB1219
51520180729,NEWCCA1669,ZBTJ,None,None,None,63120,78435,None,35.8,domestic,None,202,NEWB1219
51520180729,NEWCCA1670,None,ZBTJ,None,None,60272,85680,None,35.8,domestic,None,117,NEWB1219
51520180729,NEWOKA2843,ZBTJ,None,None,None,38760,41196,None,35.8,domestic,None,224,NEWB1267
51520180729,NEWOKA2735,ZBTJ,None,None,None,76260,84272,None,35.8,domestic,None,222,NEWB1267
51520180729,NEWCJX8961,None,ZBTJ,None,None,23877,34320,None,35.8,domestic,None,116,NEWB1269
51520180729,NEWCJX8881,ZBTJ,None,None,None,39900,62555,None,35.8,domestic,None,114,NEWB1269
51520180729,NEWCJX8882,None,ZBTJ,None,None,18342,82500,None,35.8,domestic,None,115,NEWB1269
51520180729,NEWCUA2217,ZBTJ,None,None,None,24900,27216,None,35.8,domestic,None,113,NEWB1277
51520180729,NEWCXA8331,ZBTJ,None,None,None,34260,82568,None,35.8,domestic,None,226,NEWB1287
51520180729,NEWCXA8332,None,ZBTJ,None,None,9786,73080,None,35.8,domestic,None,229,NEWB1287
51520180729,NEWCXA8125,None,ZBTJ,None,None,23109,41220,None,35.8,domestic,None,227,NEWB1303
51520180729,NEWCXA8303,ZBTJ,None,None,None,45480,92299,None,35.8,domestic,None,228,NEWB1303
51520180729,NEWCXA8143,ZBTJ,None,None,None,24660,99802,None,35.8,domestic,None,225,NEWB1305
51520180729,NEWCXA8144,None,ZBTJ,None,None,12491,71280,None,35.8,domestic,None,228,NEWB1305
51520180729,NEWOKA2939,ZBTJ,None,None,None,40920,73399,None,35.8,domestic,None,225,NEWB1337
51520180729,NEWAMU238,None,ZBTJ,None,None,27150,39660,None,34.1,international,None,106,NEWB1338
51520180729,NEWAMU237,ZBTJ,None,None,None,47220,53139,None,34.1,international,None,103,NEWB1338
51520180729,NEWFZA6601,None,ZBTJ,None,None,9566,41340,None,35.8,domestic,None,210,NEWB1348
51520180729,NEWFZA6602,ZBTJ,None,None,None,45720,71862,None,35.8,domestic,None,416R,NEWB1348
51520180729,NEWFZA6556,None,ZBTJ,None,None,71911,74100,None,35.8,domestic,None,414R,NEWB1348
51520180729,NEWFZA6556,ZBTJ,None,None,None,78720,89207,None,35.8,domestic,None,411,NEWB1348
51520180729,NEWCSH9147,None,ZBTJ,None,None,10405,36420,None,35.9,domestic,None,218,NEWB1381
51520180729,NEWCSH9148,ZBTJ,None,None,None,43380,45096,None,35.9,domestic,None,610,NEWB1381
51520180729,NEWCSN6893,None,ZBTJ,None,None,18032,79380,None,35.8,domestic,None,218,NEWB1410
51520180729,NEWCCA1245,ZBTJ,None,None,None,26460,49812,None,35.8,domestic,None,202,NEWB1418
51520180729,NEWCCA1246,None,ZBTJ,None,None,9,45120,None,35.8,domestic,None,117,NEWB1418
51520180729,NEWCCA1389,ZBTJ,None,None,None,55260,72892,None,35.8,domestic,None,118,NEWB1418
51520180729,NEWCCA1390,None,ZBTJ,None,None,28652,85800,None,35.8,domestic,None,202,NEWB1418
51520180729,NEWCUA2215,None,ZBTJ,None,None,47594,53160,None,35.8,domestic,None,114,NEWB1427
51520180729,NEWCUA2216,ZBTJ,None,None,None,59040,94775,None,35.8,domestic,None,113,NEWB1427
51520180729,NEWFZA6751,None,ZBTJ,None,None,4990,47100,None,35.8,domestic,None,419R,NEWB1435
51520180729,NEWFZA6752,ZBTJ,None,None,None,51540,97769,None,35.8,domestic,None,205,NEWB1435
51520180729,NEWCXA8304,None,ZBTJ,None,None,5678,6240,None,35.8,domestic,None,227,NEWB1456
51520180729,NEWCXA8089,ZBTJ,None,None,None,26340,55476,None,35.8,domestic,None,226,NEWB1456
51520180729,NEWOKA3085,ZBTJ,None,None,None,25200,98383,None,35.8,domestic,None,224,NEWB1485
