data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520180929,NEWCBJ5196,ZBTJ,Default,Default,Default,43140,73488,Default,34.1,BeijingCapitalAirlines,Default,215,NEWB1013
51520180929,NEWCBJ5717,Default,ZBTJ,Default,Default,29003,35100,Default,34.1,BeijingCapitalAirlines,Default,416L,NEWB1013
51520180929,NEWCBJ5718,ZBTJ,Default,Default,Default,85800,96419,Default,34.1,BeijingCapitalAirlines,Default,206,NEWB1013
51520180929,NEWCBJ5195,Default,ZBTJ,Default,Default,65716,75480,Default,34.1,BeijingCapitalAirlines,Default,416L,NEWB1013
51520180929,NEWCSC306,Default,ZBTJ,Default,Default,4374,48600,Default,34.1,SichuanAirlines,Default,115,NEWB1055
51520180929,NEWCCA1401,ZBTJ,Default,Default,Default,56820,62582,Default,35.8,AirChina,Default,201,NEWB1218
51520180929,NEWCCA8292,Default,ZBTJ,Default,Default,19446,50340,Default,35.8,AirChina,Default,203,NEWB1218
51520180929,NEWCCA1402,Default,ZBTJ,Default,Default,77615,83280,Default,35.8,AirChina,Default,202,NEWB1218
51520180929,NEWCCA1388,Default,ZBTJ,Default,Default,63357,80460,Default,35.8,AirChina,Default,202,NEWB1219
51520180929,NEWCSH9115,Default,ZBTJ,Default,Default,34550,44340,Default,35.8,ShanghaiAirlines,Default,610,NEWB1335
51520180929,NEWCSH9116,ZBTJ,Default,Default,Default,49620,98884,Default,35.8,ShanghaiAirlines,Default,610,NEWB1335
51520180929,NEWCCA8354,Default,ZBTJ,Default,Default,10221,75000,Default,35.8,AirChina,Default,107,NEWB1418
51520180929,NEWOKA2820,Default,ZBTJ,Default,Default,16776,53460,Default,35.9,OkayAirways,Default,223,NEWB1485
51520180929,NEWOKA2825,ZBTJ,Default,Default,Default,68700,94328,Default,35.9,OkayAirways,Default,224,NEWB1485
51520180929,NEWCHH7497,Default,ZBTJ,Default,Default,18139,34260,Default,35.8,HainanAirlines,Default,205,NEWB1487
51520180929,NEWCHH7498,ZBTJ,Default,Default,Default,38820,85184,Default,35.8,HainanAirlines,Default,419R,NEWB1487
51520180929,NEWOKA2946,Default,ZBTJ,Default,Default,25621,76500,Default,34.3,OkayAirways,Default,223,NEWB1522
51520180929,NEWCCA1664,Default,ZBTJ,Default,Default,40623,41940,Default,35.8,AirChina,Default,117,NEWB1528
51520180929,NEWCCA1441,ZBTJ,Default,Default,Default,48900,88119,Default,35.8,AirChina,Default,117,NEWB1528
51520180929,NEWCXA8126,ZBTJ,Default,Default,Default,83460,84481,Default,35.8,XiamenAirlines,Default,228,NEWB1550
51520180929,NEWCXA8144,Default,ZBTJ,Default,Default,53436,79320,Default,35.8,XiamenAirlines,Default,229,NEWB1550
51520180929,NEWCXA8143,ZBTJ,Default,Default,Default,28740,44643,Default,35.8,XiamenAirlines,Default,226,NEWB1550
51520180929,NEWCXA8304,Default,ZBTJ,Default,Default,1200,7380,Default,35.8,XiamenAirlines,Default,229,NEWB1550
51520180929,NEWCUA2218,Default,ZBTJ,Default,Default,13624,77940,Default,35.8,LIANHANG,Default,113,NEWB1572
51520180929,NEWOKA3084,Default,ZBTJ,Default,Default,63101,74100,Default,34.3,OkayAirways,Default,222,NEWB1581
51520180929,NEWOKA2989,ZBTJ,Default,Default,Default,79740,80180,Default,34.3,OkayAirways,Default,226,NEWB1581
51520180929,NEWGCR7905,ZBTJ,Default,Default,Default,77400,94763,Default,34.1,TianjinAirlines,Default,417,NEWB1618
51520180929,NEWGCR7898,Default,ZBTJ,Default,Default,21521,72300,Default,34.1,TianjinAirlines,Default,411,NEWB1618
51520180929,NEWGCR7993,ZBTJ,Default,Default,Default,30720,63733,Default,34.1,TianjinAirlines,Default,213,NEWB1618
