data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520190201,NEWMXD689,ZBTJ,Default,Default,Default,26720,65524,Default,35.8,MalindoAir,Default,105,NEW9MLNT
51520190201,NEWGCR7577,Default,ZBTJ,Default,Default,9323,45180,Default,34.1,TianjinAirlines,Default,410,NEWB1031
51520190201,NEWGCR7577,ZBTJ,Default,Default,Default,54480,62505,Default,34.1,TianjinAirlines,Default,418R,NEWB1031
51520190201,NEWCGH1029,Default,ZBTJ,Default,Default,38359,42600,Default,34.1,GuizhouAirlines,Default,115,NEWB1040
51520190201,NEWCGH1030,ZBTJ,Default,Default,Default,51960,80827,Default,34.1,GuizhouAirlines,Default,114,NEWB1040
51520190201,NEWCDC8853,Default,ZBTJ,Default,Default,59515,80100,Default,34.1,ZhejiangLoongAlrlines,Default,116,NEWB1075
51520190201,NEWCDC8854,ZBTJ,Default,Default,Default,83940,95370,Default,34.1,ZhejiangLoongAlrlines,Default,114,NEWB1075
51520190201,NEWOKA270T,Default,ZBTJ,Default,Default,13822,44400,Default,35.9,OkayAirways,Default,225,NEWB1157
51520190201,NEWOKA3097,ZBTJ,Default,Default,Default,49500,74329,Default,35.9,OkayAirways,Default,225,NEWB1157
51520190201,NEWCCA750,Default,ZBTJ,Default,Default,10642,25740,Default,35.8,AirChina,Default,202,NEWB1218
51520190201,NEWCCA1671,ZBTJ,Default,Default,Default,45900,50347,Default,35.8,AirChina,Default,202,NEWB1218
51520190201,NEWCCA1319,ZBTJ,Default,Default,Default,56640,99809,Default,35.8,AirChina,Default,118,NEWB1219
51520190201,NEWCCA1530,Default,ZBTJ,Default,Default,7688,48480,Default,35.8,AirChina,Default,118,NEWB1219
51520190201,NEWJYH1067,Default,ZBTJ,Default,Default,477,71160,Default,35.8,TRANSJADE,Default,111,NEWB1233
51520190201,NEWJYH1068,ZBTJ,Default,Default,Default,76260,84456,Default,35.8,TRANSJADE,Default,114,NEWB1233
51520190201,NEWOKA2730,ZBTJ,Default,Default,Default,80880,88629,Default,34.3,OkayAirways,Default,226,NEWB1291
51520190201,NEWOKA2730,Default,ZBTJ,Default,Default,52359,69780,Default,34.3,OkayAirways,Default,224,NEWB1291
51520190201,NEWOKA2729,Default,ZBTJ,Default,Default,23602,30900,Default,34.3,OkayAirways,Default,225,NEWB1291
51520190201,NEWOKA2729,ZBTJ,Default,Default,Default,39120,60275,Default,34.3,OkayAirways,Default,226,NEWB1291
51520190201,NEWHBH3310,Default,ZBTJ,Default,Default,39960,86280,Default,35.8,HEBEIAIRLINES,Default,111,NEWB1328
51520190201,NEWOKA2826,Default,ZBTJ,Default,Default,1187,1560,Default,35.8,OkayAirways,Default,224,NEWB1338
51520190201,NEWOKA2859,ZBTJ,Default,Default,Default,29760,71143,Default,35.8,OkayAirways,Default,224,NEWB1338
51520190201,NEWOKA2884,ZBTJ,Default,Default,Default,81600,97493,Default,35.8,OkayAirways,Default,225,NEWB1338
51520190201,NEWOKA2860,Default,ZBTJ,Default,Default,51389,72060,Default,35.8,OkayAirways,Default,225,NEWB1338
51520190201,NEWCHH7201,Default,ZBTJ,Default,Default,10676,41460,Default,35.9,HainanAirlines,Default,204,NEWB1390
51520190201,NEWCHH7202,ZBTJ,Default,Default,Default,52560,59667,Default,35.9,HainanAirlines,Default,417,NEWB1390
51520190201,NEWCUA2217,ZBTJ,Default,Default,Default,25740,61556,Default,35.8,LIANHANG,Default,112,NEWB1471
51520190201,NEWCSZ8744,ZBTJ,Default,Default,Default,64320,98977,Default,35.8,ShenzhenAirlines,Default,118,NEWB1477
51520190201,NEWCSZ8743,Default,ZBTJ,Default,Default,51968,59760,Default,35.8,ShenzhenAirlines,Default,118,NEWB1477
51520190201,NEWOKA2719,ZBTJ,Default,Default,Default,25140,56023,Default,35.9,OkayAirways,Default,223,NEWB1485
51520190201,NEWOKA2907,Default,ZBTJ,Default,Default,1410,7620,Default,34.3,OkayAirways,Default,224,NEWB1485
51520190201,NEWOKA2989,ZBTJ,Default,Default,Default,77640,90207,Default,34.3,OkayAirways,Default,225,NEWB1522
51520190201,NEWOKA3026,Default,ZBTJ,Default,Default,7093,72780,Default,34.3,OkayAirways,Default,224,NEWB1522
51520190201,NEWCCA8289,ZBTJ,Default,Default,Default,68280,69653,Default,35.8,AirChina,Default,202,NEWB1526
51520190201,NEWCCA104,Default,ZBTJ,Default,Default,45595,61680,Default,35.8,AirChina,Default,118,NEWB1526
51520190201,NEWCCA1390,Default,ZBTJ,Default,Default,386,780,Default,35.8,AirChina,Default,203,NEWB1526
51520190201,NEWCCA103,ZBTJ,Default,Default,Default,34260,79933,Default,35.8,AirChina,Default,202,NEWB1526
