data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
51520180729,NEWTGW138,Default,ZBTJ,7290,28590,8250,27690,B789,60.0,SCOOTER,Default,102,NEW9VOJF,90
51520180729,NEWCQH8913,ZBTJ,Default,70500,77100,70020,76260,A320,34.1,ShanghaiSpringAirlines,Default,113,NEWB1023,0
51520180729,NEWCQH8990,Default,ZBTJ,58260,63960,60060,64860,A320,34.1,ShanghaiSpringAirlines,Default,113,NEWB1023,60
51520180729,NEWGCR7881,ZBTJ,Default,29100,36300,30060,36000,A320,34.1,TianjinAirlines,Default,419R,NEWB1045,0
51520180729,NEWGCR7888,Default,ZBTJ,-2160,-79560,-1260,6780,A332,60.3,TianjinAirlines,Default,419,NEWB1045,240
51520180729,NEWGCR7863,ZBTJ,Default,70200,77700,71040,76980,A320,34.1,TianjinAirlines,Default,417R,NEWB1045,0
51520180729,NEWGCR7882,Default,ZBTJ,40860,49260,43200,49200,A320,34.1,TianjinAirlines,Default,415R,NEWB1045,60
51520180729,NEWGCR7887,ZBTJ,Default,70500,79500,71220,79320,A332,60.3,TianjinAirlines,Default,417,NEWB1052,0
51520180729,NEWGCR7002,Default,ZBTJ,14580,20580,60900,67380,E190,28.72,TianjinAirlines,Default,410,NEWB1052,180
51520180729,NEWCCA1251,ZBTJ,Default,63420,70500,63660,69420,B738,35.8,AirChina,Default,117,NEWB1218,0
51520180729,NEWCCA1428,Default,ZBTJ,42660,51960,43380,51780,B737,35.8,AirChina,Default,118,NEWB1218,60
51520180729,NEWCCA1670,Default,ZBTJ,73860,82560,78120,85740,B738,35.8,AirChina,Default,118,NEWB1219,60
51520180729,NEWCJX8961,Default,ZBTJ,27360,35460,27900,34380,B738,35.8,AIRCRANE,Default,115,NEWB1269,60
51520180729,NEWCJX8881,ZBTJ,Default,39000,46500,39900,46560,B738,35.8,AIRCRANE,Default,114,NEWB1269,0
51520180729,NEWCXA8303,ZBTJ,Default,41100,49500,45480,52380,B738,35.8,XiamenAirlines,Default,228,NEWB1303,0
51520180729,NEWCXA8125,Default,ZBTJ,27960,37560,33000,41280,B738,35.8,XiamenAirlines,Default,227,NEWB1303,60
51520180729,NEWCXA8144,Default,ZBTJ,61860,72360,62760,71340,B738,35.8,XiamenAirlines,Default,230,NEWB1305,60
51520180729,NEWAMU238,Default,ZBTJ,29460,40560,30000,39720,A320,34.1,AirMacau,Default,106,NEWB1338,60
51520180729,NEWAMU237,ZBTJ,Default,44100,55200,47220,58320,A320,34.1,AirMacau,Default,104,NEWB1338,0
51520180729,NEWFZA6601,Default,ZBTJ,33780,41580,34980,41520,B738,35.8,STRAITAIR,Default,419R,NEWB1348,180
51520180729,NEWFZA6602,ZBTJ,Default,45000,52500,45720,52440,B738,35.8,STRAITAIR,Default,417R,NEWB1348,0
51520180729,NEWFZA6556,Default,ZBTJ,65460,75060,66060,74160,B738,35.8,STRAITAIR,Default,416L,NEWB1348,60
51520180729,NEWFZA6556,ZBTJ,Default,78600,85800,78720,85080,B738,35.8,STRAITAIR,Default,411,NEWB1348,0
51520180729,NEWCSH9148,ZBTJ,Default,41700,49800,43380,49740,B38M,35.9,ShanghaiAirlines,Default,609,NEWB1381,0
51520180729,NEWCSH9147,Default,ZBTJ,29760,37560,30540,36480,B38M,35.9,ShanghaiAirlines,Default,609,NEWB1381,60
51520180729,NEWCCA1246,Default,ZBTJ,38160,45660,37920,45180,B738,35.8,AirChina,Default,203,NEWB1418,60
51520180729,NEWCCA1389,ZBTJ,Default,54000,68700,55260,67620,B738,35.8,AirChina,Default,203,NEWB1418,0
51520180729,NEWCUA2216,ZBTJ,Default,58200,65700,59040,65280,B738,35.8,LIANHANG,Default,116,NEWB1427,0
51520180729,NEWCUA2215,Default,ZBTJ,45360,54660,46380,53220,B738,35.8,LIANHANG,Default,116,NEWB1427,60
51520180729,NEWFZA6751,Default,ZBTJ,38520,46320,39600,47220,B738,35.8,STRAITAIR,Default,414R,NEWB1435,120
51520180729,NEWFZA6752,ZBTJ,Default,50400,58500,51540,59340,B738,35.8,STRAITAIR,Default,416L,NEWB1435,0
51520180729,NEWCXA8089,ZBTJ,Default,27000,35400,26340,34500,B738,35.8,XiamenAirlines,Default,228,NEWB1456,0
51520180729,NEWCXA8304,Default,ZBTJ,-11040,-2040,-240,6300,B738,35.8,XiamenAirlines,Default,230,NEWB1456,60
