data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520170814,NEWVJT895,ZBTJ,Default,67200,77400,69060,0,Default,28.5,VistaJet,Default,887,NEW9HVJP
51520170814,NEWAIB000S,ZBTJ,Default,36000,39600,37020,39600,Default,34.1,ChinaEasternAirlines,Default,215,NEWB000S
51520170814,NEWCSH9148,ZBTJ,Default,43100,48900,44160,49680,Default,35.8,ShanghaiAirlines,Default,609,NEWB1448
51520170814,NEWCSH9147,Default,ZBTJ,29760,37560,33660,40020,Default,35.8,ShanghaiAirlines,Default,609,NEWB1448
51520170814,NEWOKA2861,ZBTJ,Default,30600,39900,42520,49600,Default,35.8,OkayAirways,Default,224,NEWB1450
51520170814,NEWOKA2868,Default,ZBTJ,9660,33060,18720,37380,Default,35.8,OkayAirways,Default,223,NEWB1450
51520170814,NEWOKA2867,ZBTJ,Default,74400,6000,81120,99840,Default,35.8,OkayAirways,Default,226,NEWB1450
51520170814,NEWOKA2862,Default,ZBTJ,62760,70860,68760,76020,Default,35.8,OkayAirways,Default,225,NEWB1450
51520170814,NEWFZA6602,ZBTJ,Default,45000,52200,51360,57420,Default,35.8,STRAITAIR,Default,414R,NEWB1480
51520170814,NEWFZA6601,Default,ZBTJ,33960,41460,41040,47640,Default,35.8,STRAITAIR,Default,417R,NEWB1480
51520170814,NEWOKA2852,Default,ZBTJ,57360,66360,58620,66840,Default,34.3,OkayAirways,Default,224,NEWB1522
51520170814,NEWOKA2707,ZBTJ,Default,76800,81000,78060,80520,Default,34.3,OkayAirways,Default,222,NEWB1522
51520170814,NEWCHH7201,ZBTJ,Default,72900,84300,73920,82860,Default,35.8,HainanAirlines,Default,208,NEWB1542
51520170814,NEWCHH7202,Default,ZBTJ,58320,69420,60720,70320,Default,35.8,HainanAirlines,Default,206,NEWB1542
51520170814,NEWCJX8961,Default,ZBTJ,49560,57660,57480,63840,Default,35.8,AIRCRANE,Default,114,NEWB1558
51520170814,NEWCJX8962,ZBTJ,Default,62100,67500,68940,75300,Default,35.8,AIRCRANE,Default,113,NEWB1558
51520170814,NEWFZA6555,ZBTJ,Default,78000,85200,78240,84240,Default,35.8,STRAITAIR,Default,416L,NEWB1559
51520170814,NEWFZA6555,Default,ZBTJ,65460,74460,65640,73800,Default,35.8,STRAITAIR,Default,411,NEWB1559
51520170814,NEWOKA2859,ZBTJ,Default,27900,40200,28680,39900,Default,35.8,OkayAirways,Default,222,NEWB1581
51520170814,NEWOKA2708,Default,ZBTJ,-2340,-84540,5220,7740,Default,34.3,OkayAirways,Default,226,NEWB1581
51520170814,NEWLKE9728,ZBTJ,Default,80700,3000,81540,89100,Default,35.8,LUCKYAIR,Default,412,NEWB1587
51520170814,NEWLKE9727,Default,ZBTJ,69060,77160,69300,77100,Default,35.8,LUCKYAIR,Default,412,NEWB1587
51520170814,NEWCSZ9123,Default,ZBTJ,55560,66360,57780,67320,Default,34.1,ShenzhenAirlines,Default,201,NEWB1602
51520170814,NEWCSZ9124,ZBTJ,Default,70800,82500,71280,81480,Default,34.1,ShenzhenAirlines,Default,107,NEWB1602
