data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
51520170819,NEWTGW188,Default,ZBTJ,5490,27090,7110,27090,Default,60.0,SCOOTER,Default,102,NEW9VOJC,90
51520170819,NEWTGW187,ZBTJ,Default,33600,55200,35340,0,Default,60.0,SCOOTER,Default,102,NEW9VOJC,0
51520170819,NEWCCA1242,Default,ZBTJ,71160,79860,70860,77760,Default,35.8,AirChina,Default,203,NEWB1418,60
51520170819,NEWOKA2834,Default,ZBTJ,-10440,-2040,9480,16500,Default,35.8,OkayAirways,Default,224,NEWB1420,60
51520170819,NEWOKA2945,ZBTJ,Default,27900,40200,29220,40080,Default,34.3,OkayAirways,Default,224,NEWB1420,0
51520170819,NEWOKA2847,ZBTJ,Default,52200,62100,55260,63180,Default,35.8,OkayAirways,Default,222,NEWB1450,0
51520170819,NEWOKA2878,Default,ZBTJ,36360,44160,43980,50880,Default,35.8,OkayAirways,Default,224,NEWB1450,60
51520170819,NEWCSH9063,Default,ZBTJ,57360,66060,64380,70620,Default,35.8,ShanghaiAirlines,Default,609,NEWB1453,60
51520170819,NEWCSH9064,ZBTJ,Default,73160,78900,76620,0,Default,35.8,ShanghaiAirlines,Default,609,NEWB1453,0
51520170819,NEWCHH7797,Default,ZBTJ,58020,66120,59460,66540,Default,35.8,HainanAirlines,Default,414L,NEWB1492,120
51520170819,NEWCHH7798,ZBTJ,Default,69600,75000,71040,77400,Default,35.8,HainanAirlines,Default,416R,NEWB1492,0
51520170819,NEWCHH7202,Default,ZBTJ,58260,69360,60420,69660,Default,35.8,HainanAirlines,Default,216,NEWB1501,60
51520170819,NEWCHH7201,ZBTJ,Default,73200,84300,73740,82380,Default,35.8,HainanAirlines,Default,417,NEWB1501,0
51520170819,NEWCCA1678,Default,ZBTJ,53760,63960,57480,66360,Default,35.8,AirChina,Default,109,NEWB1526,60
51520170819,NEWCCA1679,ZBTJ,Default,69000,76200,70740,77040,Default,35.8,AirChina,Default,202,NEWB1526,0
51520170819,NEWCCA1655,ZBTJ,Default,72900,80100,76980,83580,Default,35.8,AirChina,Default,202,NEWB1528,0
51520170819,NEWCCA816,Default,ZBTJ,51660,64260,52260,61560,Default,35.8,AirChina,Default,202,NEWB1528,60
51520170819,NEWLKE9728,ZBTJ,Default,81700,3000,83700,91440,Default,35.8,LUCKYAIR,Default,415L,NEWB1588,0
51520170819,NEWLKE9727,Default,ZBTJ,69060,77160,71400,80100,Default,35.8,LUCKYAIR,Default,415,NEWB1588,60
51520170819,NEWCSN6579,ZBTJ,Default,34200,44100,36120,44160,Default,34.1,ChinaSouthernAirlines,Default,221,NEWB1651,0
51520170819,NEWCSN6579,Default,ZBTJ,27060,30660,27180,29820,Default,34.1,ChinaSouthernAirlines,Default,217,NEWB1651,60
51520170819,NEWCSN6580,ZBTJ,Default,60300,64200,62520,65340,Default,34.1,ChinaSouthernAirlines,Default,221,NEWB1651,0
51520170819,NEWCSN6580,Default,ZBTJ,48000,56700,50160,58200,Default,34.1,ChinaSouthernAirlines,Default,218,NEWB1651,300
51520170819,NEWGCR7584,ZBTJ,Default,56700,63600,57720,63060,Default,34.1,TianjinAirlines,Default,208,NEWB1659,0
51520170819,NEWGCR7584,Default,ZBTJ,45180,52980,45660,51660,Default,34.1,TianjinAirlines,Default,418R,NEWB1659,180
51520170819,NEWGCR7577,ZBTJ,Default,51000,57300,54480,60240,Default,34.1,TianjinAirlines,Default,214,NEWB1692,0
51520170819,NEWGCR7577,Default,ZBTJ,33660,47160,33780,45720,Default,34.1,TianjinAirlines,Default,417,NEWB1692,60
51520170819,NEWGCR7578,Default,ZBTJ,61260,67260,65280,70320,Default,34.1,TianjinAirlines,Default,414R,NEWB1692,60
51520170819,NEWGCR7578,ZBTJ,Default,71700,83280,74820,89280,Default,34.1,TianjinAirlines,Default,414R,NEWB1692,0
51520170819,NEWQDA9853,ZBTJ,Default,36000,45300,36600,44400,Default,34.1,SKYLEGEND,Default,114,NEWB1695,0
51520170819,NEWQDA9853,Default,ZBTJ,24660,29760,25320,28440,Default,34.1,SKYLEGEND,Default,114,NEWB1695,60
51520170819,NEWOKA2884,ZBTJ,Default,81000,2400,82560,88500,Default,35.8,OkayAirways,Default,225,NEWB1732,0
51520170819,NEWOKA2898,Default,ZBTJ,66060,77460,67920,78840,Default,35.8,OkayAirways,Default,226,NEWB1732,60
51520170819,NEWDKH1135,Default,ZBTJ,51360,59760,55080,60840,Default,34.1,ShanghaiJuneyaoAirlines,Default,115,NEWB1808,60
51520170819,NEWDKH1135,ZBTJ,Default,63300,69600,66300,71640,Default,34.1,ShanghaiJuneyaoAirlines,Default,116,NEWB1808,0
51520170819,NEWGCR7816,Default,ZBTJ,55680,60480,67620,71040,Default,34.1,TianjinAirlines,Default,214,NEWB1849,180
51520170819,NEWGCR7989,ZBTJ,Default,72600,83100,75360,0,Default,34.1,TianjinAirlines,Default,413,NEWB1849,0
51520170819,NEWGCR7970,Default,ZBTJ,12960,23460,15300,22980,Default,34.1,TianjinAirlines,Default,205,NEWB1850,60
51520170819,NEWGCR7839,ZBTJ,Default,28500,43800,28740,42660,Default,34.1,TianjinAirlines,Default,205,NEWB1850,0
51520170819,NEWCXA867,ZBTJ,Default,50700,60900,52440,61860,Default,35.8,XiamenAirlines,Default,227,NEWB1913,0
51520170819,NEWCXA8125,Default,ZBTJ,31860,42060,38700,48300,Default,35.8,XiamenAirlines,Default,229,NEWB1913,60
51520170819,NEWCDG4717,Default,ZBTJ,25260,30060,25680,28800,Default,35.8,shandongAirlines,Default,107,NEWB1986,60
51520170819,NEWCDG4717,ZBTJ,Default,34500,39000,34680,38520,Default,35.8,shandongAirlines,Default,203,NEWB1986,0
51520170819,NEWCDG8709,ZBTJ,Default,40500,48300,51180,57180,Default,35.8,shandongAirlines,Default,203,NEWB1987,0
51520170819,NEWCDG4801,Default,ZBTJ,26760,37260,38280,46980,Default,35.8,shandongAirlines,Default,117,NEWB1987,60
51520170819,NEWCDG4802,ZBTJ,Default,76500,86100,82260,90720,Default,35.8,shandongAirlines,Default,118,NEWB1987,0
51520170819,NEWCDG8710,Default,ZBTJ,64860,72960,72720,78660,Default,35.8,shandongAirlines,Default,202,NEWB1987,60
51520170819,NEWCKK214,Default,ZBTJ,64950,8850,10050,40650,Default,64.8,ChinaCargoAirlines,Default,876,NEWB2077,150
