data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520190807,NEWXAX318,None,ZBTJ,None,None,22521,82020,None,60.3,international,None,102,NEW9MXBB
51520190807,NEWTGW138,None,ZBTJ,None,None,14228,26580,None,60.0,international,None,102,NEW9VOJB
51520190807,NEWTGW139,ZBTJ,None,None,None,41520,59175,None,60.0,international,None,105,NEW9VOJB
51520190807,NEWDKH1135,None,ZBTJ,None,None,20858,36600,None,34.1,domestic,None,415R,NEWB1006
51520190807,NEWDKH1135,ZBTJ,None,None,None,40260,50254,None,34.1,domestic,None,419,NEWB1006
51520190807,NEWDKH1136,None,ZBTJ,None,None,4136,54600,None,34.1,domestic,None,606,NEWB1006
51520190807,NEWDKH1136,ZBTJ,None,None,None,61740,84497,None,34.1,domestic,None,115,NEWB1006
51520190807,NEWGCR7928,None,ZBTJ,None,None,16447,20340,None,34.1,domestic,None,409,NEWB1030
51520190807,NEWGCR7889,ZBTJ,None,None,None,39600,78155,None,28.72,domestic,None,204,NEWB1030
51520190807,NEWGCR7890,None,ZBTJ,None,None,55899,62940,None,28.72,domestic,None,223,NEWB1030
51520190807,NEWGCR7853,ZBTJ,None,None,None,67800,84418,None,28.72,domestic,None,114,NEWB1030
51520190807,NEWGCR7854,None,ZBTJ,None,None,70541,83700,None,28.72,domestic,None,205,NEWB1030
51520190807,NEWGCR7981,ZBTJ,None,None,None,30300,92746,None,34.1,domestic,None,227,NEWB1052
51520190807,NEWGCR7982,None,ZBTJ,None,None,7911,55080,None,34.1,domestic,None,609,NEWB1052
51520190807,NEWGCR7991,ZBTJ,None,None,None,67440,79058,None,34.1,domestic,None,504,NEWB1052
51520190807,NEWGCR7992,None,ZBTJ,None,None,26895,83820,None,34.1,domestic,None,414R,NEWB1052
51520190807,NEWLHA4015,None,ZBTJ,None,None,11789,15780,None,28.3,cargo,None,903,NEWB1110
51520190807,NEWLHA4016,ZBTJ,None,None,None,19380,31585,None,28.3,cargo,None,903,NEWB1110
51520190807,NEWCES2369,None,ZBTJ,None,None,34205,45780,None,35.8,domestic,None,610,NEWB1211
51520190807,NEWCES2369,ZBTJ,None,None,None,52440,99710,None,35.8,domestic,None,228,NEWB1211
51520190807,NEWCES2370,None,ZBTJ,None,None,42675,63060,None,35.8,domestic,None,504,NEWB1211
51520190807,NEWCES2370,ZBTJ,None,None,None,68640,87071,None,35.8,domestic,None,207,NEWB1211
51520190807,NEWCCA1396,None,ZBTJ,None,None,22997,55320,None,35.8,domestic,None,227,NEWB1219
51520190807,NEWCCA1401,ZBTJ,None,None,None,60540,87875,None,35.8,domestic,None,606,NEWB1219
51520190807,NEWCCA1402,None,ZBTJ,None,None,21524,86280,None,35.8,domestic,None,414,NEWB1219
51520190807,NEWCSN316Y,ZBTJ,None,None,None,36360,98197,None,60.0,domestic,None,219,NEWB1243
51520190807,NEWOKA2819,ZBTJ,None,None,None,29820,94759,None,35.8,domestic,None,215,NEWB1267
51520190807,NEWOKA2820,None,ZBTJ,None,None,44154,52860,None,35.8,domestic,None,411,NEWB1267
51520190807,NEWOKA3083,ZBTJ,None,None,None,57120,98268,None,34.3,domestic,None,205,NEWB1267
51520190807,NEWOKA3084,None,ZBTJ,None,None,36806,80520,None,34.3,domestic,None,608,NEWB1267
51520190807,NEWCSN3789,None,ZBTJ,None,None,38313,41700,None,35.8,domestic,None,414,NEWB1299
51520190807,NEWCSN3790,ZBTJ,None,None,None,46740,68581,None,35.8,domestic,None,225,NEWB1299
51520190807,NEWCXA8193,None,ZBTJ,None,None,5037,8820,None,35.8,domestic,None,416R,NEWB1300
51520190807,NEWCXA8126,ZBTJ,None,None,None,27900,94333,None,35.8,domestic,None,228,NEWB1300
51520190807,NEWCXA8145,None,ZBTJ,None,None,16960,37740,None,35.8,domestic,None,201,NEWB1302
51520190807,NEWCXA8145,ZBTJ,None,None,None,50160,84453,None,35.8,domestic,None,410,NEWB1302
51520190807,NEWCXA8146,None,ZBTJ,None,None,48902,69900,None,35.8,domestic,None,412,NEWB1302
51520190807,NEWCXA8146,ZBTJ,None,None,None,75420,82259,None,35.8,domestic,None,205,NEWB1302
51520190807,NEWOKA2851,ZBTJ,None,None,None,42300,87377,None,34.3,domestic,None,113,NEWB1337
51520190807,NEWOKA2852,None,ZBTJ,None,None,18553,65820,None,34.3,domestic,None,416,NEWB1337
51520190807,NEWOKA2788,ZBTJ,None,None,None,79080,90896,None,34.3,domestic,None,605,NEWB1337
51520190807,NEWFZA6741,None,ZBTJ,None,None,22713,69480,None,35.8,domestic,None,415R,NEWB1350
51520190807,NEWFZA6742,ZBTJ,None,None,None,73740,97405,None,35.8,domestic,None,203,NEWB1350
