data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers,delay
20180718,TGW138,WSSS,ZBTJ,5700,27000,7740,27240,B789,60.0,SCOOTER,16L,105,9VOFD,177.0,6.0,
20180718,TGW139,ZBTJ,WSSS,33600,55200,35280,56880,B789,60.0,SCOOTER,16R,101,9VOFD,,,
20180718,DKH1135,ZSPD,ZBTJ,51300,59700,53100,59400,A320,34.1,ShanghaiJuneyaoAirlines,16L,110,B1002,,,
20180718,DKH1135,ZBTJ,ZYBS,63780,69900,63600,68820,A320,34.1,ShanghaiJuneyaoAirlines,16R,116,B1002,,,
20180718,CBJ5717,ZGGG,ZBTJ,23700,34500,24240,33360,A321,34.1,BeijingCapitalAirlines,16L,206,B1012,,,
20180718,CBJ5196,ZBTJ,ZJSY,38400,51600,39300,52260,A321,34.1,BeijingCapitalAirlines,16R,209,B1012,,,
20180718,GCR7971,ZBTJ,RJCC,32400,43200,32580,44880,A320,34.1,TianjinAirlines,16R,206,B1052,,,
20180718,GCR7972,RJCC,ZBTJ,47400,61500,49380,61620,A320,34.1,TianjinAirlines,16L,211,B1052,,,
20180718,GCR7887,ZBTJ,ZUUU,69000,79500,69960,79020,A332,60.3,TianjinAirlines,16R,212,B1052,,,
20180717,CSC8257,ZBYN,ZBTJ,-3000,-84780,-780,2160,A321,34.1,SichuanAirlines,16L,112,B1053,,,
20180718,CCA1679,ZBTJ,ZUCK,28500,38400,29700,37800,B738,35.8,AirChina,16R,108,B1218,,,
20180718,CCA1680,ZUCK,ZBTJ,42000,51600,42720,50700,B738,35.8,AirChina,16L,202,B1218,,,
20180718,CCA1673,ZBTJ,ZSHC,58200,65100,58680,64620,B738,35.8,AirChina,16R,109,B1218,,,
20180718,CCA1674,ZSHC,ZBTJ,69000,76500,70320,76260,B738,35.8,AirChina,16L,201,B1218,,,
20180718,CCA8289,ZBTJ,ZBHH,72600,78000,85200,88620,B738,35.8,AirChina,16R,109,B1218,,,
20180717,CCA1528,ZSSS,ZBTJ,-15600,-7500,-1680,4200,B738,35.8,AirChina,16L,202,B1219,,,
20180718,CCA1533,ZBTJ,ZSSS,28800,35700,29160,35160,B738,35.8,AirChina,16R,117,B1219,,,
20180718,CCA1534,ZSSS,ZBTJ,39300,47400,40320,46260,B738,35.8,AirChina,16L,202,B1219,,,
20180718,CCA1387,ZBTJ,ZGGG,53400,64800,54660,64200,B738,35.8,AirChina,16R,118,B1219,,,
20180718,CCA1388,ZGGG,ZBTJ,69000,80700,73500,83580,B738,35.8,AirChina,16L,203,B1219,,,
20180718,CSH9147,ZSSS,ZBTJ,29700,37500,31080,38580,B38M,35.9,ShanghaiAirlines,16L,609,B1260,,,
20180718,CSH9148,ZBTJ,ZSSS,41700,49800,44160,50580,B38M,35.9,ShanghaiAirlines,16R,609,B1260,,,
20180718,OKA2939,ZBTJ,ZSQZ,39600,48600,49800,58080,B738,35.8,OkayAirways,16R,223,B1267,,,
20180718,CJX8961,ZSCN,ZBTJ,27300,35400,27840,34380,B738,35.8,AIRCRANE,16L,116,B1268,,,
20180718,CJX8881,ZBTJ,ZSCN,39000,46500,39960,46560,B738,35.8,AIRCRANE,16R,116,B1268,,,
20180718,CUA2217,ZBTJ,ZSSS,24600,32400,24780,30540,B738,35.8,LIANHANG,16R,110,B1279,,,
20180718,CXA8089,ZBTJ,ZBLA,28800,35400,27240,34860,B738,35.8,XiamenAirlines,16R,225,B1287,,,
