data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
1620170806,NEWCCA1242,Default,ZBTJ,68760,77460,68820,75780,B738,35.8,AirChina,Default,109,NEWB1418,60
1620170806,NEWCCA1428,Default,ZBTJ,42660,51960,42660,50940,B738,35.8,AirChina,Default,109,NEWB1418,60
1620170806,NEWCCA1241,ZBTJ,Default,55800,64500,57120,64620,B738,35.8,AirChina,Default,107,NEWB1418,0
1620170806,NEWFZA6556,ZBTJ,Default,53100,62400,54240,62280,B738,35.8,STRAITAIR,Default,414L,NEWB1480,0
1620170806,NEWFZA6556,Default,ZBTJ,41760,49560,41820,48420,B738,35.8,STRAITAIR,Default,204,NEWB1480,60
1620170806,NEWOKA2877,ZBTJ,Default,57900,65700,73260,79800,B738,35.8,OkayAirways,Default,224,NEWB1522,0
1620170806,NEWOKA2852,Default,ZBTJ,57420,66420,60360,68880,B739,34.3,OkayAirways,Default,223,NEWB1522,120
1620170806,NEWFZA6555,Default,ZBTJ,65460,74460,65100,73500,B738,35.8,STRAITAIR,Default,216,NEWB1559,60
1620170806,NEWFZA6555,ZBTJ,Default,78000,85200,78900,84780,B738,35.8,STRAITAIR,Default,418,NEWB1559,0
1620170806,NEWOKA2831,ZBTJ,Default,29700,41100,30900,41040,B739,34.3,OkayAirways,Default,226,NEWB1581,0
1620170806,NEWOKA2708,Default,ZBTJ,-2340,-84540,6120,9060,B739,34.3,OkayAirways,Default,225,NEWB1581,60
1620170806,NEWLKE9727,Default,ZBTJ,69060,77160,74760,82980,B738,35.8,LUCKYAIR,Default,419R,NEWB1587,60
1620170806,NEWQDA9853,Default,ZBTJ,24660,29760,25980,29460,A320,34.1,SKYLEGEND,Default,115,NEWB1617,60
1620170806,NEWQDA9853,ZBTJ,Default,36000,45300,36840,44400,A320,34.1,SKYLEGEND,Default,114,NEWB1617,0
1620170806,NEWGCR7813,ZBTJ,Default,51600,55200,52380,55920,A320,34.1,TianjinAirlines,Default,217,NEWB1618,0
1620170806,NEWGCR7896,Default,ZBTJ,32460,41160,34260,41460,A320,34.1,TianjinAirlines,Default,418R,NEWB1618,60
1620170806,NEWGCR7578,Default,ZBTJ,61260,67260,62700,68100,A320,34.1,TianjinAirlines,Default,205,NEWB1619,60
1620170806,NEWGCR7578,ZBTJ,Default,71700,600,74220,88440,A320,34.1,TianjinAirlines,Default,409,NEWB1619,0
1620170806,NEWCSC8567,ZBTJ,Default,38700,47400,40140,47340,A321,34.1,SichuanAirlines,Default,115,NEWB1677,0
1620170806,NEWCSC8567,Default,ZBTJ,27360,34860,28680,35100,A321,34.1,SichuanAirlines,Default,116,NEWB1677,60
1620170806,NEWCXA8140,Default,ZBTJ,60360,70860,68040,77100,B738,35.8,XiamenAirlines,Default,227,NEWB1707,60
1620170806,NEWCXA8621,ZBTJ,Default,75300,84000,81060,88020,B738,35.8,XiamenAirlines,Default,228,NEWB1707,0
1620170806,NEWCCA1677,ZBTJ,Default,42300,50400,42240,50820,B738,35.8,AirChina,Default,201,NEWB1762,0
1620170806,NEWCCA1677,Default,ZBTJ,28260,36360,29100,36060,B738,35.8,AirChina,Default,203,NEWB1762,60
1620170806,NEWGCR7816,Default,ZBTJ,55560,60360,61380,64620,A320,34.1,TianjinAirlines,Default,409,NEWB1849,60
1620170806,NEWGCR7895,ZBTJ,Default,64500,74700,69180,76860,A320,34.1,TianjinAirlines,Default,418,NEWB1849,0
1620170806,NEWGCR7860,Default,ZBTJ,-4440,-83940,-3120,2460,A320,34.1,TianjinAirlines,Default,414,NEWB1849,60
1620170806,NEWGCR7815,ZBTJ,Default,27900,32100,28200,30720,A320,34.1,TianjinAirlines,Default,409,NEWB1849,0
1620170806,NEWGCR7977,ZBTJ,Default,30900,39900,31440,0,A320,34.1,TianjinAirlines,Default,414R,NEWB1851,0
1620170806,NEWGCR7990,Default,ZBTJ,1860,14160,12060,22560,A320,34.1,TianjinAirlines,Default,212,NEWB1851,60
1620170806,NEWFZA6601,Default,ZBTJ,33960,41460,33420,39780,B738,35.8,STRAITAIR,Default,211,NEWB1906,60
1620170806,NEWFZA6602,ZBTJ,Default,45000,52200,45960,52560,B738,35.8,STRAITAIR,Default,211,NEWB1906,0
1620170806,NEWCDG4801,Default,ZBTJ,26760,37260,28740,37680,B738,35.8,shandongAirlines,Default,202,NEWB1987,60
1620170806,NEWCDG8709,ZBTJ,Default,40500,48300,41580,48180,B738,35.8,shandongAirlines,Default,203,NEWB1987,0
1620170806,NEWYZR7498,ZBTJ,Default,10800,18000,16380,21600,B744,64.4,YangtzeRiverExpress,Default,874,NEWB2435,0
1620170806,NEWYZR7498,Default,ZBTJ,-29610,-82710,-21510,9630,B744,64.4,YangtzeRiverExpress,Default,887,NEWB2435,90
1620170806,NEWCAO1014,Default,ZBTJ,5490,39990,6690,37350,B744,64.4,AirChinaInternationalCorporation,Default,101,NEWB2476,90
1620170806,NEWCAO1014,ZBTJ,Default,73800,81000,73980,80160,B744,64.4,AirChinaInternationalCorporation,Default,105,NEWB2476,0
1620170806,NEWGCR7849,ZBTJ,Default,60000,63600,63180,66240,E145,20.04,TianjinAirlines,Default,414R,NEWB3092,0
1620170806,NEWGCR7924,Default,ZBTJ,53160,57060,55560,58500,E145,20.04,TianjinAirlines,Default,419,NEWB3092,60
1620170806,NEWGCR7921,ZBTJ,Default,72000,76500,72180,74700,E190,28.72,TianjinAirlines,Default,414L,NEWB3100,0
1620170806,NEWGCR7890,Default,ZBTJ,48240,58740,56880,66840,A332,60.3,TianjinAirlines,Default,414,NEWB3100,240
1620170806,NEWGCR7909,ZBTJ,Default,40800,48000,41940,49020,E190,28.72,TianjinAirlines,Default,414R,NEWB3168,0
1620170806,NEWGCR787Z,Default,ZBTJ,27060,33660,28920,35280,E190,28.72,TianjinAirlines,Default,410,NEWB3168,60
1620170806,NEWGCR7582,Default,ZBTJ,68160,73560,77040,81060,E190,28.72,TianjinAirlines,Default,214,NEWB3195,60
1620170806,NEWGCR7582,ZBTJ,Default,77100,84000,84840,90480,E190,28.72,TianjinAirlines,Default,409,NEWB3195,0
1620170806,NEWGCR7818,Default,ZBTJ,58260,64260,62340,67080,E190,28.72,TianjinAirlines,Default,214,NEWB3238,60
