data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
220170803,NEWTGW188,Default,ZBTJ,5490,27090,6990,26490,B788,60.0,SCOOTER,Default,102,NEW9VOJD,90
220170803,NEWTGW187,ZBTJ,Default,33600,55200,37200,0,B788,60.0,SCOOTER,Default,102,NEW9VOJD,0
220170803,NEWCCA1241,ZBTJ,Default,55500,64500,56760,65220,B738,35.8,AirChina,Default,202,NEWB1418,0
220170803,NEWCCA1428,Default,ZBTJ,42660,51960,44940,52740,B738,35.8,AirChina,Default,108,NEWB1418,60
220170803,NEWCCA1427,ZBTJ,Default,27000,37800,29820,38580,B738,35.8,AirChina,Default,203,NEWB1418,0
220170803,NEWCCA8282,Default,ZBTJ,-77820,11020,9000,13020,B738,35.8,AirChina,Default,117,NEWB1418,180
220170803,NEWFZA6556,Default,ZBTJ,41760,49560,42420,48900,B738,35.8,STRAITAIR,Default,415L,NEWB1435,60
220170803,NEWFZA6556,ZBTJ,Default,53100,62400,60120,67980,B738,35.8,STRAITAIR,Default,414R,NEWB1435,0
220170803,NEWOKA2823,ZBTJ,Default,25200,32100,25920,31980,B738,35.8,OkayAirways,Default,224,NEWB1450,0
220170803,NEWOKA2752,Default,ZBTJ,-6540,2420,-3540,2520,B738,35.8,OkayAirways,Default,225,NEWB1450,60
220170803,NEWOKA2833,ZBTJ,Default,45600,51900,58260,64860,B738,35.8,OkayAirways,Default,225,NEWB1450,0
220170803,NEWOKA2868,Default,ZBTJ,9660,33060,33960,53820,B738,35.8,OkayAirways,Default,223,NEWB1450,60
220170803,NEWOKA2708,Default,ZBTJ,-2340,2340,-900,2940,B739,34.3,OkayAirways,Default,226,NEWB1522,60
220170803,NEWOKA2851,ZBTJ,Default,42300,53100,45420,54060,B739,34.3,OkayAirways,Default,223,NEWB1522,0
220170803,NEWCCA1655,ZBTJ,Default,83100,88720,83220,88920,B738,35.8,AirChina,Default,202,NEWB1528,0
220170803,NEWCCA8280,Default,ZBTJ,75060,79560,75600,79380,B738,35.8,AirChina,Default,118,NEWB1528,60
220170803,NEWCHH7725,Default,ZBTJ,35760,44460,37920,45420,B738,35.8,HainanAirlines,Default,207,NEWB1545,60
220170803,NEWCHH7725,ZBTJ,Default,48300,55500,49440,55680,B738,35.8,HainanAirlines,Default,416,NEWB1545,0
220170803,NEWCXA8229,Default,ZBTJ,27360,34860,29640,35460,B738,35.8,XiamenAirlines,Default,226,NEWB1550,60
220170803,NEWCXA8229,ZBTJ,Default,38400,53700,41520,56400,B738,35.8,XiamenAirlines,Default,225,NEWB1550,0
220170803,NEWGCR7982,Default,ZBTJ,46560,60060,47460,59280,A320,34.1,TianjinAirlines,Default,204,NEWB1618,60
220170803,NEWGCR7895,ZBTJ,Default,64800,74700,71100,78840,A320,34.1,TianjinAirlines,Default,416,NEWB1618,0
220170803,NEWEPA6283,Default,ZBTJ,45660,54660,46440,53100,B738,35.8,DONGHAIAIR,Default,415,NEWB1705,60
220170803,NEWEPA6284,ZBTJ,Default,59100,67500,59580,66900,B738,35.8,DONGHAIAIR,Default,212,NEWB1705,0
220170803,NEWCHH720X,Default,ZBTJ,28560,39660,31020,40260,B738,35.8,HainanAirlines,Default,209,NEWB1735,60
220170803,NEWCHH720Y,ZBTJ,Default,43200,54000,46560,55980,B738,35.8,HainanAirlines,Default,418,NEWB1735,0
220170803,NEWCSC8816,Default,ZBTJ,45960,52260,49620,55020,A320,34.1,SichuanAirlines,Default,111,NEWB1820,60
220170803,NEWCSC8816,ZBTJ,Default,56300,63600,68940,74640,A320,34.1,SichuanAirlines,Default,115,NEWB1820,0
220170803,NEWCSC8815,Default,ZBTJ,25260,32760,26340,31980,A320,34.1,SichuanAirlines,Default,114,NEWB1820,60
220170803,NEWCSC8815,ZBTJ,Default,36900,42900,40320,45780,A320,34.1,SichuanAirlines,Default,114,NEWB1820,0
220170803,NEWGCR7993,ZBTJ,Default,47000,52000,48720,0,A320,34.1,TianjinAirlines,Default,211,NEWB1849,0
220170803,NEWGCR7896,Default,ZBTJ,32460,41460,33840,41340,A320,34.1,TianjinAirlines,Default,417R,NEWB1849,60
220170803,NEWGCR7994,Default,ZBTJ,58060,62560,58140,63000,A320,34.1,TianjinAirlines,Default,415R,NEWB1849,60
220170803,NEWGCR6509,ZBTJ,Default,69200,74600,71460,76980,A320,34.1,TianjinAirlines,Default,419,NEWB1849,0
220170803,NEWGCR7865,ZBTJ,Default,77700,4800,79860,91080,A320,34.1,TianjinAirlines,Default,215,NEWB1850,0
220170803,NEWGCR7826,Default,ZBTJ,68160,72060,68580,71340,A320,34.1,TianjinAirlines,Default,415R,NEWB1850,60
220170803,NEWDKH1135,ZBTJ,Default,63300,69600,64200,69900,A321,34.1,ShanghaiJuneyaoAirlines,Default,112,NEWB1857,0
220170803,NEWDKH1135,Default,ZBTJ,51450,59850,52170,58650,A321,34.1,ShanghaiJuneyaoAirlines,Default,114,NEWB1857,150
220170803,NEWFZA6555,ZBTJ,Default,78000,85200,82740,88620,B738,35.8,STRAITAIR,Default,415,NEWB1905,0
220170803,NEWFZA6555,Default,ZBTJ,65460,74460,66060,74520,B738,35.8,STRAITAIR,Default,204,NEWB1905,60
220170803,NEWCXA868,Default,ZBTJ,54660,64560,60300,69960,B738,35.8,XiamenAirlines,Default,228,NEWB1964,60
220170803,NEWCXA8126,ZBTJ,Default,74100,84000,76980,85140,B738,35.8,XiamenAirlines,Default,228,NEWB1964,0
220170803,NEWCDG8709,ZBTJ,Default,40500,48300,44160,51360,B738,35.8,shandongAirlines,Default,201,NEWB1987,0
220170803,NEWCDG4801,Default,ZBTJ,26760,37260,28680,37380,B738,35.8,shandongAirlines,Default,107,NEWB1987,60
220170803,NEWCKK214,ZBTJ,Default,15900,22800,37560,43320,B77L,64.8,ChinaCargoAirlines,Default,896,NEWB2079,0
220170803,NEWCKK214,Default,ZBTJ,64890,8790,90,28530,B77L,64.8,ChinaCargoAirlines,Default,898,NEWB2079,90
220170803,NEWLHA4015,Default,ZBTJ,9660,15660,13380,18720,B733,28.3,LonghaoAirlines,Default,910R,NEWB2572,60
220170803,NEWLHA4016,ZBTJ,Default,21600,24900,22020,26940,B733,28.3,LonghaoAirlines,Default,910R,NEWB2572,0
220170803,NEWCSS6863,Default,ZBTJ,4560,10260,3720,7740,B752,38.05,SHUNFENG,Default,912,NEWB2899,60
220170803,NEWCSS6863,ZBTJ,Default,13800,21000,12960,18540,B752,38.05,SHUNFENG,Default,887,NEWB2899,0
220170803,NEWGCR7917,ZBTJ,Default,65400,74400,65880,72180,E190,28.72,TianjinAirlines,Default,413,NEWB3150,0
220170803,NEWGCR7828,Default,ZBTJ,55560,61860,55440,59940,E190,28.72,TianjinAirlines,Default,413,NEWB3150,60
220170803,NEWGCR7827,ZBTJ,Default,65100,71400,67860,72540,E190,28.72,TianjinAirlines,Default,412,NEWB3151,0
220170803,NEWGCR7910,Default,ZBTJ,54360,62160,54960,61440,E190,28.72,TianjinAirlines,Default,212,NEWB3151,60
220170803,NEWGCR7909,ZBTJ,Default,43200,50700,45600,51960,E190,28.72,TianjinAirlines,Default,417,NEWB3151,0
220170803,NEWGCR7928,Default,ZBTJ,-18840,1140,-2520,1140,E190,28.72,TianjinAirlines,Default,209,NEWB3151,60
220170803,NEWGCR7582,ZBTJ,Default,77100,84000,81360,87240,E190,28.72,TianjinAirlines,Default,216,NEWB3153,0
220170803,NEWGCR782Z,Default,ZBTJ,29760,38160,30780,37980,E190,28.72,TianjinAirlines,Default,410,NEWB3153,60
220170803,NEWCBG8851,Default,ZBTJ,47220,53220,52740,58080,E190,28.72,SPRAY,Default,116,NEWB3159,120
220170803,NEWCBG8852,ZBTJ,Default,57000,63300,62160,67260,E190,28.72,SPRAY,Default,115,NEWB3159,0
220170803,NEWGCR758X,ZBTJ,Default,41400,48300,42960,48900,E190,28.72,TianjinAirlines,Default,414R,NEWB3167,0
220170803,NEWGCR758X,Default,ZBTJ,34260,38760,34740,38580,E190,28.72,TianjinAirlines,Default,204,NEWB3167,60
220170803,NEWGCR6658,Default,ZBTJ,67760,69960,72180,75420,E190,28.72,TianjinAirlines,Default,216,NEWB3167,60
220170803,NEWGCR6658,ZBTJ,Default,73500,78900,78780,82320,E190,28.72,TianjinAirlines,Default,216,NEWB3167,0
220170803,NEWGCR6433,Default,ZBTJ,63720,67620,66360,69060,E190,28.72,TianjinAirlines,Default,413,NEWB3181,120
220170803,NEWGCR6434,ZBTJ,Default,71100,74700,72660,77100,E190,28.72,TianjinAirlines,Default,416L,NEWB3181,0
220170803,NEWCBG8823,Default,ZBTJ,35460,45660,37440,47400,E190,28.72,SPRAY,Default,111,NEWB3183,60
220170803,NEWCBG8824,ZBTJ,Default,49440,61200,59040,69480,E190,28.72,SPRAY,Default,115,NEWB3183,0
220170803,NEWHXA2670,Default,ZBTJ,43560,49860,43860,49740,CRJ9,23.2,Chinaexpressair,Default,602,NEWB3231,60
220170803,NEWHXA2819,ZBTJ,Default,61500,69300,61920,67680,CRJ9,23.2,Chinaexpressair,Default,604,NEWB3231,0
220170803,NEWGCR7813,ZBTJ,Default,51600,55200,58860,61560,A320,34.1,TianjinAirlines,Default,413,NEWB3232,0
220170803,NEWGCR791Z,Default,ZBTJ,28860,36360,47160,53940,E190,28.72,TianjinAirlines,Default,215,NEWB3232,60
220170803,NEWGCR7859,ZBTJ,Default,30000,37200,43320,49500,A320,34.1,TianjinAirlines,Default,413,NEWB3235,0
220170803,NEWGCR785V,Default,ZBTJ,25260,32760,27840,34140,E190,28.72,TianjinAirlines,Default,413,NEWB3235,60
220170803,NEWGCR7860,Default,ZBTJ,-4440,9060,4860,11100,A320,34.1,TianjinAirlines,Default,416L,NEWB3245,60
