data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11
20170803,TGW187,ZBTJ,WSSS,9VOJD,,,,,,,,,,,,,
20170803,TGW188,WSSS,ZBTJ,9VOJD,,,,,,,,,,,,,
20170803,AIB000V,ZBTJ,ZBOW,B000V,,,,,,,,,,,,,
20170802,CCA8282,ZHCC,ZBTJ,B1418,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1427,ZBTJ,ZUUU,B1418,109.0,109,109,109,109,109,109,109,109,109,109,109,109
20170803,CCA1428,ZUUU,ZBTJ,B1418,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1241,ZBTJ,ZLXN,B1418,108.0,108,108,108,108,108,108,108,108,108,108,108,108
20170803,CCA1242,ZLXN,ZBTJ,B1418,117.0,117,117,117,117,117,117,117,117,117,117,117,117
20170803,FZA6556,ZYHB,ZBTJ,B1435,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,FZA6556,ZBTJ,ZSFZ,B1435,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170802,OKA2752,ZSHC,ZBTJ,B1450,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2823,ZBTJ,ZLXY,B1450,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2868,VTSP,ZBTJ,B1450,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2833,ZBTJ,ZSCN,B1450,224.0,224,224,224,224,224,224,224,224,224,224,224,224
20170803,CUA565T,ZBTJ,ZBNY,B1465,,,,,,,,,,,,,
20170803,CHH7717,ZBTJ,ZYTL,B1487,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170802,OKA2708,ZYTL,ZBTJ,B1522,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2851,ZBTJ,ZUUU,B1522,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,OKA2852,ZUUU,ZBTJ,B1522,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,OKA2707,ZBTJ,ZYTL,B1522,223.0,223,223,223,223,223,223,223,223,223,223,223,223
20170803,CCA8279,ZBTJ,ZBYN,B1528,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA8280,ZBYN,ZBTJ,B1528,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CCA1655,ZBTJ,ZSPD,B1528,107.0,107,107,107,107,107,107,107,107,107,107,107,107
20170803,CHH7725,ZGHA,ZBTJ,B1545,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,CHH7725,ZBTJ,ZYHB,B1545,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,CXA8229,ZSHC,ZBTJ,B1550,227.0,227,227,227,227,227,227,227,227,227,227,227,227
20170803,CXA8229,ZBTJ,ZWWW,B1550,227.0,227,227,227,227,227,227,227,227,227,227,227,227
20170803,FZA655U,ZBTJ,ZYHB,B1562,208.0,208,208,208,208,208,208,208,208,208,208,208,208
20170802,OKA2832,ZGSD,ZBTJ,B1581,222.0,222,222,222,222,222,222,222,222,222,222,222,222
20170803,GCR7981,ZBTJ,RJCH,B1618,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7982,RJCH,ZBTJ,B1618,211.0,211,211,211,211,211,211,211,211,211,211,211,211
