data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520170803,NEWTGW188,None,ZBTJ,None,None,5378,26400,None,60.0,international,None,102,NEW9VOJD
51520170803,NEWTGW187,ZBTJ,None,None,None,37200,56576,None,60.0,international,None,102,NEW9VOJD
51520170803,NEWAIB000V,ZBTJ,None,None,None,35880,87013,None,34.1,domestic,None,502,NEWB000V
51520170803,NEWCCA8282,None,ZBTJ,None,None,9978,12840,None,35.8,domestic,None,117,NEWB1418
51520170803,NEWCCA1427,ZBTJ,None,None,None,29820,66809,None,35.8,domestic,None,118,NEWB1418
51520170803,NEWCCA1428,None,ZBTJ,None,None,47088,52680,None,35.8,domestic,None,109,NEWB1418
51520170803,NEWCCA1241,ZBTJ,None,None,None,56760,81584,None,35.8,domestic,None,109,NEWB1418
51520170803,NEWCCA1242,None,ZBTJ,None,None,60979,76020,None,35.8,domestic,None,117,NEWB1418
51520170803,NEWFZA6556,None,ZBTJ,None,None,32212,48840,None,35.8,domestic,None,418R,NEWB1435
51520170803,NEWFZA6556,ZBTJ,None,None,None,60120,62761,None,35.8,domestic,None,215,NEWB1435
51520170803,NEWOKA2752,None,ZBTJ,None,None,2198,2460,None,35.8,domestic,None,226,NEWB1450
51520170803,NEWOKA2823,ZBTJ,None,None,None,25920,85208,None,35.8,domestic,None,224,NEWB1450
51520170803,NEWOKA2868,None,ZBTJ,None,None,53665,53760,None,35.8,domestic,None,224,NEWB1450
51520170803,NEWOKA2833,ZBTJ,None,None,None,58260,89825,None,35.8,domestic,None,225,NEWB1450
51520170803,NEWCUA565T,ZBTJ,None,None,None,28980,47746,None,35.8,domestic,None,115,NEWB1465
51520170803,NEWCHH7717,ZBTJ,None,None,None,14640,53977,None,35.8,domestic,None,204,NEWB1487
51520170803,NEWOKA2708,None,ZBTJ,None,None,2793,2880,None,34.3,domestic,None,224,NEWB1522
51520170803,NEWOKA2851,ZBTJ,None,None,None,45420,66047,None,34.3,domestic,None,224,NEWB1522
51520170803,NEWOKA2852,None,ZBTJ,None,None,884,66900,None,34.3,domestic,None,225,NEWB1522
51520170803,NEWOKA2707,ZBTJ,None,None,None,77340,83315,None,34.3,domestic,None,224,NEWB1522
51520170803,NEWCCA8279,ZBTJ,None,None,None,51240,84022,None,35.8,domestic,None,117,NEWB1528
51520170803,NEWCCA8280,None,ZBTJ,None,None,68521,79320,None,35.8,domestic,None,202,NEWB1528
51520170803,NEWCCA1655,ZBTJ,None,None,None,83220,93654,None,35.8,domestic,None,201,NEWB1528
51520170803,NEWCHH7725,None,ZBTJ,None,None,40921,45360,None,35.8,domestic,None,412,NEWB1545
51520170803,NEWCHH7725,ZBTJ,None,None,None,49440,69349,None,35.8,domestic,None,209,NEWB1545
51520170803,NEWCXA8229,None,ZBTJ,None,None,6832,35400,None,35.8,domestic,None,226,NEWB1550
51520170803,NEWCXA8229,ZBTJ,None,None,None,41520,59507,None,35.8,domestic,None,225,NEWB1550
51520170803,NEWFZA655U,ZBTJ,None,None,None,50400,93387,None,35.8,domestic,None,215,NEWB1562
51520170803,NEWOKA2832,None,ZBTJ,None,None,1680,13740,None,34.3,domestic,None,226,NEWB1581
51520170803,NEWGCR7981,ZBTJ,None,None,None,32460,71714,None,34.1,domestic,None,415R,NEWB1618
51520170803,NEWGCR7982,None,ZBTJ,None,None,47006,59220,None,34.1,domestic,None,410,NEWB1618
51520170803,NEWGCR7895,ZBTJ,None,None,None,71100,91357,None,34.1,domestic,None,416R,NEWB1618
51520170803,NEWCHB6237,None,ZBTJ,None,None,25434,81120,None,34.1,domestic,None,216,NEWB1629
51520170803,NEWGCR7840,None,ZBTJ,None,None,85,3480,None,34.1,domestic,None,419,NEWB1658
51520170803,NEWEPA6283,None,ZBTJ,None,None,5372,53040,None,35.8,domestic,None,416,NEWB1705
51520170803,NEWEPA6284,ZBTJ,None,None,None,59580,97649,None,35.8,domestic,None,419,NEWB1705
51520170803,NEWJYH1056,ZBTJ,None,None,None,52140,89583,None,35.8,domestic,None,114,NEWB1716
51520170803,NEWOKA293X,None,ZBTJ,None,None,31085,37140,None,35.8,domestic,None,223,NEWB1732
51520170803,NEWOKA2701,ZBTJ,None,None,None,42480,88333,None,35.8,domestic,None,222,NEWB1732
51520170803,NEWOKA2702,None,ZBTJ,None,None,35757,81960,None,35.8,domestic,None,226,NEWB1732
51520170803,NEWCHH720X,None,ZBTJ,None,None,4673,40200,None,35.8,domestic,None,204,NEWB1735
51520170803,NEWCHH720Y,ZBTJ,None,None,None,46560,93627,None,35.8,domestic,None,419R,NEWB1735
51520170803,NEWCSN3134,ZBTJ,None,None,None,53760,73965,None,35.8,domestic,None,218,NEWB1737
51520170803,NEWCDG4717,None,ZBTJ,None,None,8993,29880,None,35.8,domestic,None,118,NEWB1746
51520170803,NEWCDG4717,ZBTJ,None,None,None,35160,81820,None,35.8,domestic,None,202,NEWB1746
51520170803,NEWCDG4718,None,ZBTJ,None,None,17648,62040,None,35.8,domestic,None,107,NEWB1746
51520170803,NEWCDG4718,ZBTJ,None,None,None,65880,94958,None,35.8,domestic,None,203,NEWB1746
51520170803,NEWCSC8815,None,ZBTJ,None,None,26801,31920,None,34.1,domestic,None,116,NEWB1820
51520170803,NEWCSC8815,ZBTJ,None,None,None,40320,46679,None,34.1,domestic,None,114,NEWB1820
51520170803,NEWCSC8816,None,ZBTJ,None,None,39525,54960,None,34.1,domestic,None,114,NEWB1820
51520170803,NEWCSC8816,ZBTJ,None,None,None,68940,92072,None,34.1,domestic,None,113,NEWB1820
51520170803,NEWGCR7896,None,ZBTJ,None,None,29246,41280,None,34.1,domestic,None,416,NEWB1849
51520170803,NEWGCR7993,ZBTJ,None,None,None,48720,58355,None,34.1,domestic,None,416L,NEWB1849
51520170803,NEWGCR7994,None,ZBTJ,None,None,46086,62940,None,34.1,domestic,None,414,NEWB1849
51520170803,NEWGCR6509,ZBTJ,None,None,None,71460,80635,None,34.1,domestic,None,415R,NEWB1849
51520170803,NEWGCR7814,None,ZBTJ,None,None,12085,13080,None,34.1,domestic,None,417R,NEWB1850
51520170803,NEWGCR7825,ZBTJ,None,None,None,24960,65081,None,34.1,domestic,None,417R,NEWB1850
51520170803,NEWGCR7826,None,ZBTJ,None,None,13514,71280,None,34.1,domestic,None,414L,NEWB1850
51520170803,NEWGCR7865,ZBTJ,None,None,None,79860,84938,None,34.1,domestic,None,415L,NEWB1850
51520170803,NEWDKH1135,None,ZBTJ,None,None,21855,58500,None,34.1,domestic,None,114,NEWB1857
51520170803,NEWDKH1135,ZBTJ,None,None,None,64200,72200,None,34.1,domestic,None,112,NEWB1857
51520170803,NEWFZA6555,None,ZBTJ,None,None,60989,74460,None,35.8,domestic,None,416R,NEWB1905
51520170803,NEWFZA6555,ZBTJ,None,None,None,82740,88742,None,35.8,domestic,None,417R,NEWB1905
51520170803,NEWCSZ9141,None,ZBTJ,None,None,8708,70500,None,35.8,domestic,None,117,NEWB1940
51520170803,NEWCSZ9142,ZBTJ,None,None,None,80880,85652,None,35.8,domestic,None,109,NEWB1940
51520170803,NEWCXA868,None,ZBTJ,None,None,52091,69900,None,35.8,domestic,None,225,NEWB1964
51520170803,NEWCXA8126,ZBTJ,None,None,None,76980,79806,None,35.8,domestic,None,229,NEWB1964
51520170803,NEWCDG4801,None,ZBTJ,None,None,10861,37320,None,35.8,domestic,None,202,NEWB1987
51520170803,NEWCDG8709,ZBTJ,None,None,None,44160,91985,None,35.8,domestic,None,202,NEWB1987
51520170803,NEWCDG8710,None,ZBTJ,None,None,18928,74820,None,35.8,domestic,None,108,NEWB1987
51520170803,NEWCDG4802,ZBTJ,None,None,None,78600,86820,None,35.8,domestic,None,201,NEWB1987
51520170803,NEWCKK214,None,ZBTJ,None,None,24941,28440,None,64.8,cargo,None,887,NEWB2079
51520170803,NEWCKK214,ZBTJ,None,None,None,37560,44089,None,64.8,cargo,None,874,NEWB2079
51520170803,NEWCYZ9101,ZBTJ,None,None,None,40920,77017,None,28.3,cargo,None,909,NEWB2135
51520170803,NEWCSN8638,ZBTJ,None,None,None,15120,67334,None,34.09,domestic,None,221,NEWB2297
51520170803,NEWYZR7480,None,ZBTJ,None,None,36136,51660,None,64.4,cargo,None,886,NEWB2437
51520170803,NEWYZR7480,ZBTJ,None,None,None,63000,98525,None,64.4,cargo,None,886,NEWB2437
51520170803,NEWLHA4015,None,ZBTJ,None,None,5142,18660,None,28.3,cargo,None,904,NEWB2572
51520170803,NEWLHA4016,ZBTJ,None,None,None,21960,24012,None,28.3,cargo,None,904,NEWB2572
51520170803,NEWLKE9714,ZBTJ,None,None,None,15660,35021,None,35.8,domestic,None,414,NEWB2677
51520170803,NEWLKE9713,None,ZBTJ,None,None,21059,80820,None,35.8,domestic,None,215,NEWB2677
51520170803,NEWCYZ9102,ZBTJ,None,None,None,22500,60538,None,28.9,cargo,None,874,NEWB2882
51520170803,NEWCYZ9112,None,ZBTJ,None,None,1495,36780,None,28.9,cargo,None,902,NEWB2882
51520170803,NEWCYZ9111,ZBTJ,None,None,None,39540,83913,None,28.9,cargo,None,902,NEWB2882
51520170803,NEWCYZ9113,None,ZBTJ,None,None,68633,84120,None,28.9,cargo,None,910,NEWB2882
51520170803,NEWYZR7943,ZBTJ,None,None,None,8160,80755,None,28.3,cargo,None,901,NEWB2885
