data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520180929,NEWMXD688,Default,ZBTJ,Default,Default,22950,84960,Default,35.8,MalindoAir,Default,104,NEW9MLNC
51520180929,NEWTGW139,ZBTJ,Default,Default,Default,40620,94062,Default,60.0,SCOOTER,Default,105,NEW9VOJC
51520180929,NEWTGW138,Default,ZBTJ,Default,Default,7014,27780,Default,60.0,SCOOTER,Default,102,NEW9VOJC
51520180929,NEWCBJ5196,ZBTJ,Default,Default,Default,43140,67539,Default,34.1,BeijingCapitalAirlines,Default,414L,NEWB1013
51520180929,NEWCBJ5717,Default,ZBTJ,Default,Default,10228,35100,Default,34.1,BeijingCapitalAirlines,Default,216,NEWB1013
51520180929,NEWCES5643,ZBTJ,Default,Default,Default,54660,68621,Default,34.1,ChinaEasternAirlines,Default,215,NEWB1076
51520180929,NEWCES5643,Default,ZBTJ,Default,Default,42548,48180,Default,34.1,ChinaEasternAirlines,Default,216,NEWB1076
51520180929,NEWCCA1534,Default,ZBTJ,Default,Default,7518,47160,Default,35.8,AirChina,Default,118,NEWB1219
51520180929,NEWCCA1387,ZBTJ,Default,Default,Default,55620,79456,Default,35.8,AirChina,Default,201,NEWB1219
51520180929,NEWCSH9116,ZBTJ,Default,Default,Default,49620,57987,Default,35.8,ShanghaiAirlines,Default,609,NEWB1335
51520180929,NEWCSH9115,Default,ZBTJ,Default,Default,40375,44340,Default,35.8,ShanghaiAirlines,Default,610,NEWB1335
51520180929,NEWCDG4717,ZBTJ,Default,Default,Default,34560,60106,Default,35.8,shandongAirlines,Default,108,NEWB1358
51520180929,NEWCDG4717,Default,ZBTJ,Default,Default,12965,28920,Default,35.8,shandongAirlines,Default,107,NEWB1358
51520180929,NEWCSH9147,Default,ZBTJ,Default,Default,31682,37860,Default,35.9,ShanghaiAirlines,Default,610,NEWB1381
51520180929,NEWCSH9148,ZBTJ,Default,Default,Default,44340,79969,Default,35.9,ShanghaiAirlines,Default,609,NEWB1381
51520180929,NEWCCA1318,Default,ZBTJ,Default,Default,43043,54240,Default,35.8,AirChina,Default,107,NEWB1418
51520180929,NEWCCA8353,ZBTJ,Default,Default,Default,58920,94882,Default,35.8,AirChina,Default,118,NEWB1418
51520180929,NEWCHH7498,ZBTJ,Default,Default,Default,38820,88598,Default,35.8,HainanAirlines,Default,410,NEWB1487
51520180929,NEWCHH7497,Default,ZBTJ,Default,Default,15056,34260,Default,35.8,HainanAirlines,Default,419,NEWB1487
51520180929,NEWCHH7050,ZBTJ,Default,Default,Default,63240,74708,Default,35.8,HainanAirlines,Default,413,NEWB1490
51520180929,NEWCHH7049,Default,ZBTJ,Default,Default,30807,55620,Default,35.8,HainanAirlines,Default,417R,NEWB1490
51520180929,NEWCHH7202,Default,ZBTJ,Default,Default,55259,66180,Default,35.8,HainanAirlines,Default,414R,NEWB1491
51520180929,NEWCHH7201,ZBTJ,Default,Default,Default,75540,88313,Default,35.8,HainanAirlines,Default,415L,NEWB1491
51520180929,NEWOKA2946,Default,ZBTJ,Default,Default,22389,76500,Default,34.3,OkayAirways,Default,226,NEWB1522
51520180929,NEWCCA1418,Default,ZBTJ,Default,Default,59868,64200,Default,35.8,AirChina,Default,117,NEWB1526
51520180929,NEWCCA1259,ZBTJ,Default,Default,Default,68040,81183,Default,35.8,AirChina,Default,109,NEWB1526
51520180929,NEWCCA1417,ZBTJ,Default,Default,Default,39720,52497,Default,35.8,AirChina,Default,118,NEWB1526
51520180929,NEWCCA1388,Default,ZBTJ,Default,Default,1085,4860,Default,35.8,AirChina,Default,202,NEWB1526
51520180929,NEWCXA8143,ZBTJ,Default,Default,Default,28740,39913,Default,35.8,XiamenAirlines,Default,226,NEWB1550
51520180929,NEWCXA8304,Default,ZBTJ,Default,Default,1603,7380,Default,35.8,XiamenAirlines,Default,230,NEWB1550
51520180929,NEWCXA8126,ZBTJ,Default,Default,Default,83460,89368,Default,35.8,XiamenAirlines,Default,226,NEWB1550
51520180929,NEWCXA8144,Default,ZBTJ,Default,Default,65100,79320,Default,35.8,XiamenAirlines,Default,229,NEWB1550
51520180929,NEWGCR7897,ZBTJ,Default,Default,Default,53100,74244,Default,34.1,TianjinAirlines,Default,415,NEWB1618
51520180929,NEWGCR7994,Default,ZBTJ,Default,Default,11110,45180,Default,34.1,TianjinAirlines,Default,411,NEWB1618
51520180929,NEWGCR7584,ZBTJ,Default,Default,Default,59460,94884,Default,34.1,TianjinAirlines,Default,419,NEWB1619
51520180929,NEWGCR7584,Default,ZBTJ,Default,Default,14665,53880,Default,34.1,TianjinAirlines,Default,214,NEWB1619
51520180929,NEWCXA8277,Default,ZBTJ,Default,Default,14767,71940,Default,35.8,XiamenAirlines,Default,227,NEWB1707
51520180929,NEWCXA8277,ZBTJ,Default,Default,Default,76680,85923,Default,35.8,XiamenAirlines,Default,227,NEWB1707
51520180929,NEWCXA867,ZBTJ,Default,Default,Default,51000,63208,Default,35.8,XiamenAirlines,Default,230,NEWB1749
51520180929,NEWCXA8470,Default,ZBTJ,Default,Default,33331,45360,Default,35.8,XiamenAirlines,Default,228,NEWB1749
51520180929,NEWCCA103,ZBTJ,Default,Default,Default,40980,54521,Default,35.8,AirChina,Default,202,NEWB1762
51520180929,NEWCCA8276,Default,ZBTJ,Default,Default,154,360,Default,35.8,AirChina,Default,203,NEWB1762
51520180929,NEWCCA1677,ZBTJ,Default,Default,Default,74460,88247,Default,35.8,AirChina,Default,202,NEWB1762
51520180929,NEWCCA104,Default,ZBTJ,Default,Default,18151,67920,Default,35.8,AirChina,Default,201,NEWB1762
51520180929,NEWCES5751,Default,ZBTJ,Default,Default,1653,2700,Default,35.8,ChinaEasternAirlines,Default,219,NEWB1788
51520180929,NEWCES5752,ZBTJ,Default,Default,Default,35100,48759,Default,35.8,ChinaEasternAirlines,Default,215,NEWB1788
51520180929,NEWCSC8358,Default,ZBTJ,Default,Default,20919,56880,Default,34.1,SichuanAirlines,Default,114,NEWB1891
51520180929,NEWCSC8809,ZBTJ,Default,Default,Default,62520,65244,Default,34.1,SichuanAirlines,Default,116,NEWB1891
51520180929,NEWFZA6570,ZBTJ,Default,Default,Default,47880,71791,Default,35.8,STRAITAIR,Default,416R,NEWB1906
51520180929,NEWFZA6569,Default,ZBTJ,Default,Default,40385,42780,Default,35.8,STRAITAIR,Default,417R,NEWB1906
51520180929,NEWCES5748,ZBTJ,Default,Default,Default,53700,65104,Default,35.8,ChinaEasternAirlines,Default,216,NEWB1907
51520180929,NEWCES5747,Default,ZBTJ,Default,Default,31520,45780,Default,35.8,ChinaEasternAirlines,Default,218,NEWB1907
51520180929,NEWOKA2908,ZBTJ,Default,Default,Default,78780,85799,Default,35.8,OkayAirways,Default,225,NEWB1963
51520180929,NEWOKA3104,Default,ZBTJ,Default,Default,28762,71760,Default,35.8,OkayAirways,Default,225,NEWB1963
51520180929,NEWCHH7797,Default,ZBTJ,Default,Default,51246,67680,Default,35.8,HainanAirlines,Default,410,NEWB206H
51520180929,NEWCHH7798,ZBTJ,Default,Default,Default,71460,98574,Default,35.8,HainanAirlines,Default,212,NEWB206H
51520180929,NEWCSC8046,ZBTJ,Default,Default,Default,84720,91205,Default,34.09,SichuanAirlines,Default,114,NEWB2300
51520180929,NEWCSC8045,Default,ZBTJ,Default,Default,50123,76740,Default,34.09,SichuanAirlines,Default,116,NEWB2300
51520180929,NEWYZR749X,ZBTJ,Default,Default,Default,55860,71946,Default,64.4,YangtzeRiverExpress,Default,912,NEWB2432
51520180929,NEWYZR7492,Default,ZBTJ,Default,Default,19856,47700,Default,64.4,YangtzeRiverExpress,Default,875,NEWB2432
51520180929,NEWLHA4015,Default,ZBTJ,Default,Default,4952,13560,Default,28.3,LonghaoAirlines,Default,898L,NEWB2572
51520180929,NEWLHA4016,ZBTJ,Default,Default,Default,16680,45605,Default,28.3,LonghaoAirlines,Default,898L,NEWB2572
51520180929,NEWCSN3168,Default,ZBTJ,Default,Default,32503,64560,Default,35.8,ChinaSouthernAirlines,Default,217,NEWB2695
51520180929,NEWCSN3167,ZBTJ,Default,Default,Default,68820,97288,Default,35.8,ChinaSouthernAirlines,Default,217,NEWB2695
51520180929,NEWCHH7960,ZBTJ,Default,Default,Default,69300,85693,Default,60.0,HainanAirlines,Default,419,NEWB2759
51520180929,NEWCHH7960,Default,ZBTJ,Default,Default,32488,48780,Default,60.0,HainanAirlines,Default,415,NEWB2759
51520180929,NEWCYZ9102,Default,ZBTJ,Default,Default,30738,36060,Default,38.05,ChinaPost,Default,896,NEWB2824
51520180929,NEWCYZ9111,ZBTJ,Default,Default,Default,41160,61422,Default,38.05,ChinaPost,Default,890,NEWB2824
51520180929,NEWHXA2925,ZBTJ,Default,Default,Default,48000,89738,Default,23.2,Chinaexpressair,Default,607,NEWB2928
51520180929,NEWHXA2841,Default,ZBTJ,Default,Default,4419,5640,Default,23.2,Chinaexpressair,Default,609,NEWB2928
51520180929,NEWGCR7991,ZBTJ,Default,Default,Default,31200,75595,Default,34.1,TianjinAirlines,Default,410,NEWB300S
51520180929,NEWGCR7876,Default,ZBTJ,Default,Default,5090,6420,Default,34.1,TianjinAirlines,Default,205,NEWB300S
51520180929,NEWGCR7978,Default,ZBTJ,Default,Default,18345,56400,Default,60.3,TianjinAirlines,Default,415,NEWB302D
51520180929,NEWGCR7989,ZBTJ,Default,Default,Default,76320,76895,Default,60.3,TianjinAirlines,Default,416,NEWB302D
51520180929,NEWGCR7856,Default,ZBTJ,Default,Default,56193,60480,Default,34.1,TianjinAirlines,Default,416L,NEWB302X
51520180929,NEWGCR7851,ZBTJ,Default,Default,Default,65040,92595,Default,60.3,TianjinAirlines,Default,417,NEWB302X
51520180929,NEWGCR7825,ZBTJ,Default,Default,Default,70980,78946,Default,28.72,TianjinAirlines,Default,213,NEWB3117
51520180929,NEWGCR7826,Default,ZBTJ,Default,Default,5515,66960,Default,28.72,TianjinAirlines,Default,205,NEWB3117
