data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
51520170803,NEWTGW187,ZBTJ,Default,Default,Default,37200,39446,Default,60.0,SCOOTER,Default,102,NEW9VOJD
51520170803,NEWCCA1428,Default,ZBTJ,Default,Default,14172,52680,Default,35.8,AirChina,Default,107,NEWB1418
51520170803,NEWCCA1241,ZBTJ,Default,Default,Default,56760,62958,Default,35.8,AirChina,Default,109,NEWB1418
51520170803,NEWCCA8282,Default,ZBTJ,Default,Default,3161,12840,Default,35.8,AirChina,Default,202,NEWB1418
51520170803,NEWCCA1427,ZBTJ,Default,Default,Default,29820,66238,Default,35.8,AirChina,Default,118,NEWB1418
51520170803,NEWFZA6556,ZBTJ,Default,Default,Default,60120,80921,Default,35.8,STRAITAIR,Default,204,NEWB1435
51520170803,NEWFZA6556,Default,ZBTJ,Default,Default,24610,48840,Default,35.8,STRAITAIR,Default,418,NEWB1435
51520170803,NEWOKA2833,ZBTJ,Default,Default,Default,58260,88933,Default,35.8,OkayAirways,Default,226,NEWB1450
51520170803,NEWOKA2868,Default,ZBTJ,Default,Default,23534,53760,Default,35.8,OkayAirways,Default,224,NEWB1450
51520170803,NEWOKA2752,Default,ZBTJ,Default,Default,1955,2460,Default,35.8,OkayAirways,Default,226,NEWB1450
51520170803,NEWOKA2823,ZBTJ,Default,Default,Default,25920,79764,Default,35.8,OkayAirways,Default,222,NEWB1450
51520170803,NEWOKA2707,ZBTJ,Default,Default,Default,77340,94755,Default,34.3,OkayAirways,Default,223,NEWB1522
51520170803,NEWOKA2852,Default,ZBTJ,Default,Default,56169,66900,Default,34.3,OkayAirways,Default,226,NEWB1522
51520170803,NEWCHH7725,ZBTJ,Default,Default,Default,49440,88309,Default,35.8,HainanAirlines,Default,409,NEWB1545
51520170803,NEWCHH7725,Default,ZBTJ,Default,Default,28866,45360,Default,35.8,HainanAirlines,Default,414,NEWB1545
51520170803,NEWCXA8229,Default,ZBTJ,Default,Default,19657,35400,Default,35.8,XiamenAirlines,Default,229,NEWB1550
51520170803,NEWCXA8229,ZBTJ,Default,Default,Default,41520,68427,Default,35.8,XiamenAirlines,Default,225,NEWB1550
51520170803,NEWGCR7981,ZBTJ,Default,Default,Default,32460,54780,Default,34.1,TianjinAirlines,Default,413,NEWB1618
51520170803,NEWGCR7895,ZBTJ,Default,Default,Default,71100,83205,Default,34.1,TianjinAirlines,Default,419R,NEWB1618
51520170803,NEWGCR7982,Default,ZBTJ,Default,Default,32209,59220,Default,34.1,TianjinAirlines,Default,215,NEWB1618
51520170803,NEWEPA6284,ZBTJ,Default,Default,Default,59580,97673,Default,35.8,DONGHAIAIR,Default,414,NEWB1705
51520170803,NEWEPA6283,Default,ZBTJ,Default,Default,52529,53040,Default,35.8,DONGHAIAIR,Default,412,NEWB1705
51520170803,NEWCHH720X,Default,ZBTJ,Default,Default,27656,40200,Default,35.8,HainanAirlines,Default,418R,NEWB1735
51520170803,NEWCHH720Y,ZBTJ,Default,Default,Default,46560,67319,Default,35.8,HainanAirlines,Default,204,NEWB1735
51520170803,NEWCDG4718,Default,ZBTJ,Default,Default,4633,62040,Default,35.8,shandongAirlines,Default,203,NEWB1746
51520170803,NEWCDG4718,ZBTJ,Default,Default,Default,65880,73555,Default,35.8,shandongAirlines,Default,108,NEWB1746
51520170803,NEWCSC8815,ZBTJ,Default,Default,Default,40320,82568,Default,34.1,SichuanAirlines,Default,115,NEWB1820
51520170803,NEWCSC8815,Default,ZBTJ,Default,Default,5613,31920,Default,34.1,SichuanAirlines,Default,114,NEWB1820
51520170803,NEWCSC8816,ZBTJ,Default,Default,Default,68940,72446,Default,34.1,SichuanAirlines,Default,115,NEWB1820
51520170803,NEWCSC8816,Default,ZBTJ,Default,Default,46291,54960,Default,34.1,SichuanAirlines,Default,113,NEWB1820
51520170803,NEWGCR7896,Default,ZBTJ,Default,Default,33303,41280,Default,34.1,TianjinAirlines,Default,204,NEWB1849
51520170803,NEWGCR7993,ZBTJ,Default,Default,Default,48720,74243,Default,34.1,TianjinAirlines,Default,205,NEWB1849
51520170803,NEWGCR6509,ZBTJ,Default,Default,Default,71460,81613,Default,34.1,TianjinAirlines,Default,207,NEWB1849
51520170803,NEWGCR7994,Default,ZBTJ,Default,Default,61627,62940,Default,34.1,TianjinAirlines,Default,419,NEWB1849
51520170803,NEWGCR7825,ZBTJ,Default,Default,Default,24960,64007,Default,34.1,TianjinAirlines,Default,416L,NEWB1850
51520170803,NEWGCR7814,Default,ZBTJ,Default,Default,9744,13080,Default,34.1,TianjinAirlines,Default,210,NEWB1850
51520170803,NEWGCR7865,ZBTJ,Default,Default,Default,79860,95881,Default,34.1,TianjinAirlines,Default,419,NEWB1850
51520170803,NEWGCR7826,Default,ZBTJ,Default,Default,30058,71280,Default,34.1,TianjinAirlines,Default,204,NEWB1850
51520170803,NEWDKH1135,Default,ZBTJ,Default,Default,37602,58500,Default,34.1,ShanghaiJuneyaoAirlines,Default,114,NEWB1857
51520170803,NEWDKH1135,ZBTJ,Default,Default,Default,64200,70393,Default,34.1,ShanghaiJuneyaoAirlines,Default,116,NEWB1857
51520170803,NEWFZA6555,ZBTJ,Default,Default,Default,82740,96103,Default,35.8,STRAITAIR,Default,416,NEWB1905
51520170803,NEWFZA6555,Default,ZBTJ,Default,Default,72753,74460,Default,35.8,STRAITAIR,Default,215,NEWB1905
51520170803,NEWCXA868,Default,ZBTJ,Default,Default,21978,69900,Default,35.8,XiamenAirlines,Default,228,NEWB1964
51520170803,NEWCXA8126,ZBTJ,Default,Default,Default,76980,84268,Default,35.8,XiamenAirlines,Default,229,NEWB1964
51520170803,NEWCDG8709,ZBTJ,Default,Default,Default,44160,95914,Default,35.8,shandongAirlines,Default,117,NEWB1987
51520170803,NEWCDG4801,Default,ZBTJ,Default,Default,33729,37320,Default,35.8,shandongAirlines,Default,202,NEWB1987
51520170803,NEWCDG4802,ZBTJ,Default,Default,Default,78600,83226,Default,35.8,shandongAirlines,Default,201,NEWB1987
51520170803,NEWCDG8710,Default,ZBTJ,Default,Default,61878,74820,Default,35.8,shandongAirlines,Default,107,NEWB1987
51520170803,NEWCKK214,ZBTJ,Default,Default,Default,37560,61106,Default,64.8,ChinaCargoAirlines,Default,899,NEWB2079
51520170803,NEWCKK214,Default,ZBTJ,Default,Default,27412,28440,Default,64.8,ChinaCargoAirlines,Default,896,NEWB2079
51520170803,NEWYZR7480,ZBTJ,Default,Default,Default,63000,78618,Default,64.4,YangtzeRiverExpress,Default,875,NEWB2437
51520170803,NEWYZR7480,Default,ZBTJ,Default,Default,29526,51660,Default,64.4,YangtzeRiverExpress,Default,910,NEWB2437
51520170803,NEWLHA4015,Default,ZBTJ,Default,Default,17958,18660,Default,28.3,LonghaoAirlines,Default,909,NEWB2572
