data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
51520170814,NEWTGW187,ZBTJ,Default,33600,55200,34380,0,B788,60.0,SCOOTER,Default,105,NEW9VOJC,0
51520170814,NEWTGW188,Default,ZBTJ,5490,27090,6270,26730,B788,60.0,SCOOTER,Default,102,NEW9VOJC,90
51520170814,NEWAIB000S,ZBTJ,Default,36000,39600,37020,39600,A320,34.1,ChinaEasternAirlines,Default,216,NEWB000S,0
51520170814,NEWCCA1246,Default,ZBTJ,42660,51060,43200,50700,B738,35.8,AirChina,Default,107,NEWB1418,60
51520170814,NEWCCA1241,ZBTJ,Default,55800,64500,56340,63660,B738,35.8,AirChina,Default,107,NEWB1418,0
51520170814,NEWCSH9147,Default,ZBTJ,29760,37560,33660,40020,B738,35.8,ShanghaiAirlines,Default,610,NEWB1448,60
51520170814,NEWCSH9148,ZBTJ,Default,43100,48900,44160,49680,B738,35.8,ShanghaiAirlines,Default,610,NEWB1448,0
51520170814,NEWOKA2861,ZBTJ,Default,30600,39900,42520,49600,B738,35.8,OkayAirways,Default,224,NEWB1450,0
51520170814,NEWOKA2868,Default,ZBTJ,9660,33060,18720,37380,B738,35.8,OkayAirways,Default,223,NEWB1450,60
51520170814,NEWFZA6601,Default,ZBTJ,33960,41460,41040,47640,B738,35.8,STRAITAIR,Default,416R,NEWB1480,60
51520170814,NEWFZA6602,ZBTJ,Default,45000,52200,51360,57420,B738,35.8,STRAITAIR,Default,413,NEWB1480,0
51520170814,NEWOKA2707,ZBTJ,Default,76800,81000,78060,80520,B739,34.3,OkayAirways,Default,222,NEWB1522,0
51520170814,NEWOKA2852,Default,ZBTJ,57360,66360,58620,66840,B739,34.3,OkayAirways,Default,223,NEWB1522,60
51520170814,NEWCCA1656,Default,ZBTJ,33660,41760,53100,59640,B738,35.8,AirChina,Default,107,NEWB1528,60
51520170814,NEWCCA8289,ZBTJ,Default,74700,80100,75480,79680,B738,35.8,AirChina,Default,118,NEWB1528,0
51520170814,NEWCHH7201,ZBTJ,Default,72900,84300,73920,82860,B738,35.8,HainanAirlines,Default,204,NEWB1542,0
51520170814,NEWCHH7202,Default,ZBTJ,58320,69420,60720,70320,B738,35.8,HainanAirlines,Default,204,NEWB1542,120
51520170814,NEWCJX8961,Default,ZBTJ,49560,57660,57480,63840,B738,35.8,AIRCRANE,Default,116,NEWB1558,60
51520170814,NEWCJX8962,ZBTJ,Default,62100,67500,68940,75300,B738,35.8,AIRCRANE,Default,114,NEWB1558,0
51520170814,NEWFZA6555,ZBTJ,Default,78000,85200,78240,84240,B738,35.8,STRAITAIR,Default,417R,NEWB1559,0
51520170814,NEWFZA6555,Default,ZBTJ,65460,74460,65640,73800,B738,35.8,STRAITAIR,Default,413,NEWB1559,60
51520170814,NEWOKA2708,Default,ZBTJ,-2340,-84540,5220,7740,B739,34.3,OkayAirways,Default,223,NEWB1581,60
51520170814,NEWOKA2859,ZBTJ,Default,27900,40200,28680,39900,B738,35.8,OkayAirways,Default,222,NEWB1581,0
51520170814,NEWCSZ9124,ZBTJ,Default,70800,82500,71280,81480,A320,34.1,ShenzhenAirlines,Default,118,NEWB1602,0
51520170814,NEWCSZ9123,Default,ZBTJ,55560,66360,57780,67320,A320,34.1,ShenzhenAirlines,Default,201,NEWB1602,60
51520170814,NEWQDA9854,ZBTJ,Default,75000,79500,75240,78240,A320,34.1,SKYLEGEND,Default,113,NEWB1617,0
51520170814,NEWQDA9854,Default,ZBTJ,58260,67560,58980,66000,A320,34.1,SKYLEGEND,Default,116,NEWB1617,60
51520170814,NEWGCR7577,Default,ZBTJ,33660,46860,34380,46560,A320,34.1,TianjinAirlines,Default,409,NEWB1618,60
51520170814,NEWGCR7577,ZBTJ,Default,51000,57300,51420,56520,A320,34.1,TianjinAirlines,Default,416R,NEWB1618,0
51520170814,NEWGCR7578,ZBTJ,Default,72000,600,72960,86820,A320,34.1,TianjinAirlines,Default,416R,NEWB1618,0
