data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
51520170819,NEWTGW187,ZBTJ,Default,33600,55200,35340,0,Default,60.0,SCOOTER,Default,105,NEW9VOJC,0
51520170819,NEWCCA1533,ZBTJ,Default,30420,35700,32940,38040,Default,35.8,AirChina,Default,202,NEWB1418,0
51520170819,NEWCCA1534,Default,ZBTJ,39420,47820,47580,53700,Default,35.8,AirChina,Default,109,NEWB1418,120
51520170819,NEWCCA1241,ZBTJ,Default,55500,64500,58260,65580,Default,35.8,AirChina,Default,203,NEWB1418,0
51520170819,NEWOKA2945,ZBTJ,Default,27900,40200,29220,40080,Default,34.3,OkayAirways,Default,225,NEWB1420,0
51520170819,NEWOKA2834,Default,ZBTJ,-10440,-2040,9480,16500,Default,35.8,OkayAirways,Default,225,NEWB1420,60
51520170819,NEWOKA2788,ZBTJ,Default,78000,3300,80280,89400,Default,34.3,OkayAirways,Default,226,NEWB1420,0
51520170819,NEWOKA2946,Default,ZBTJ,62460,73560,63240,72900,Default,34.3,OkayAirways,Default,224,NEWB1420,60
51520170819,NEWCDG4718,ZBTJ,Default,51600,55800,58320,61380,Default,35.8,shandongAirlines,Default,202,NEWB1436,0
51520170819,NEWCDG4718,Default,ZBTJ,42960,48060,50040,54180,Default,35.8,shandongAirlines,Default,202,NEWB1436,60
51520170819,NEWCSH9064,ZBTJ,Default,73160,78900,76620,0,Default,35.8,ShanghaiAirlines,Default,609,NEWB1453,0
51520170819,NEWCSH9063,Default,ZBTJ,57360,66060,64380,70620,Default,35.8,ShanghaiAirlines,Default,609,NEWB1453,60
51520170819,NEWCHH7797,Default,ZBTJ,57960,66060,59400,66480,Default,35.8,HainanAirlines,Default,414R,NEWB1492,60
51520170819,NEWCHH7798,ZBTJ,Default,69600,75000,71040,77400,Default,35.8,HainanAirlines,Default,419R,NEWB1492,0
51520170819,NEWCHH7201,ZBTJ,Default,73200,84300,73740,82380,Default,35.8,HainanAirlines,Default,419R,NEWB1501,0
51520170819,NEWCHH7202,Default,ZBTJ,58260,69360,60420,69660,Default,35.8,HainanAirlines,Default,409,NEWB1501,60
51520170819,NEWCCA1679,ZBTJ,Default,69000,76200,70740,77040,Default,35.8,AirChina,Default,201,NEWB1526,0
51520170819,NEWCCA1678,Default,ZBTJ,53760,63960,57480,66360,Default,35.8,AirChina,Default,118,NEWB1526,60
51520170819,NEWCCA1678,ZBTJ,Default,42500,52400,44700,53040,Default,35.8,AirChina,Default,202,NEWB1526,0
51520170819,NEWCCA1677,Default,ZBTJ,28320,36420,33240,39720,Default,35.8,AirChina,Default,202,NEWB1526,120
51520170819,NEWLKE9727,Default,ZBTJ,69060,77160,71400,80100,Default,35.8,LUCKYAIR,Default,207,NEWB1588,60
51520170819,NEWLKE9728,ZBTJ,Default,81700,3000,83700,91440,Default,35.8,LUCKYAIR,Default,204,NEWB1588,0
51520170819,NEWGCR7584,ZBTJ,Default,56700,63600,57720,63060,Default,34.1,TianjinAirlines,Default,207,NEWB1659,0
51520170819,NEWGCR7584,Default,ZBTJ,45180,52980,45660,51660,Default,34.1,TianjinAirlines,Default,414L,NEWB1659,180
