data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
231029,NEWTGW188,None,ZBTJ,None,None,4599,26400,None,60.0,None,None,912,NEW9VOJD
231029,NEWTGW187,ZBTJ,None,None,None,37200,75697,None,60.0,None,None,419,NEW9VOJD
231029,NEWAIB000V,ZBTJ,None,None,None,35880,84107,None,34.1,None,None,114,NEWB000V
231029,NEWCCA8282,None,ZBTJ,None,None,5771,12840,None,35.8,None,None,112,NEWB1418
231029,NEWCCA1427,ZBTJ,None,None,None,29820,55690,None,35.8,None,None,220,NEWB1418
231029,NEWCCA1428,None,ZBTJ,None,None,11263,52680,None,35.8,None,None,909,NEWB1418
231029,NEWCCA1241,ZBTJ,None,None,None,56760,57157,None,35.8,None,None,210,NEWB1418
231029,NEWCCA1242,None,ZBTJ,None,None,29267,76020,None,35.8,None,None,218,NEWB1418
231029,NEWCXA8229,None,ZBTJ,None,None,16607,35400,None,35.8,None,None,908,NEWB1550
231029,NEWCXA8229,ZBTJ,None,None,None,41520,92182,None,35.8,None,None,217,NEWB1550
231029,NEWGCR7981,ZBTJ,None,None,None,32460,48217,None,34.1,None,None,889,NEWB1618
231029,NEWGCR7982,None,ZBTJ,None,None,21253,59220,None,34.1,None,None,898,NEWB1618
231029,NEWGCR7895,ZBTJ,None,None,None,71100,99147,None,34.1,None,None,213,NEWB1618
231029,NEWCSC8815,None,ZBTJ,None,None,20059,31920,None,34.1,None,None,601,NEWB1820
231029,NEWCSC8815,ZBTJ,None,None,None,40320,84178,None,34.1,None,None,205,NEWB1820
231029,NEWCSC8816,None,ZBTJ,None,None,6551,54960,None,34.1,None,None,103,NEWB1820
231029,NEWCSC8816,ZBTJ,None,None,None,68940,81244,None,34.1,None,None,202,NEWB1820
231029,NEWCGZ7137,None,ZBTJ,None,None,38476,68280,None,28.72,None,None,601,NEWB3115
231029,NEWCGZ7138,ZBTJ,None,None,None,70720,95350,None,28.72,None,None,601,NEWB3115
231029,NEWHXA2843,None,ZBTJ,None,None,6634,75000,None,23.2,None,None,608,NEWB3378
231029,NEWHXA2844,ZBTJ,None,None,None,77400,83201,None,23.2,None,None,608,NEWB3378
231029,NEWCCA1679,ZBTJ,None,None,None,30780,93773,None,35.8,None,None,112,NEWB5227
231029,NEWCCA1680,None,ZBTJ,None,None,30436,50940,None,35.8,None,None,893,NEWB5227
231029,NEWCCA1527,ZBTJ,None,None,None,70620,94375,None,35.8,None,None,416,NEWB5227
231029,NEWCCA1528,None,ZBTJ,None,None,70319,85980,None,35.8,None,None,114,NEWB5227
231029,NEWCSC8861,None,ZBTJ,None,None,0,0,None,34.1,None,None,415L,NEWB6771
231029,NEWCSC8350,ZBTJ,None,None,None,62460,64133,None,34.1,None,None,913,NEWB6771
231029,NEWCHH7726,None,ZBTJ,None,None,60416,82680,None,35.8,None,None,879,NEWB7399
231029,NEWCHH7726,ZBTJ,None,None,None,86040,96791,None,35.8,None,None,879,NEWB7399
231029,NEWTBA9877,ZBTJ,None,None,None,24420,61953,None,34.1,None,None,904,NEWB8842
231029,NEWTBA9877,None,ZBTJ,None,None,17149,44100,None,34.1,None,None,903,NEWB8842
231029,NEWTBA9878,ZBTJ,None,None,None,72300,95002,None,34.1,None,None,902,NEWB8842
231029,NEWTBA9878,None,ZBTJ,None,None,69520,91980,None,34.1,None,None,907,NEWB8842
231029,NEWGCR7876,None,ZBTJ,None,None,7314,9420,None,34.1,None,None,213,NEWB9987
231029,NEWGCR7977,ZBTJ,None,None,None,34560,50565,None,34.1,None,None,221,NEWB9987
231029,NEWGCR7978,None,ZBTJ,None,None,35707,57000,None,34.1,None,None,212,NEWB9987
231029,NEWGCR7877,ZBTJ,None,None,None,61500,75799,None,34.1,None,None,501,NEWB9987
231029,NEWGCR7878,None,ZBTJ,None,None,23802,85260,None,34.1,None,None,108,NEWB9987
