data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
1620190807,NEWXAX318,Default,ZBTJ,57090,79890,61110,82110,A333,60.3,AirAsiaX,Default,101,NEW9MXBB,90
1620190807,NEWTGW139,ZBTJ,Default,34800,57000,41520,0,B789,60.0,SCOOTER,Default,102,NEW9VOJB,0
1620190807,NEWTGW138,Default,ZBTJ,5490,27090,6810,26670,B789,60.0,SCOOTER,Default,102,NEW9VOJB,90
1620190807,NEWGCR7890,Default,ZBTJ,48060,57960,53880,63000,E190,28.72,TianjinAirlines,Default,412,NEWB1030,60
1620190807,NEWGCR7853,ZBTJ,Default,65400,70800,67800,73860,E190,28.72,TianjinAirlines,Default,207,NEWB1030,0
1620190807,NEWGCR7854,Default,ZBTJ,75360,83160,78000,83760,E190,28.72,TianjinAirlines,Default,210,NEWB1030,60
1620190807,NEWGCR7928,Default,ZBTJ,-6840,-84240,12600,20400,A320,34.1,TianjinAirlines,Default,414L,NEWB1030,60
1620190807,NEWGCR7889,ZBTJ,Default,34140,43500,39600,48300,E190,28.72,TianjinAirlines,Default,217,NEWB1030,0
1620190807,NEWGCR7992,Default,ZBTJ,78060,85860,78180,83880,A320,34.1,TianjinAirlines,Default,418R,NEWB1052,60
1620190807,NEWGCR7982,Default,ZBTJ,43260,53760,46140,55140,A320,34.1,TianjinAirlines,Default,209,NEWB1052,60
1620190807,NEWGCR7991,ZBTJ,Default,67200,74400,67440,74100,A320,34.1,TianjinAirlines,Default,419R,NEWB1052,0
1620190807,NEWCES2370,Default,ZBTJ,59460,63960,59760,63120,A20N,35.8,ChinaEasternAirlines,Default,216,NEWB1211,60
1620190807,NEWCES2370,ZBTJ,Default,68400,76200,68640,74940,A20N,35.8,ChinaEasternAirlines,Default,217,NEWB1211,0
1620190807,NEWCES2369,ZBTJ,Default,49400,55500,52440,55980,A20N,35.8,ChinaEasternAirlines,Default,215,NEWB1211,0
1620190807,NEWCES2369,Default,ZBTJ,37560,45960,39000,45840,A20N,35.8,ChinaEasternAirlines,Default,217,NEWB1211,60
1620190807,NEWCCA1401,ZBTJ,Default,58400,70300,60540,71700,B738,35.8,AirChina,Default,201,NEWB1219,0
1620190807,NEWCCA1396,Default,ZBTJ,31620,42720,46680,55440,B738,35.8,AirChina,Default,201,NEWB1219,120
1620190807,NEWOKA3083,ZBTJ,Default,57300,68400,57120,66360,B739,34.3,OkayAirways,Default,225,NEWB1267,0
1620190807,NEWOKA2820,Default,ZBTJ,43260,53460,43440,52920,B738,35.8,OkayAirways,Default,223,NEWB1267,60
1620190807,NEWCSN3789,Default,ZBTJ,31260,42360,31740,41760,B738,35.8,ChinaSouthernAirlines,Default,221,NEWB1299,60
1620190807,NEWCSN3790,ZBTJ,Default,46800,59100,46740,57420,B738,35.8,ChinaSouthernAirlines,Default,221,NEWB1299,0
1620190807,NEWCXA8126,ZBTJ,Default,24900,34200,27900,36120,B738,35.8,XiamenAirlines,Default,228,NEWB1300,0
1620190807,NEWCXA8193,Default,ZBTJ,-6840,-85440,2160,8880,B738,35.8,XiamenAirlines,Default,230,NEWB1300,60
1620190807,NEWCXA8145,ZBTJ,Default,40500,50400,50160,58380,B738,35.8,XiamenAirlines,Default,230,NEWB1302,0
1620190807,NEWCXA8145,Default,ZBTJ,27360,36660,28740,37800,B738,35.8,XiamenAirlines,Default,227,NEWB1302,60
1620190807,NEWCXA8146,ZBTJ,Default,66240,75000,75420,83400,B738,35.8,XiamenAirlines,Default,230,NEWB1302,0
1620190807,NEWCXA8146,Default,ZBTJ,53460,62160,62820,69960,B738,35.8,XiamenAirlines,Default,229,NEWB1302,60
1620190807,NEWOKA2852,Default,ZBTJ,57360,66360,57660,65880,B739,34.3,OkayAirways,Default,226,NEWB1337,60
1620190807,NEWOKA2788,ZBTJ,Default,74700,86100,79080,88440,B739,34.3,OkayAirways,Default,224,NEWB1337,0
1620190807,NEWFZA6741,Default,ZBTJ,59760,65460,65040,69540,B738,35.8,STRAITAIR,Default,416L,NEWB1350,60
1620190807,NEWFZA6742,ZBTJ,Default,69000,75300,73740,78480,B738,35.8,STRAITAIR,Default,411,NEWB1350,0
1620190807,NEWCSN3167,ZBTJ,Default,68700,75600,72780,78780,B738,35.8,ChinaSouthernAirlines,Default,220,NEWB1411,0
