data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
220170819,NEWTGW188,Default,ZBTJ,5490,27090,7110,27090,B788,60.0,SCOOTER,Default,102,NEW9VOJC,90
220170819,NEWTGW187,ZBTJ,Default,33600,55200,35340,0,B788,60.0,SCOOTER,Default,102,NEW9VOJC,0
220170819,NEWOKA2878,Default,ZBTJ,36360,44160,43980,50880,B738,35.8,OkayAirways,Default,226,NEWB1450,60
220170819,NEWOKA2847,ZBTJ,Default,52200,62100,55260,63180,B738,35.8,OkayAirways,Default,225,NEWB1450,0
220170819,NEWCHH7797,Default,ZBTJ,58020,66120,59460,66540,B738,35.8,HainanAirlines,Default,416R,NEWB1492,120
220170819,NEWCHH7798,ZBTJ,Default,69600,75000,71040,77400,B738,35.8,HainanAirlines,Default,414R,NEWB1492,0
220170819,NEWCHH7202,Default,ZBTJ,58260,69360,60420,69660,B738,35.8,HainanAirlines,Default,418,NEWB1501,60
220170819,NEWCHH7201,ZBTJ,Default,73200,84300,73740,82380,B738,35.8,HainanAirlines,Default,415,NEWB1501,0
220170819,NEWCCA1678,Default,ZBTJ,53760,63960,57480,66360,B738,35.8,AirChina,Default,108,NEWB1526,60
220170819,NEWCCA1679,ZBTJ,Default,69000,76200,70740,77040,B738,35.8,AirChina,Default,117,NEWB1526,0
220170819,NEWCCA1677,Default,ZBTJ,28500,36600,33420,39900,B738,35.8,AirChina,Default,108,NEWB1526,300
220170819,NEWCCA1678,ZBTJ,Default,42500,52400,44700,53040,B738,35.8,AirChina,Default,117,NEWB1526,0
220170819,NEWCCA1655,ZBTJ,Default,72900,80100,76980,83580,B738,35.8,AirChina,Default,118,NEWB1528,0
220170819,NEWCCA816,Default,ZBTJ,51660,64260,52260,61560,B738,35.8,AirChina,Default,201,NEWB1528,60
220170819,NEWLKE9727,Default,ZBTJ,69060,77160,71400,80100,B738,35.8,LUCKYAIR,Default,217,NEWB1588,60
220170819,NEWLKE9728,ZBTJ,Default,81700,3000,83700,91440,B738,35.8,LUCKYAIR,Default,419,NEWB1588,0
220170819,NEWCSN6579,ZBTJ,Default,34200,44100,36120,44160,A320,34.1,ChinaSouthernAirlines,Default,222,NEWB1651,0
220170819,NEWCSN6579,Default,ZBTJ,27060,30660,27180,29820,A320,34.1,ChinaSouthernAirlines,Default,217,NEWB1651,60
220170819,NEWGCR7584,ZBTJ,Default,56700,63600,57720,63060,A320,34.1,TianjinAirlines,Default,215,NEWB1659,0
220170819,NEWGCR7584,Default,ZBTJ,45120,52920,45600,51600,A320,34.1,TianjinAirlines,Default,204,NEWB1659,120
220170819,NEWGCR7577,ZBTJ,Default,51000,57300,54480,60240,A320,34.1,TianjinAirlines,Default,416L,NEWB1692,0
220170819,NEWGCR7577,Default,ZBTJ,33660,47160,33780,45720,A320,34.1,TianjinAirlines,Default,419R,NEWB1692,60
220170819,NEWQDA9853,Default,ZBTJ,24660,29760,25320,28440,A320,34.1,SKYLEGEND,Default,116,NEWB1695,60
220170819,NEWQDA9853,ZBTJ,Default,36000,45300,36600,44400,A320,34.1,SKYLEGEND,Default,115,NEWB1695,0
220170819,NEWOKA2884,ZBTJ,Default,81000,2400,82560,88500,B738,35.8,OkayAirways,Default,223,NEWB1732,0
220170819,NEWOKA2898,Default,ZBTJ,66060,77460,67920,78840,B738,35.8,OkayAirways,Default,226,NEWB1732,60
220170819,NEWDKH1135,ZBTJ,Default,63300,69600,66300,71640,A321,34.1,ShanghaiJuneyaoAirlines,Default,116,NEWB1808,0
220170819,NEWDKH1135,Default,ZBTJ,51360,59760,55080,60840,A321,34.1,ShanghaiJuneyaoAirlines,Default,115,NEWB1808,60
220170819,NEWCXA867,ZBTJ,Default,50700,60900,52440,61860,B738,35.8,XiamenAirlines,Default,230,NEWB1913,0
220170819,NEWCXA8125,Default,ZBTJ,31860,42060,38700,48300,B738,35.8,XiamenAirlines,Default,229,NEWB1913,60
220170819,NEWCDG4717,Default,ZBTJ,25260,30060,25680,28800,B738,35.8,shandongAirlines,Default,117,NEWB1986,60
220170819,NEWCDG4717,ZBTJ,Default,34500,39000,34680,38520,B738,35.8,shandongAirlines,Default,107,NEWB1986,0
220170819,NEWCDG4801,Default,ZBTJ,26760,37260,38280,46980,B738,35.8,shandongAirlines,Default,202,NEWB1987,60
220170819,NEWCDG8709,ZBTJ,Default,40500,48300,51180,57180,B738,35.8,shandongAirlines,Default,109,NEWB1987,0
220170819,NEWCDG8710,Default,ZBTJ,64860,72960,72720,78660,B738,35.8,shandongAirlines,Default,109,NEWB1987,60
220170819,NEWCDG4802,ZBTJ,Default,76500,86100,82260,90720,B738,35.8,shandongAirlines,Default,107,NEWB1987,0
220170819,NEWCKK214,Default,ZBTJ,64950,8850,10050,40650,B77L,64.8,ChinaCargoAirlines,Default,876,NEWB2077,150
220170819,NEWCKK214,ZBTJ,Default,15900,22800,53640,59520,B77L,64.8,ChinaCargoAirlines,Default,874,NEWB2077,0
220170819,NEWCES2084,Default,ZBTJ,59760,64860,63660,66840,A320,34.1,ChinaEasternAirlines,Default,217,NEWB2229,60
220170819,NEWCES2084,ZBTJ,Default,68400,75900,73080,79080,A320,34.1,ChinaEasternAirlines,Default,218,NEWB2229,0
220170819,NEWCSN3301,Default,ZBTJ,39060,50160,40380,49800,A320,34.1,ChinaSouthernAirlines,Default,217,NEWB2406,60
220170819,NEWCSN3302,ZBTJ,Default,53700,65100,54960,63840,A320,34.1,ChinaSouthernAirlines,Default,217,NEWB2406,0
220170819,NEWLHA4016,ZBTJ,Default,18600,24900,18420,24360,B733,28.3,LonghaoAirlines,Default,901,NEWB2572,0
220170819,NEWLHA4015,Default,ZBTJ,9660,15660,8460,14580,B733,28.3,LonghaoAirlines,Default,912R,NEWB2572,60
