data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
20180929,NEWCBJ5718,ZBTJ,Default,78900,89700,85860,95760,A321,34.1,BeijingCapitalAirlines,Default,415,NEWB1013,0
20180929,NEWCBJ5195,Default,ZBTJ,61860,75360,62580,75540,A321,34.1,BeijingCapitalAirlines,Default,416R,NEWB1013,60
20180929,NEWCSC306,Default,ZBTJ,30660,45060,33600,48660,A321,34.1,SichuanAirlines,Default,114,NEWB1055,60
20180929,NEWCES5644,Default,ZBTJ,64860,72060,65520,72180,A320,34.1,ChinaEasternAirlines,Default,216,NEWB1076,60
20180929,NEWCES5644,ZBTJ,Default,76200,83400,79440,86100,A320,34.1,ChinaEasternAirlines,Default,216,NEWB1076,0
20180929,NEWCCA1402,Default,ZBTJ,73260,84960,73380,85020,B738,35.8,AirChina,Default,108,NEWB1218,60
20180929,NEWCCA1388,Default,ZBTJ,69120,80820,71400,80880,B738,35.8,AirChina,Default,109,NEWB1219,120
20180929,NEWCUA2217,ZBTJ,Default,24600,32400,27300,33120,B738,35.8,LIANHANG,Default,115,NEWB1311,0
20180929,NEWCDG4717,Default,ZBTJ,25260,30060,25860,30120,B738,35.8,shandongAirlines,Default,107,NEWB1358,60
20180929,NEWCDG4717,ZBTJ,Default,33600,39000,34620,39240,B738,35.8,shandongAirlines,Default,202,NEWB1358,0
20180929,NEWCCA8353,ZBTJ,Default,58200,64800,58980,64500,B738,35.8,AirChina,Default,118,NEWB1418,0
20180929,NEWCCA1318,Default,ZBTJ,42960,54660,44940,54720,B738,35.8,AirChina,Default,118,NEWB1418,60
20180929,NEWCCA1317,ZBTJ,Default,27600,39000,29160,39120,B738,35.8,AirChina,Default,117,NEWB1418,0
20180929,NEWOKA2820,Default,ZBTJ,41760,51660,44460,53520,B38M,35.9,OkayAirways,Default,225,NEWB1485,60
20180929,NEWOKA2825,ZBTJ,Default,68400,75300,68760,74340,B38M,35.9,OkayAirways,Default,223,NEWB1485,0
20180929,NEWCHH7498,ZBTJ,Default,38100,42000,38880,41880,B738,35.8,HainanAirlines,Default,414L,NEWB1487,0
20180929,NEWCHH7497,Default,ZBTJ,30660,34560,31020,34620,B738,35.8,HainanAirlines,Default,411,NEWB1487,60
20180929,NEWCHH7049,Default,ZBTJ,41760,54660,43020,55680,B738,35.8,HainanAirlines,Default,410,NEWB1490,60
20180929,NEWCHH7050,ZBTJ,Default,63300,77700,63420,75600,B738,35.8,HainanAirlines,Default,416R,NEWB1490,0
20180929,NEWCHH7202,Default,ZBTJ,55860,66960,56820,67020,B738,35.8,HainanAirlines,Default,416L,NEWB1491,60
20180929,NEWCHH7201,ZBTJ,Default,74100,85500,75600,85740,B738,35.8,HainanAirlines,Default,412,NEWB1491,0
20180929,NEWCCA1664,Default,ZBTJ,38460,42660,38880,42720,B738,35.8,AirChina,Default,109,NEWB1528,60
20180929,NEWCCA1441,ZBTJ,Default,47100,52200,48960,52680,B738,35.8,AirChina,Default,117,NEWB1528,0
20180929,NEWCXA8143,ZBTJ,Default,25200,36000,28740,37260,B738,35.8,XiamenAirlines,Default,230,NEWB1550,0
20180929,NEWCXA8126,ZBTJ,Default,80520,86100,83580,91680,B738,35.8,XiamenAirlines,Default,229,NEWB1550,0
20180929,NEWCXA8144,Default,ZBTJ,61920,72420,71160,79440,B738,35.8,XiamenAirlines,Default,226,NEWB1550,120
20180929,NEWGCR7905,ZBTJ,Default,76800,86100,77460,87420,A321,34.1,TianjinAirlines,Default,419,NEWB1618,0
20180929,NEWGCR7898,Default,ZBTJ,63660,72960,65280,73020,A320,34.1,TianjinAirlines,Default,414,NEWB1618,60
20180929,NEWGCR7897,ZBTJ,Default,50700,60000,53160,61680,A320,34.1,TianjinAirlines,Default,416L,NEWB1618,0
20180929,NEWGCR7994,Default,ZBTJ,38760,44760,39960,45240,A320,34.1,TianjinAirlines,Default,215,NEWB1618,60
20180929,NEWGCR7584,ZBTJ,Default,56700,63300,59520,65820,A320,34.1,TianjinAirlines,Default,410,NEWB1619,0
20180929,NEWGCR7584,Default,ZBTJ,45060,52860,46080,53940,A320,34.1,TianjinAirlines,Default,212,NEWB1619,60
20180929,NEWGCR6510,ZBTJ,Default,33900,47100,34620,47580,A320,34.1,TianjinAirlines,Default,416L,NEWB1619,0
