data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
0420170814,NEWVJT895,ZBTJ,Default,67200,77400,69060,0,GLEX,28.5,VistaJet,Default,887L,NEW9HVJP,0
0420170814,NEWTGW187,ZBTJ,Default,33600,55200,34380,0,B788,60.0,SCOOTER,Default,102,NEW9VOJC,0
0420170814,NEWTGW188,Default,ZBTJ,5490,27090,6270,27150,B788,60.0,SCOOTER,Default,102,NEW9VOJC,90
0420170814,NEWOKA2868,Default,ZBTJ,9660,33060,18720,37380,B738,35.8,OkayAirways,Default,224,NEWB1450,60
0420170814,NEWOKA2861,ZBTJ,Default,38520,39900,42520,49600,B738,35.8,OkayAirways,Default,222,NEWB1450,0
0420170814,NEWFZA6601,Default,ZBTJ,33960,41460,41040,47640,B738,35.8,STRAITAIR,Default,416,NEWB1480,60
0420170814,NEWFZA6602,ZBTJ,Default,48780,52200,51120,57420,B738,35.8,STRAITAIR,Default,416,NEWB1480,0
0420170814,NEWCCA1656,Default,ZBTJ,33660,41760,53100,59640,B738,35.8,AirChina,Default,109,NEWB1528,60
0420170814,NEWCCA8289,ZBTJ,Default,74700,80100,75480,79680,B738,35.8,AirChina,Default,203,NEWB1528,0
0420170814,NEWCHH7202,Default,ZBTJ,58260,69360,60660,70260,B738,35.8,HainanAirlines,Default,416L,NEWB1542,60
0420170814,NEWCHH7201,ZBTJ,Default,73500,84300,73680,82860,B738,35.8,HainanAirlines,Default,416L,NEWB1542,0
0420170814,NEWCJX8962,ZBTJ,Default,64980,67500,68940,75300,B738,35.8,AIRCRANE,Default,116,NEWB1558,0
0420170814,NEWCJX8961,Default,ZBTJ,49560,57660,57480,63840,B738,35.8,AIRCRANE,Default,116,NEWB1558,60
0420170814,NEWFZA6555,ZBTJ,Default,78000,85200,78240,84240,B738,35.8,STRAITAIR,Default,413,NEWB1559,0
0420170814,NEWFZA6555,Default,ZBTJ,65520,74520,65700,74580,B738,35.8,STRAITAIR,Default,419R,NEWB1559,120
0420170814,NEWOKA2859,ZBTJ,Default,27900,40200,28680,39900,B738,35.8,OkayAirways,Default,222,NEWB1581,0
0420170814,NEWLKE9727,Default,ZBTJ,69120,77220,69360,77280,B738,35.8,LUCKYAIR,Default,414R,NEWB1587,120
