data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
10520170819,NEWTGW188,Default,ZBTJ,5490,27090,7110,27090,B788,60.0,SCOOTER,Default,101,NEW9VOJC,90
10520170819,NEWTGW187,ZBTJ,Default,33600,55200,35340,0,B788,60.0,SCOOTER,Default,105,NEW9VOJC,0
10520170819,NEWOKA2946,Default,ZBTJ,62460,73560,63240,73620,B739,34.3,OkayAirways,Default,226,NEWB1420,60
10520170819,NEWOKA2788,ZBTJ,Default,78000,3300,80280,89400,B739,34.3,OkayAirways,Default,225,NEWB1420,0
10520170819,NEWCDG4718,Default,ZBTJ,42960,48060,50040,54180,B738,35.8,shandongAirlines,Default,118,NEWB1436,60
10520170819,NEWCDG4718,ZBTJ,Default,55320,55800,58320,61380,B738,35.8,shandongAirlines,Default,117,NEWB1436,0
10520170819,NEWOKA2878,Default,ZBTJ,36360,44160,43980,50880,B738,35.8,OkayAirways,Default,224,NEWB1450,60
10520170819,NEWOKA2847,ZBTJ,Default,52200,62100,55260,63180,B738,35.8,OkayAirways,Default,226,NEWB1450,0
10520170819,NEWCSH9064,ZBTJ,Default,73160,78900,76620,0,B738,35.8,ShanghaiAirlines,Default,609,NEWB1453,0
10520170819,NEWCSH9063,Default,ZBTJ,57360,66060,64380,70620,B738,35.8,ShanghaiAirlines,Default,609,NEWB1453,60
10520170819,NEWCHH7797,Default,ZBTJ,58020,66120,59460,66540,B738,35.8,HainanAirlines,Default,215,NEWB1492,120
10520170819,NEWCHH7798,ZBTJ,Default,69600,75000,71040,77400,B738,35.8,HainanAirlines,Default,205,NEWB1492,0
10520170819,NEWCHH7202,Default,ZBTJ,58260,69360,60420,69660,B738,35.8,HainanAirlines,Default,416R,NEWB1501,60
10520170819,NEWCHH7201,ZBTJ,Default,73200,84300,73740,82380,B738,35.8,HainanAirlines,Default,410,NEWB1501,0
10520170819,NEWCCA1677,Default,ZBTJ,28320,36420,33240,39720,B738,35.8,AirChina,Default,109,NEWB1526,120
10520170819,NEWCCA1678,ZBTJ,Default,42500,52400,44700,53040,B738,35.8,AirChina,Default,202,NEWB1526,0
10520170819,NEWCCA1679,ZBTJ,Default,69000,76200,70740,77040,B738,35.8,AirChina,Default,203,NEWB1526,0
