data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
30520180718,NEWTGW139,ZBTJ,Default,33600,55200,35280,56880,B789,60.0,SCOOTER,Default,102,NEW9VOFD,0
30520180718,NEWDKH1135,Default,ZBTJ,51360,59760,53160,59820,A320,34.1,ShanghaiJuneyaoAirlines,Default,112,NEWB1002,60
30520180718,NEWDKH1135,ZBTJ,Default,63780,69900,63840,68820,A320,34.1,ShanghaiJuneyaoAirlines,Default,114,NEWB1002,0
30520180718,NEWCBJ5196,ZBTJ,Default,38400,51600,39300,52260,A321,34.1,BeijingCapitalAirlines,Default,417,NEWB1012,0
30520180718,NEWCBJ5717,Default,ZBTJ,23820,34620,24360,34680,A321,34.1,BeijingCapitalAirlines,Default,413,NEWB1012,120
30520180718,NEWGCR7971,ZBTJ,Default,32400,43200,32580,44880,A320,34.1,TianjinAirlines,Default,416R,NEWB1052,0
30520180718,NEWGCR7887,ZBTJ,Default,69000,79500,69960,79020,A332,60.3,TianjinAirlines,Default,418,NEWB1052,0
30520180718,NEWGCR7972,Default,ZBTJ,47460,61560,49440,61680,A320,34.1,TianjinAirlines,Default,205,NEWB1052,60
30520180718,NEWCCA1674,Default,ZBTJ,69180,76680,70500,76740,B738,35.8,AirChina,Default,107,NEWB1218,180
30520180718,NEWCCA8289,ZBTJ,Default,77760,78000,85200,88620,B738,35.8,AirChina,Default,118,NEWB1218,0
30520180718,NEWCCA1679,ZBTJ,Default,28500,38400,29700,37800,B738,35.8,AirChina,Default,118,NEWB1218,0
30520180718,NEWCCA1388,Default,ZBTJ,69060,80760,73560,83640,B738,35.8,AirChina,Default,202,NEWB1219,60
30520180718,NEWCSH9147,Default,ZBTJ,29760,37560,31140,38640,B38M,35.9,ShanghaiAirlines,Default,610,NEWB1260,60
30520180718,NEWCSH9148,ZBTJ,Default,41700,49800,44160,50580,B38M,35.9,ShanghaiAirlines,Default,219,NEWB1260,0
30520180718,NEWCXA8089,ZBTJ,Default,28800,35400,28860,34860,B738,35.8,XiamenAirlines,Default,227,NEWB1287,0
30520180718,NEWCXA8188,ZBTJ,Default,38700,45600,42060,47940,B738,35.8,XiamenAirlines,Default,226,NEWB1302,0
30520180718,NEWCXA8187,Default,ZBTJ,27420,34920,29760,36840,B738,35.8,XiamenAirlines,Default,228,NEWB1302,120
30520180718,NEWAMU237,ZBTJ,Default,44100,55200,45240,56340,A320,34.1,AirMacau,Default,102,NEWB1338,0
30520180718,NEWAMU238,Default,ZBTJ,29460,40560,30300,40620,A320,34.1,AirMacau,Default,105,NEWB1338,60
30520180718,NEWFZA6601,Default,ZBTJ,33780,41580,35040,41640,B738,35.8,STRAITAIR,Default,417,NEWB1348,180
30520180718,NEWFZA6602,ZBTJ,Default,45000,52500,46260,52620,B738,35.8,STRAITAIR,Default,416,NEWB1348,0
