data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
00520170814,NEWCCA1242,Default,ZBTJ,68760,77460,68340,77520,B738,35.8,AirChina,Default,202,NEWB1418,60
00520170814,NEWOKA2851,ZBTJ,Default,42300,53100,42900,51420,B739,34.3,OkayAirways,Default,222,NEWB1522,0
00520170814,NEWCSZ9122,ZBTJ,Default,39900,51600,40440,51660,B738,35.8,ShenzhenAirlines,Default,118,NEWB1759,0
00520170814,NEWCYZ9112,Default,ZBTJ,76260,84960,77760,85020,B734,28.9,ChinaPost,Default,914,NEWB2892,60
00520170814,NEWGCR7917,ZBTJ,Default,65400,74400,66360,72840,E190,28.72,TianjinAirlines,Default,204,NEWB3156,0
00520170814,NEWGCR7832,Default,ZBTJ,44760,54360,46980,56760,E190,28.72,TianjinAirlines,Default,414,NEWB3156,60
00520170814,NEWHXA2842,ZBTJ,Default,83340,1200,85020,89580,CRJ9,23.2,Chinaexpressair,Default,605,NEWB3377,0
00520170814,NEWHXA2841,Default,ZBTJ,73260,78660,77820,82200,CRJ9,23.2,Chinaexpressair,Default,608,NEWB3377,60
00520170814,NEWCCA802,Default,ZBTJ,60060,66360,66480,71640,B737,35.8,AirChina,Default,108,NEWB5228,60
00520170814,NEWCXA8140,Default,ZBTJ,60360,70860,65820,74580,B738,35.8,XiamenAirlines,Default,228,NEWB5309,60
00520170814,NEWCXA8621,ZBTJ,Default,75900,84600,78960,85800,B738,35.8,XiamenAirlines,Default,227,NEWB5309,0
00520170814,NEWCCA151,ZBTJ,Default,32700,36600,33360,36120,B738,35.8,AirChina,Default,117,NEWB5495,0
00520170814,NEWCCA1317,ZBTJ,Default,27600,39000,28320,37800,B738,35.8,AirChina,Default,118,NEWB5510,0
00520170814,NEWGCR7866,Default,ZBTJ,72360,84660,73020,84840,A320,34.1,TianjinAirlines,Default,416,NEWB6727,60
00520170814,NEWOKA2987,ZBTJ,Default,39720,45900,39840,45420,B738,35.8,OkayAirways,Default,224,NEWB6997,0
00520170814,NEWCXA8230,ZBTJ,Default,76200,83400,77100,83160,B738,35.8,XiamenAirlines,Default,229,NEWB7819,0
00520170814,NEWCXA8230,Default,ZBTJ,57960,71160,58920,71220,B738,35.8,XiamenAirlines,Default,230,NEWB7819,60
00520170814,NEWCCA1670,Default,ZBTJ,73860,82560,77760,85200,B738,35.8,AirChina,Default,118,NEWB7893,60
00520170814,NEWUEA2250,Default,ZBTJ,54960,63660,56100,63720,A320,34.1,ChengduAirlines,Default,116,NEWB8186,60
00520170814,NEWUEA2250,ZBTJ,Default,67260,78300,67860,76320,A320,34.1,ChengduAirlines,Default,116,NEWB8186,0
00520170814,NEWGCR6509,ZBTJ,Default,47400,54600,47880,53700,A320,34.1,TianjinAirlines,Default,413,NEWB8505,0
00520170814,NEWGCR6510,Default,ZBTJ,36360,43260,37560,43320,A320,34.1,TianjinAirlines,Default,419,NEWB8505,60
00520170814,NEWGCR7989,ZBTJ,Default,73800,83100,77760,0,A320,34.1,TianjinAirlines,Default,418R,NEWB9987,0
00520170814,NEWGCR7858,Default,ZBTJ,62160,69060,67860,72660,A320,34.1,TianjinAirlines,Default,415L,NEWB9987,60
00520170814,NEWSWM498,ZBTJ,Default,65300,82200,66780,83400,A320,34.1,Sky Angkor Airlines,Default,106,NEWXU706,0
00520170814,NEWSWM497,Default,ZBTJ,32160,59760,45780,62400,A320,34.1,Sky Angkor Airlines,Default,101,NEWXU706,60
