data,callsign,departure,arrivee,registration,Parking
20170806,ICU939,ZBYN,ZBTJ,B10GF,897
20170806,CCA1242,ZLXN,ZBTJ,B1418,109
20170806,CCA1427,ZBTJ,ZUUU,B1418,107
20170806,CCA1428,ZUUU,ZBTJ,B1418,203
20170806,CCA1241,ZBTJ,ZLXN,B1418,107
20170806,OKA2843,ZBTJ,RJSA,B1450,223
20170806,OKA2990,RJTT,ZBTJ,B1450,222
20170806,OKA2865,ZBTJ,ZYTL,B1450,222
20170806,OKA2866,ZYTL,ZBTJ,B1450,222
20170806,OKA2787,ZBTJ,ZGGG,B1450,223
20170806,OKA2844,RJSA,ZBTJ,B1450,222
20170806,OKA2788,ZBTJ,ZGGG,B1450,223
20170806,CSH9063,ZSSS,ZBTJ,B1451,219
20170806,CSH9064,ZBTJ,ZSSS,B1451,218
20170806,FZA6556,ZYHB,ZBTJ,B1480,211
20170806,FZA6556,ZBTJ,ZSFZ,B1480,211
20170805,OKA2946,ZGSZ,ZBTJ,B1522,222
20170806,OKA2851,ZBTJ,ZUUU,B1522,224
20170806,OKA2852,ZUUU,ZBTJ,B1522,222
20170806,OKA2877,ZBTJ,ZSNB,B1522,222
20170806,CCA124T,ZBAA,ZBTJ,B1528,201
20170806,CCA103,ZBTJ,VHHH,B1528,108
20170806,CCA104,VHHH,ZBTJ,B1528,201
20170806,CCA1251,ZBTJ,ZLXY,B1528,107
20170806,CCA1252,ZLXY,ZBTJ,B1528,107
20170806,EPA6283,ZLLL,ZBTJ,B1532,213
20170806,EPA6284,ZBTJ,ZLLL,B1532,211
20170806,CJX8961,ZSCN,ZBTJ,B1558,111
20170806,CJX8962,ZBTJ,ZSCN,B1558,111
20170806,FZA6555,ZSFZ,ZBTJ,B1559,211
20170806,FZA6555,ZBTJ,ZYHB,B1559,211
20170805,OKA2708,ZYTL,ZBTJ,B1581,223
20170806,OKA2831,ZBTJ,ZGSD,B1581,222
20170806,OKA2832,ZGSD,ZBTJ,B1581,222
20170806,OKA2707,ZBTJ,ZYTL,B1581,222
20170806,LKE9727,ZUMY,ZBTJ,B1587,213
20170806,CSZ9123,ZGSZ,ZBTJ,B1602,203
20170806,CSZ9124,ZBTJ,ZGSZ,B1602,107
20170806,QDA9853,ZSQD,ZBTJ,B1617,111
20170806,QDA9853,ZBTJ,ZBLA,B1617,111
20170806,GCR7896,ZUCK,ZBTJ,B1618,213
20170806,GCR7813,ZBTJ,ZYTL,B1618,209
20170806,GCR7577,ZWWW,ZBTJ,B1619,210
20170806,GCR7577,ZBTJ,ZYCC,B1619,210
20170806,GCR7578,ZYCC,ZBTJ,B1619,209
20170806,GCR7578,ZBTJ,ZWWW,B1619,209
20170806,EVA729,ZBTJ,RCTP,B16216,101
20170806,EVA730,RCTP,ZBTJ,B16216,103
20170806,GCR7584,ZYHB,ZBTJ,B1659,211
20170806,GCR7584,ZBTJ,ZLXY,B1659,211
20170806,CSC8567,ZYHB,ZBTJ,B1677,110
20170806,CSC8567,ZBTJ,ZLLL,B1677,110
20170806,CXA8139,ZBTJ,ZSAM,B1707,225
20170806,CXA8140,ZSAM,ZBTJ,B1707,225
20170806,CXA8621,ZBTJ,ZGHA,B1707,226
20170806,JYH1055,ZGGG,ZBTJ,B1715,115
20170806,JYH1056,ZBTJ,ZGGG,B1716,111
20170805,OKA2898,ZPPP,ZBTJ,B1732,225
20170806,OKA2777,ZBTJ,ZGSZ,B1732,223
20170806,OKA2778,ZGSZ,ZBTJ,B1732,222
20170806,CCA1677,ZYHB,ZBTJ,B1762,107
20170806,CCA1677,ZBTJ,ZGKL,B1762,107
20170805,GCR7970,UHWW,ZBTJ,B184,213
20170805,GCR7860,ZHHH,ZBTJ,B1849,210
20170806,GCR7815,ZBTJ,ZSQD,B1849,210
20170806,GCR7816,ZSQD,ZBTJ,B1849,211
20170806,GCR7895,ZBTJ,ZUCK,B1849,209
20170806,GCR7977,ZBTJ,RJBB,B1851,211
20170806,GCR7990,RJTT,ZBTJ,B1851,211
20170806,GCR7978,RJBB,ZBTJ,B1851,214
20170806,GCR7877,ZBTJ,ZLXN,B1851,211
20170806,GCR7878,ZLXN,ZBTJ,B1851,213
20170806,CSC8357,ZBTJ,ZJHK,B1887,110
20170806,CSC8861,ZUUU,ZBTJ,B1887,110
20170806,FZA6601,ZSZS,ZBTJ,B1906,211
20170806,FZA6602,ZBTJ,ZSZS,B1906,211
20170806,CXA855,ZBTJ,ZSAM,B1970,225
20170806,CDG4801,ZSAM,ZBTJ,B1987,107
20170806,CDG8709,ZBTJ,ZLIC,B1987,107
20170806,CDG8710,ZLIC,ZBTJ,B1987,109
20170806,CDG4802,ZBTJ,ZSAM,B1987,107
20170805,CHH7202,ZGGG,ZBTJ,B1997,214
20170805,CAO1036,EHAM,ZBTJ,B2095,101
20170806,CAO1036,ZBTJ,ZSPD,B2095,101
20170806,CSN3301,ZGGG,ZBTJ,B2406,220
20170806,CSN3302,ZBTJ,ZGGG,B2406,220
20170805,YZR7498,EHAM,ZBTJ,B2435,897
20170806,YZR7498,ZBTJ,ZSPD,B2435,897
20170806,CAO1014,EDDF,ZBTJ,B2476,101
20170806,CAO1014,ZBTJ,ZSPD,B2476,101
20170806,CHH779R,ZBTJ,ZSCN,B2676,209
20170806,CHH760R,ZBTJ,ZBAA,B2728,414
20170806,GCR7835,ZBTJ,ZBTL,B3081,211
20170806,GCR7836,ZBTL,ZBTJ,B3081,213
20170806,GCR7923,ZBTJ,ZSYT,B3092,208
20170806,GCR7924,ZSYT,ZBTJ,B3092,210
20170806,GCR7849,ZBTJ,ZYCY,B3092,210
20170806,GCR7850,ZYCY,ZBTJ,B3092,214
20170806,GCR7889,ZBTJ,ZSAM,B3100,212
20170806,GCR7890,ZSAM,ZBTJ,B3100,212
20170806,GCR7921,ZBTJ,ZSYT,B3100,211
20170806,GCR7922,ZSYT,ZBTJ,B3100,211
20170806,GCR6658,ZYTL,ZBTJ,B3120,214
20170806,CBG882V,ZBTJ,ZUKJ,B3125,112
20170806,GCR7843,ZBTJ,ZHCC,B3129,209
20170806,GCR7844,ZHCC,ZBTJ,B3129,210
20170806,GCR7853,ZBTJ,ZSHC,B3157,205
20170806,GCR7854,ZSHC,ZBTJ,B3157,209
20170806,CBG885X,ZBTJ,ZHNY,B3159,112
20170806,GCR7831,ZBTJ,ZUGY,B3167,210
20170806,GCR7832,ZUGY,ZBTJ,B3167,206
20170806,GCR787Z,ZHHH,ZBTJ,B3168,211
20170806,GCR7909,ZBTJ,ZYQQ,B3168,211
20170806,GCR7910,ZYQQ,ZBTJ,B3168,213
20170806,GCR7851,ZBTJ,ZSHC,B3168,210
20170806,GCR7852,ZSHC,ZBTJ,B3168,214
20170806,GCR6433,ZYTL,ZBTJ,B3170,212
20170806,GCR6434,ZBTJ,ZYTL,B3170,212
20170806,GCR782S,ZBTJ,ZBDS,B3171,211
20170806,CBG8821,ZUNC,ZBTJ,B3180,112
20170806,CBG8822,ZBTJ,ZUNC,B3180,110
20170806,GCR6657,ZBHH,ZBTJ,B3182,213
20170806,GCR7911,ZBTJ,ZBCF,B3189,209
20170806,GCR7912,ZBCF,ZBTJ,B3189,214
20170806,GCR7927,ZBTJ,ZBHH,B3189,211
20170806,GCR7928,ZBHH,ZBTJ,B3189,213
20170806,GCR7819,ZBTJ,ZGHA,B3192,209
20170806,GCR7820,ZGHA,ZBTJ,B3192,211
20170806,GCR7581,ZLXY,ZBTJ,B3195,206
20170806,GCR7581,ZBTJ,ZBXH,B3195,206
20170806,GCR7582,ZBXH,ZBTJ,B3195,210
20170806,GCR7582,ZBTJ,ZLXY,B3195,210
20170806,GCR7821,ZBTJ,ZYTL,B3235,209
20170806,GCR7822,ZYTL,ZBTJ,B3235,206
20170806,GCR7809,ZBTJ,ZSCN,B3235,210
20170805,GCR7918,ZBLA,ZBTJ,B3238,213
20170806,GCR7817,ZBTJ,ZSFY,B3238,207
20170806,GCR7818,ZSFY,ZBTJ,B3238,213
20170806,CGZ7121,ZUWX,ZBTJ,B3242,215
20170806,CGZ7122,ZBTJ,ZUWX,B3242,215
20170805,GCR7852,ZSHC,ZBTJ,B3245,213
20170806,GCR7859,ZBTJ,ZHHH,B3245,208
20170806,HXA2841,ZBOW,ZBTJ,B3251,601
20170806,HXA2842,ZBTJ,ZBOW,B3251,601
20170805,HXA2926,ZYTL,ZBTJ,B3252,601
20170806,HXA2905,ZBTJ,ZLTS,B3252,601
20170806,HXA2906,ZLTS,ZBTJ,B3252,601
20170806,HXA2669,ZBTJ,ZLGY,B3252,601
20170806,HXA2670,ZLGY,ZBTJ,B3363,602
20170806,HXA2656,ZBTJ,ZBZJ,B3363,601
20170806,HXA2785,ZBXZ,ZBTJ,B3372,602
20170806,HXA2786,ZBTJ,ZBXZ,B3372,602
20170806,JOY1610,ZBTJ,ZBOW,B3440,501
