data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration
20190131,MXD688,WBKK,ZBTJ,-20400,0,-16260,1260,B738,35.8,MalindoAir,16R,103,9MLNT
20190201,MXD689,ZBTJ,WBKK,19030,21360,26720,31360,B738,35.8,MalindoAir,16R,102,9MLNT
20190201,TGW138,WSSS,ZBTJ,5400,26700,14820,34200,B789,60.0,SCOOTER,16R,101,9VOJB
20190201,TGW139,ZBTJ,WSSS,35400,56700,41580,0,B789,60.0,SCOOTER,16R,101,9VOJB
20190201,GCR7577,ZWWW,ZBTJ,31800,46200,32700,46260,A320,34.1,TianjinAirlines,16R,213,B1031
20190201,GCR7577,ZBTJ,ZYCC,51900,58800,54480,60000,A320,34.1,TianjinAirlines,16R,209,B1031
20190201,CGH1029,ZGKL,ZBTJ,32700,42900,33360,42960,A320,34.1,GuizhouAirlines,16R,113,B1040
20190201,CGH1030,ZBTJ,ZGKL,48000,57900,51960,61980,A320,34.1,GuizhouAirlines,16R,111,B1040
20190201,CDC8853,ZSNB,ZBTJ,70800,79200,72120,80100,A320,34.1,ZhejiangLoongAlrlines,16R,112,B1075
20190201,CDC8854,ZBTJ,ZSNB,82800,3900,83940,89820,A320,34.1,ZhejiangLoongAlrlines,16R,112,B1075
20190201,OKA270T,ZSHC,ZBTJ,36300,44400,37560,44400,B38M,35.9,OkayAirways,16R,222,B1157
20190201,OKA3097,ZBTJ,ZSHC,45600,32400,49500,55920,B38M,35.9,OkayAirways,16R,226,B1157
20190201,HBH3309,ZBTJ,ZSWZ,32400,41100,33720,40980,B738,35.8,HEBEIAIRLINES,16R,114,B1158
20190201,CCA750,VTBS,ZBTJ,9600,25800,11160,25860,B738,35.8,AirChina,16R,117,B1218
20190201,CCA1671,ZBTJ,ZGSZ,42300,55500,45900,56820,B738,35.8,AirChina,16R,108,B1218
20190201,CCA1672,ZGSZ,ZBTJ,59100,70200,61920,71580,B738,35.8,AirChina,16R,108,B1218
20190201,CCA1529,ZBTJ,ZSAM,24600,34800,24660,32520,B738,35.8,AirChina,16R,107,B1219
20190201,CCA1530,ZSAM,ZBTJ,38700,48600,39660,48660,B738,35.8,AirChina,16R,108,B1219
20190201,CCA1319,ZBTJ,ZGSZ,52200,64200,56640,67500,B738,35.8,AirChina,16R,117,B1219
20190201,CCA1320,ZGSZ,ZBTJ,68700,80100,71580,80700,B738,35.8,AirChina,16R,107,B1219
20190201,JYH1067,ZUGY,ZBTJ,61500,71700,61260,71760,B738,35.8,TRANSJADE,16R,112,B1233
20190201,JYH1068,ZBTJ,ZUGY,75600,900,76260,87540,B738,35.8,TRANSJADE,16R,111,B1233
20190201,CSN6894,ZBTJ,ZWWW,30600,46500,36900,51660,B738,35.8,ChinaSouthernAirlines,16R,220,B1283
20190201,OKA2729,ZYHB,ZBTJ,24000,31800,24480,31860,B739,34.3,OkayAirways,16R,223,B1291
20190201,OKA2729,ZBTJ,ZJSY,38100,53100,39120,53280,B739,34.3,OkayAirways,16R,223,B1291
20190201,OKA2730,ZJSY,ZBTJ,56700,70800,57780,70860,B739,34.3,OkayAirways,16R,222,B1291
20190201,OKA2730,ZBTJ,ZYHB,80100,900,80880,87600,B739,34.3,OkayAirways,16R,224,B1291
20190201,HBH3310,ZSWZ,ZBTJ,73200,82200,78300,86280,B738,35.8,HEBEIAIRLINES,16R,110,B1328
20190131,OKA2826,ZSHC,ZBTJ,-6300,-84900,-5280,1560,B738,35.8,OkayAirways,16R,222,B1338
20190201,OKA2859,ZBTJ,ZGSZ,27000,39600,29760,40980,B738,35.8,OkayAirways,16R,223,B1338
20190201,OKA2860,ZGSZ,ZBTJ,61500,73800,62520,73860,B738,35.8,OkayAirways,16R,222,B1338
20190201,OKA2884,ZBTJ,ZLXY,81000,2400,81600,87960,B738,35.8,OkayAirways,16R,223,B1338
20190201,CHH7201,ZGGG,ZBTJ,31500,42900,32520,42960,B38M,35.9,HainanAirlines,16R,214,B1390
20190201,CHH7202,ZBTJ,ZGGG,46500,58500,52560,63540,B38M,35.9,HainanAirlines,16R,209,B1390
20190201,CCA1401,ZBTJ,ZPPP,55800,68700,56520,68220,B738,35.8,AirChina,16R,107,B1418
20190201,CCA1402,ZPPP,ZBTJ,73200,84600,74460,84660,B738,35.8,AirChina,16R,109,B1418
20190201,OKA2931,ZBTJ,ZGHA,29100,37500,33180,40980,B739,34.3,OkayAirways,16R,226,B1420
20190201,OKA2932,ZGHA,ZBTJ,63000,72000,63780,72060,B739,34.3,OkayAirways,16R,222,B1420
20190201,OKA2788,ZBTJ,ZGGG,76200,1500,76980,88320,B739,34.3,OkayAirways,16R,223,B1420
20190201,OKA2753,ZBTJ,RPVK,36000,53700,38700,55860,B738,35.8,OkayAirways,16R,222,B1450
20190201,OKA2754,RPVK,ZBTJ,57300,75000,60360,76680,B738,35.8,OkayAirways,16R,222,B1450
20190201,CUA2217,ZBTJ,ZSSS,24600,32400,25740,31200,B738,35.8,LIANHANG,16R,112,B1471
20190201,CSZ8743,ZSQZ,ZBTJ,46200,56400,51120,59760,B738,35.8,ShenzhenAirlines,16R,108,B1477
20190201,CSZ8744,ZBTJ,ZSQZ,62900,71900,64320,72960,B738,35.8,ShenzhenAirlines,16R,108,B1477
20190131,OKA2907,ZGNN,ZBTJ,-4800,3000,-3300,7620,B739,34.3,OkayAirways,16R,222,B1485
20190201,OKA2719,ZBTJ,ZSYN,24900,30900,25140,29820,B38M,35.9,OkayAirways,16R,222,B1485
20190201,OKA2720,ZSYN,ZBTJ,62400,68700,64380,69360,B38M,35.9,OkayAirways,16R,222,B1485
20190201,OKA2904,ZGHA,ZBTJ,30900,38700,32220,39120,B739,34.3,OkayAirways,16R,222,B1522
20190201,OKA3025,ZBTJ,RJBB,47700,61200,49020,0,B739,34.3,OkayAirways,16R,223,B1522
20190201,OKA3026,RJBB,ZBTJ,64800,73500,61980,73560,B739,34.3,OkayAirways,16R,223,B1522
20190201,OKA2989,ZBTJ,RJTT,77280,5100,77640,0,B739,34.3,OkayAirways,16R,224,B1522
20190131,CCA1390,ZJSY,ZBTJ,-24300,-11100,-12180,780,B738,35.8,AirChina,16R,108,B1526
20190201,CCA103,ZBTJ,VHHH,30600,43200,34260,45600,B738,35.8,AirChina,16R,118,B1526
20190201,CCA104,VHHH,ZBTJ,46800,58200,51300,61680,B738,35.8,AirChina,16R,108,B1526
20190201,CCA8289,ZBTJ,ZBHH,67500,72900,68280,72480,B738,35.8,AirChina,16R,109,B1526
20190131,CCA8286,ZJQH,ZBTJ,-20700,-6900,-12000,240,B738,35.8,AirChina,16R,109,B1528
20190201,CCA151,ZBTJ,ZYTL,32400,36000,33300,36120,B738,35.8,AirChina,16R,107,B1528
20190201,CCA152,ZYTL,ZBTJ,64800,69300,66180,69360,B738,35.8,AirChina,16R,107,B1528
20190201,CCA749,ZBTJ,VTBS,73500,6000,74040,0,B738,35.8,AirChina,16R,118,B1528
20190201,CHH7233,ZLYA,ZBTJ,36900,41400,38340,42600,B738,35.8,HainanAirlines,16R,209,B1547
20190201,CHH7234,ZBTJ,ZLYA,46200,51900,47220,52260,B738,35.8,HainanAirlines,16R,208,B1547
20190201,CXA8164,ZBTJ,ZSAM,25800,35100,26880,35700,B738,35.8,XiamenAirlines,16R,229,B1550
20190201,CUA2218,ZSSS,ZBTJ,74400,83400,74760,83460,B738,35.8,LIANHANG,16R,110,B1572
20190201,EPA6299,ZSNT,ZBTJ,25200,31800,26220,32880,B738,35.8,DONGHAIAIR,16R,213,B1575
20190201,EPA6300,ZBTJ,ZSNT,35400,42600,39840,45540,B738,35.8,DONGHAIAIR,16R,209,B1575
20190201,OKA2851,ZBTJ,ZUUU,23700,34500,24300,34140,B739,34.3,OkayAirways,16R,223,B1581
20190201,OKA2852,ZUUU,ZBTJ,38100,48300,39180,48360,B739,34.3,OkayAirways,16R,222,B1581
20190201,OKA2997,ZBTJ,ZSJH,61500,68400,62880,68100,B739,34.3,OkayAirways,16R,223,B1581
20190201,CSN8251,ZGSD,ZBTJ,27900,38700,27900,38760,B738,35.8,ChinaSouthernAirlines,16R,217,B1583
20190201,CSN8252,ZBTJ,ZGSD,46800,58200,53880,65460,B738,35.8,ChinaSouthernAirlines,16R,221,B1583
20190201,GCR7857,ZBTJ,ZLXY,25800,32700,27000,33120,A320,34.1,TianjinAirlines,16R,210,B1618
20190201,GCR7858,ZLXY,ZBTJ,62100,68400,62640,68460,A320,34.1,TianjinAirlines,16R,215,B1618
20190201,GCR7865,ZBTJ,ZJHK,72000,85200,72180,85140,A320,34.1,TianjinAirlines,16R,215,B1618
20190201,EVA790,RCKH,ZBTJ,47100,59700,46860,59760,A321,34.1,EVAAir,16R,103,B16208
20190201,EVA789,ZBTJ,RCKH,64800,76800,65640,0,A321,34.1,EVAAir,16R,101,B16208
20190201,GCR6552,ZBDT,ZBTJ,50100,55200,50700,55260,A320,34.1,TianjinAirlines,16R,214,B1659
20190201,GCR6551,ZBTJ,ZBDT,58800,63600,61320,64740,A320,34.1,TianjinAirlines,16R,208,B1659
20190201,OKA2787,ZGGG,ZBTJ,24900,36000,25620,36060,B739,34.3,OkayAirways,16R,222,B1739
20190201,OKA2727,ZBTJ,ZJSY,44100,58500,49200,63120,B739,34.3,OkayAirways,16R,224,B1739
20190201,OKA2728,ZJSY,ZBTJ,63300,77400,67980,80340,B739,34.3,OkayAirways,16R,225,B1739
20190131,CSH9069,ZSPD,ZBTJ,-8100,-86100,-6840,420,B738,35.8,ShanghaiAirlines,16R,218,B1740
20190201,CSH9070,ZBTJ,ZSPD,27600,36000,28260,34500,B738,35.8,ShanghaiAirlines,16R,218,B1740
20190201,CCA1656,ZSPD,ZBTJ,31200,40200,32400,40260,B738,35.8,AirChina,16R,118,B1762
20190201,CCA1389,ZBTJ,ZJSY,44100,58200,47580,62280,B738,35.8,AirChina,16R,108,B1762
20190201,CCA1390,ZJSY,ZBTJ,62100,76200,67620,79920,B738,35.8,AirChina,16R,118,B1762
20190201,EPA6245,ZGCJ,ZBTJ,55500,64500,65280,74160,B738,35.8,DONGHAIAIR,16R,211,B1770
20190201,EPA6246,ZBTJ,ZGCJ,75360,78600,78300,88200,B738,35.8,DONGHAIAIR,16R,211,B1770
20190131,CES5751,ZPPP,ZBTJ,-9300,-84900,-8820,1080,B738,35.8,ChinaEasternAirlines,16R,215,B1788
20190201,CES5752,ZBTJ,ZPPP,30900,44400,32700,45000,B738,35.8,ChinaEasternAirlines,16R,218,B1788
20190201,LKE9631,ZUMY,ZBTJ,69600,78900,69480,78960,B738,35.8,LUCKYAIR,16R,214,B1798
20190201,LKE9632,ZBTJ,ZUMY,82500,6000,82560,91200,B738,35.8,LUCKYAIR,16R,214,B1798
20190201,CHH7497,ZYTL,ZBTJ,27900,32100,28140,32160,B738,35.8,HainanAirlines,16R,214,B1799
20190201,CHH7498,ZBTJ,ZYTL,35700,39300,37260,40020,B738,35.8,HainanAirlines,16R,209,B1799
20190201,DKH1136,ZYBS,ZBTJ,44100,51600,44400,51660,A321,34.1,ShanghaiJuneyaoAirlines,16R,112,B1808
20190201,DKH1136,ZBTJ,ZSPD,55200,63000,55980,62280,A321,34.1,ShanghaiJuneyaoAirlines,16R,110,B1808
20190201,GCR7583,ZLXY,ZBTJ,48000,54900,49800,55380,A320,34.1,TianjinAirlines,16R,211,B1849
20190201,GCR7583,ZBTJ,ZYHB,59100,66600,60300,67020,A320,34.1,TianjinAirlines,16R,211,B1849
20190201,GCR7584,ZYHB,ZBTJ,69600,77700,71280,77820,A320,34.1,TianjinAirlines,16R,213,B1849
20190201,GCR7584,ZBTJ,ZLXY,81300,1800,82440,88680,A320,34.1,TianjinAirlines,16R,213,B1849
20190201,GCR6565,ZHHH,ZBTJ,41700,49200,43200,50100,A320,34.1,TianjinAirlines,16R,210,B1850
20190201,GCR6566,ZBTJ,ZHHH,53340,60300,54060,60720,A320,34.1,TianjinAirlines,16R,210,B1850
20190201,GCR7852,ZSHC,ZBTJ,41700,49500,44700,52080,A320,34.1,TianjinAirlines,16R,211,B1851
20190201,GCR7851,ZBTJ,ZSHC,54100,60300,58680,64140,A320,34.1,TianjinAirlines,16R,210,B1851
20190201,CSC8045,ZPPP,ZBTJ,64500,76800,64500,76860,A320,34.1,SichuanAirlines,16R,110,B1885
20190201,CSC8046,ZBTJ,ZPPP,80400,6900,83280,95040,A320,34.1,SichuanAirlines,16R,111,B1885
20190201,FZA6555,ZYHB,ZBTJ,40200,48300,40500,48360,B738,35.8,STRAITAIR,16R,214,B1905
20190201,FZA6555,ZBTJ,ZSFZ,51900,61500,52140,60720,B738,35.8,STRAITAIR,16R,214,B1905
20190201,FZA6556,ZSFZ,ZBTJ,64500,74400,68040,77040,B738,35.8,STRAITAIR,16R,215,B1905
20190201,FZA6556,ZBTJ,ZYHB,80000,85500,81060,87900,B738,35.8,STRAITAIR,16R,215,B1905
20190201,CES5753,ZPPP,ZBTJ,48000,59700,49200,59760,B738,35.8,ChinaEasternAirlines,16R,215,B1907
20190201,CES5754,ZBTJ,ZPPP,63900,77400,64980,77280,B738,35.8,ChinaEasternAirlines,16R,216,B1907
20190201,CSN6655,ZSYW,ZBTJ,37200,45600,38520,45840,B738,35.8,ChinaSouthernAirlines,16R,217,B1917
20190201,CSN6656,ZBTJ,ZSYW,49200,57600,53460,59820,B738,35.8,ChinaSouthernAirlines,16R,222,B1917
20190201,CSZ9121,ZGSZ,ZBTJ,26700,38400,27900,38460,B738,35.8,ShenzhenAirlines,16R,108,B1936
20190201,CSZ9122,ZBTJ,ZGSZ,43800,53400,46860,58380,B738,35.8,ShenzhenAirlines,16R,117,B1936
20190201,OKA2883,ZLXY,ZBTJ,24000,30600,24480,30660,B738,35.8,OkayAirways,16R,222,B1962
20190201,OKA2819,ZBTJ,ZGKL,34200,45000,37800,48360,B738,35.8,OkayAirways,16R,224,B1962
20190201,OKA2820,ZGKL,ZBTJ,51300,60900,53760,63240,B738,35.8,OkayAirways,16R,224,B1962
20190201,OKA2877,ZBTJ,ZSNB,64800,72300,67800,74220,B738,35.8,OkayAirways,16R,224,B1962
20190201,CXA8365,ZBTJ,ZGSZ,31200,43800,35100,46440,B738,35.8,XiamenAirlines,16R,226,B1971
