data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,delay
20170806,ICU939 ar,ZBYN,ZBTJ,77400,83400,78300,84240,DHC6,19.8,AisaMedical,16L,897,B10GF,
20170806,CCA1427 de,ZBTJ,ZUUU,27300,37800,28500,37500,B738,35.8,AirChina,16R,117,B1418,
20170806,CCA1428 ar,ZUUU,ZBTJ,42600,51900,42600,51960,B738,35.8,AirChina,16L,118,B1418,
20170806,CCA1241 de,ZBTJ,ZLXN,55800,64500,57120,64620,B738,35.8,AirChina,16R,107,B1418,
20170806,CCA1242 ar,ZLXN,ZBTJ,68700,77400,68760,77460,B738,35.8,AirChina,16L,202,B1418,
20170806,OKA2990 ar,RJTT,ZBTJ,10800,21600,10200,21660,B738,35.8,OkayAirways,16L,222,B1450,
20170806,OKA2865 de,ZBTJ,ZYTL,23400,27900,24540,26940,B738,35.8,OkayAirways,16L,222,B1450,
20170806,OKA2866 ar,ZYTL,ZBTJ,30600,34800,31080,34860,B738,35.8,OkayAirways,16L,223,B1450,
20170806,OKA2787 de,ZBTJ,ZGGG,36060,36000,37012,46808,B738,35.8,OkayAirways,16L,223,B1450,
20170806,OKA2844 ar,RJSA,ZBTJ,58500,67500,54900,67560,B738,35.8,OkayAirways,16L,222,B1450,
20170806,OKA2788 de,ZBTJ,ZGGG,78000,3300,79260,88380,B739,34.3,OkayAirways,16R,224,B1450,
20170806,CSH9063 ar,ZSSS,ZBTJ,57300,66000,60540,66960,B738,35.8,ShanghaiAirlines,16L,219,B1451,
20170806,CSH9064 de,ZBTJ,ZSSS,71400,78900,71880,77280,B738,35.8,ShanghaiAirlines,16R,218,B1451,
20170806,FZA6556 ar,ZYHB,ZBTJ,41700,49500,41760,49560,B738,35.8,STRAITAIR,16L,213,B1480,
20170806,FZA6556 de,ZBTJ,ZSFZ,53100,62400,54240,62280,B738,35.8,STRAITAIR,16R,210,B1480,
20170805,OKA2946 ar,ZGSZ,ZBTJ,-24000,-12900,-3720,5460,B739,34.3,OkayAirways,16L,222,B1522,
20170806,OKA2851 de,ZBTJ,ZUUU,42300,53100,43080,51960,B739,34.3,OkayAirways,16R,223,B1522,
20170806,OKA2852 ar,ZUUU,ZBTJ,57300,66300,60240,68760,B739,34.3,OkayAirways,16L,222,B1522,
20170806,OKA2877 de,ZBTJ,ZSNB,69960,65700,73260,79800,B738,35.8,OkayAirways,16R,224,B1522,
20170806,CCA124T ar,ZBAA,ZBTJ,28800,31500,0,31560,B738,35.8,AirChina,16L,201,B1528,
20170806,CCA103 de,ZBTJ,VHHH,32760,42600,36300,47580,B738,35.8,AirChina,16R,107,B1528,
20170806,CCA104 ar,VHHH,ZBTJ,46200,58500,53640,63900,B738,35.8,AirChina,16L,202,B1528,
20170806,CCA1251 de,ZBTJ,ZLXY,65100,70500,68520,74160,B738,35.8,AirChina,16R,109,B1528,
20170806,CCA1252 ar,ZLXY,ZBTJ,74400,81000,80220,85560,B738,35.8,AirChina,16L,203,B1528,
20170806,EPA6283 ar,ZLLL,ZBTJ,45600,54600,45900,54660,B738,35.8,DONGHAIAIR,16L,211,B1532,
20170806,EPA6284 de,ZBTJ,ZLLL,58800,67500,59460,67560,B738,35.8,DONGHAIAIR,16R,210,B1532,
20170806,CJX8961 ar,ZSCN,ZBTJ,27600,35400,27660,35460,B738,35.8,AIRCRANE,16L,110,B1558,
20170806,CJX8962 de,ZBTJ,ZSCN,39000,44700,40740,46980,B738,35.8,AIRCRANE,16R,111,B1558,
20170806,FZA6555 ar,ZSFZ,ZBTJ,65400,74400,65040,74460,B738,35.8,STRAITAIR,16L,213,B1559,
20170806,FZA6555 de,ZBTJ,ZYHB,78000,85200,78900,84780,B738,35.8,STRAITAIR,16R,211,B1559,
20170805,OKA2708 ar,ZYTL,ZBTJ,-2400,-84600,6060,9000,B739,34.3,OkayAirways,16L,222,B1581,
20170806,OKA2831 de,ZBTJ,ZGSD,29700,41100,30900,41040,B739,34.3,OkayAirways,16R,223,B1581,
20170806,OKA2832 ar,ZGSD,ZBTJ,60900,72000,63240,73080,B739,34.3,OkayAirways,16L,222,B1581,
20170806,OKA2707 de,ZBTJ,ZYTL,76800,81000,77280,79860,B739,34.3,OkayAirways,16R,224,B1581,
20170806,LKE9727 ar,ZUMY,ZBTJ,69000,77100,74700,82920,B738,35.8,LUCKYAIR,16L,213,B1587,
20170806,CSZ9123 ar,ZGSZ,ZBTJ,55500,66300,57180,67200,A320,34.1,ShenzhenAirlines,16L,201,B1602,
20170806,CSZ9124 de,ZBTJ,ZGSZ,70800,82500,71460,81120,A320,34.1,ShenzhenAirlines,16R,107,B1602,
20170806,QDA9853 ar,ZSQD,ZBTJ,24600,29700,25920,29760,A320,34.1,SKYLEGEND,16L,112,B1617,
20170806,QDA9853 de,ZBTJ,ZBLA,36000,45300,36840,44400,A320,34.1,SKYLEGEND,16R,113,B1617,
20170806,GCR7896 ar,ZUCK,ZBTJ,32400,41100,34200,41400,A320,34.1,TianjinAirlines,16L,210,B1618,
20170806,GCR7813 de,ZBTJ,ZYTL,51600,55200,52380,55920,A320,34.1,TianjinAirlines,16R,210,B1618,
20170806,GCR7577 ar,ZWWW,ZBTJ,32400,45600,33480,45660,A320,34.1,TianjinAirlines,16L,211,B1619,
20170806,GCR7577 de,ZBTJ,ZYCC,49800,56700,50220,55500,A320,34.1,TianjinAirlines,16R,209,B1619,
20170806,GCR7578 ar,ZYCC,ZBTJ,61200,67200,62640,68040,A320,34.1,TianjinAirlines,16L,213,B1619,
20170806,GCR7578 de,ZBTJ,ZWWW,71700,600,74220,88440,A320,34.1,TianjinAirlines,16R,211,B1619,
20170806,EVA730 ar,RCTP,ZBTJ,33900,45300,35160,45300,A321,34.1,EVAAir,16L,103,B16216,
20170806,EVA729 de,ZBTJ,RCTP,49800,60300,50700,0,A321,34.1,EVAAir,16R,102,B16216,
20170806,GCR7584 ar,ZYHB,ZBTJ,45000,52800,45300,52860,A320,34.1,TianjinAirlines,16L,213,B1659,
20170806,GCR7584 de,ZBTJ,ZLXY,56700,63600,60000,65700,A320,34.1,TianjinAirlines,16R,209,B1659,
20170806,CSC8567 ar,ZYHB,ZBTJ,27300,34800,28620,35040,A321,34.1,SichuanAirlines,16L,111,B1677,
20170806,CSC8567 de,ZBTJ,ZLLL,38700,47400,40140,47340,A321,34.1,SichuanAirlines,16R,110,B1677,
20170806,CXA8139 de,ZBTJ,ZSAM,27000,36900,30180,38100,B738,35.8,XiamenAirlines,16R,226,B1707,
20170806,CXA8140 ar,ZSAM,ZBTJ,60300,70800,67980,77040,B738,35.8,XiamenAirlines,16L,225,B1707,
20170806,CXA8621 de,ZBTJ,ZGHA,78240,84000,81060,88020,B738,35.8,XiamenAirlines,16R,225,B1707,
20170806,JYH1055 ar,ZGGG,ZBTJ,23100,35100,24240,35160,B738,35.8,TRANSJADE,16L,112,B1715,
20170806,JYH1056 de,ZBTJ,ZGGG,44100,54900,44760,53820,B738,35.8,TRANSJADE,16R,111,B1716,
20170805,OKA2898 ar,ZPPP,ZBTJ,-20400,-9000,2880,13560,B738,35.8,OkayAirways,16L,225,B1732,
20170806,OKA2777 de,ZBTJ,ZGSZ,27900,40200,29880,40080,B738,35.8,OkayAirways,16R,222,B1732,
20170806,OKA2778 ar,ZGSZ,ZBTJ,62700,73800,64320,74520,B738,35.8,OkayAirways,16L,222,B1732,
20170806,CCA1677 ar,ZYHB,ZBTJ,28200,36300,29040,36360,B738,35.8,AirChina,16L,202,B1762,
20170806,CCA1677 de,ZBTJ,ZGKL,42300,50400,42360,50820,B738,35.8,AirChina,16R,109,B1762,
20170805,GCR7970 ar,UHWW,ZBTJ,-73500,-63000,13080,20580,A320,34.1,TianjinAirlines,16L,213,B184,
20170805,GCR7860 ar,ZHHH,ZBTJ,-4500,-84000,-3180,2400,A320,34.1,TianjinAirlines,16L,214,B1849,
20170806,GCR7815 de,ZBTJ,ZSQD,27900,32100,28200,30720,A320,34.1,TianjinAirlines,16R,211,B1849,
20170806,GCR7816 ar,ZSQD,ZBTJ,55500,60300,61320,64560,A320,34.1,TianjinAirlines,16L,211,B1849,
20170806,GCR7895 de,ZBTJ,ZUCK,65760,74700,69180,76860,A320,34.1,TianjinAirlines,16R,211,B1849,
20170806,GCR7990 ar,RJTT,ZBTJ,1800,14100,12000,22500,A320,34.1,TianjinAirlines,16L,211,B1851,
20170806,GCR7977 de,ZBTJ,RJBB,30900,39900,31440,0,A320,34.1,TianjinAirlines,16R,211,B1851,
20170806,GCR7978 ar,RJBB,ZBTJ,44400,55200,45600,55260,A320,34.1,TianjinAirlines,16L,213,B1851,
20170806,GCR7877 de,ZBTJ,ZLXN,60300,69900,60960,68400,A320,34.1,TianjinAirlines,16R,211,B1851,
20170806,GCR7878 ar,ZLXN,ZBTJ,72600,81300,72120,81360,A320,34.1,TianjinAirlines,16L,214,B1851,
20170806,CSC8357 de,ZBTJ,ZJHK,24900,39000,25380,36420,A320,34.1,SichuanAirlines,16R,110,B1887,
20170806,CSC8861 ar,ZUUU,ZBTJ,68100,77100,71820,80760,A320,34.1,SichuanAirlines,16L,111,B1887,
20170806,FZA6601 ar,ZSZS,ZBTJ,33900,41400,33360,41460,B738,35.8,STRAITAIR,16L,213,B1906,
20170806,FZA6602 de,ZBTJ,ZSZS,45000,52200,45960,52560,B738,35.8,STRAITAIR,16R,209,B1906,
20170806,CXA855 de,ZBTJ,ZSAM,50700,60300,50760,58260,B738,35.8,XiamenAirlines,16R,225,B1970,
20170806,CDG4801 ar,ZSAM,ZBTJ,26700,37200,28680,37620,B738,35.8,shandongAirlines,16L,202,B1987,
